 	non	è	li	dimentichiamo	mai	i	i	padri	e	le	madri	</S>
e	0.6753133	0.298869725	0.02339469771	0.001137665085	0.001178438796	7.299339945e-05	1.837974445e-05	4.4501530085e-06	1.238006094e-06	9.72218167e-07	7.0076869e-06	1.0856835e-06
n	0.55083914	0.399618675	0.0321686202367	0.0152440069283	0.00180043346533	0.00019177850315	0.000105219211483	7.0961706695e-06	1.09637732647e-05	3.09002932233e-06	9.22833796667e-06	1.72072456667e-06
è	0.281943553333	0.512331048333	0.182729687079	0.0205372554428	0.00210073958844	0.00020100094705	0.000125574202828	5.49907422317e-06	1.35673614016e-05	3.30696770078e-06	7.13103008889e-06	1.62749260556e-06
n	0.113907289444	0.577288206111	0.286979959026	0.0190097169476	0.00262875862948	0.00011729230835	5.35305319427e-05	3.04995507439e-06	5.37017511387e-06	1.41951931359e-06	3.9103483963e-06	1.46595431852e-06
a	0.0535318658147	0.484843168704	0.398675783009	0.0317648899825	0.0300107238765	0.000919159482783	0.000171691032648	6.89413669146e-06	4.18903287129e-06	3.2724675912e-06	6.25365453988e-05	5.81344387284e-06
l	0.0312123151382	0.202393077235	0.505379064336	0.199791145661	0.0579105699588	0.00250314526093	0.000670056750883	1.74801185638e-05	1.48886041238e-05	9.9060255304e-06	8.98098191329e-05	8.52707375761e-06
l	0.0144526125794	0.0801878214117	0.371824261445	0.48084920522	0.0455880199863	0.00413673362031	0.00171574528363	9.32147391879e-05	0.000178218933041	5.64797335101e-05	0.000858035957044	5.96001103859e-05
i	0.0979203061931	0.117111901804	0.227283688815	0.435722675073	0.0844832933288	0.0227377232068	0.0107444023279	0.000389761523063	0.000427146821014	0.00025950849117	0.00263417508568	0.000285376983462
m	0.122547060504	0.121515252101	0.132614381272	0.458003818358	0.11630693611	0.0306855467356	0.0142432803093	0.000501267624354	0.000510665860338	0.000328768663723	0.00243052402056	0.000312457003487
o	0.041643306408	0.043233356667	0.084207970424	0.448528881786	0.354949313703	0.0192581442452	0.0064786796831	0.000258566647785	0.000332792258746	0.000158493021108	0.00083915211852	0.000111315110796
n	0.0148184311227	0.0169077930223	0.055845776808	0.222296129595	0.588300574568	0.0764454800817	0.0213985316077	0.000573416105595	0.000602993771549	0.000395867026903	0.00229528645917	0.000119724614232
ì	0.00552218332757	0.0072701777741	0.045886936936	0.132524084198	0.681269028189	0.0963787646939	0.0263987660359	0.000679600282532	0.000693572543716	0.000475286347734	0.00277905860506	0.000122557521011
s	0.00223238489252	0.00348403334137	0.038363175312	0.062614544066	0.809486899396	0.0713575162313	0.010785904512	0.000285916274844	0.000255482456439	0.000162060703345	0.000929424640343	4.26926156037e-05
u	0.00333416064751	0.00432665743046	0.0270220127707	0.0464725576887	0.687016916465	0.20503601541	0.0255098991707	0.000375920724948	0.000203998064146	0.000107595973115	0.000572925550104	2.13915898679e-05
m	0.0036871222925	0.00453420789682	0.0172894750236	0.0352538188962	0.493905272155	0.392670465137	0.0504007003902	0.00126309594165	0.000331473264715	0.000123639874372	0.000522181480035	1.85850542893e-05
e	0.0013201532375	0.00159897325227	0.00814192045453	0.0228952232987	0.421628037385	0.464721715046	0.0761038834634	0.00270801814722	0.000523525721572	0.000100916564791	0.000245387315012	1.22402490631e-05
m	0.000520885757833	0.000607630737423	0.00342919003151	0.0129064737662	0.325636942462	0.519429765015	0.124078487821	0.0106313838824	0.00209977518719	0.000319252651597	0.000256818513337	8.3359595321e-05
a	0.000233829301278	0.000278717072474	0.00178853312384	0.00757437112207	0.219550497487	0.558475655005	0.19325813594	0.0150222649608	0.00298058132906	0.000462596033866	0.000267364445112	0.00010741097044
i	0.00302559820043	0.000525001530825	0.00116959095461	0.00472150567402	0.134719514829	0.448772378335	0.36239263198	0.0277839276536	0.0145953417764	0.00199646437796	0.000252143835704	4.586228448e-05
t	0.00391705707921	0.000560840332275	0.000767934005537	0.00286261902467	0.0514151342763	0.335097319445	0.499183943993	0.0731131948845	0.0295611755921	0.00323750792599	0.000250938118568	3.231281416e-05
u	0.00133588248547	0.000214432229425	0.000327546429179	0.00134025337489	0.0225958567588	0.297213629815	0.546828481331	0.0914178082948	0.0336435815307	0.00483466677533	0.000226515259523	2.13257193867e-05
s	0.000475298167723	9.9001125475e-05	0.00017280282806	0.00072115152163	0.0106029383863	0.232471223272	0.54141722711	0.147989212765	0.0564801868436	0.00921304292511	0.000301685389841	5.61995141289e-05
t	0.000159384065464	3.43756587917e-05	7.21639993533e-05	0.000366323083877	0.00609919602877	0.184590034424	0.484337009037	0.185033775588	0.121136543948	0.0169675716417	0.00099033057328	0.00021325760471
a	7.71673621447e-05	1.67063005639e-05	4.00519234511e-05	0.000246487544626	0.00354958460959	0.172989241475	0.506246556346	0.156930863196	0.136003101316	0.0223237422139	0.00134149064109	0.000235005033903
c	5.02672713149e-05	1.21419797546e-05	2.79924774837e-05	0.000136969505542	0.00188274856986	0.132378400492	0.492302738782	0.202566454399	0.142652650439	0.0264228170713	0.0011320551637	0.000434810776968
i	3.13007730383e-05	1.35429281515e-05	2.88068721612e-05	0.000117492139181	0.00112722952329	0.0849261814973	0.458171392927	0.205789138133	0.186174066813	0.0588729790238	0.00384076845457	0.000907113458989
ù	0.000786702246346	0.000265585247717	0.000308005846054	0.00072377306306	0.00089090837443	0.0512558721658	0.342100142309	0.232801202711	0.247195575604	0.117173231008	0.00550308105152	0.00099590519633
r	0.00102516888102	0.000342607075139	0.000394169772018	0.00087602172302	0.000666263628143	0.0259967520553	0.255359145436	0.217920171904	0.332200398535	0.155648707003	0.00888177625051	0.000688803818777
i	0.00058947995924	0.000355048417613	0.000455733990673	0.00210285957634	0.000482868912714	0.0150332598184	0.201092882479	0.128550234968	0.281224712845	0.346521829001	0.0165283757502	0.00706272144959
a	0.000594441019747	0.000405023079204	0.000520254360224	0.00268987854211	0.000416375620905	0.00578716905947	0.0706336094263	0.0955054029893	0.165445004282	0.564868789667	0.0446934679167	0.0484405931499
m	0.000354523723249	0.000198102679735	0.000247252343408	0.00109565792537	0.000185042159302	0.00215537312316	0.0262934698754	0.0512378553298	0.121179741427	0.510101909889	0.177097535972	0.109853502717
a	0.000145030664416	0.000109985859912	0.000125741823469	0.000435518176457	9.48617531007e-05	0.000887854441053	0.0110776280585	0.0270574414433	0.0816988394757	0.37407011663	0.306705045324	0.197591910906
t	7.00729371387e-05	6.5601279304e-05	6.76191474897e-05	0.000211992935152	5.30316380336e-05	0.000398712033684	0.00465992765283	0.0168318200144	0.0555596001586	0.318369998877	0.341413721775	0.262297903635
e	3.64837990462e-05	3.3325101768e-05	3.93027411632e-05	0.000118201041384	2.87786466779e-05	0.000188060373228	0.00220299431761	0.00986498007147	0.0431214097195	0.301889612959	0.315271413925	0.327205434545
s	2.53832248821e-05	2.39890075893e-05	3.00770230544e-05	8.42829364613e-05	2.1414283726e-05	0.000115989181076	0.00141983260587	0.00663413802382	0.0287920602398	0.245637430986	0.368361771308	0.348853628182
m	2.2203738494e-05	1.46087988631e-05	4.54712003515e-05	8.61202748204e-05	1.65917580753e-05	9.5729531692e-05	0.00117303383529	0.00388400277461	0.0209443415466	0.146688905995	0.338999173769	0.488029812727
à	2.66500648313e-05	2.39593562877e-05	5.42113754505e-05	8.94332216068e-05	1.43360310251e-05	7.26923192307e-05	0.000630252945097	0.0024910125582	0.0096295978822	0.0767098793317	0.433452491256	0.476805477576
n	2.67282519438e-05	2.78004957626e-05	4.15764458168e-05	4.23613705356e-05	1.08924661417e-05	4.15149327436e-05	0.000291564015032	0.00163952480607	0.0037986958774	0.0383499777772	0.744085890419	0.211643467525
e	6.65844649813e-05	9.24267375875e-05	0.000122410811939	0.000633169290179	6.00249728472e-05	8.58732352479e-05	0.000194805771677	0.000754890972023	0.0014593942758	0.0145808411924	0.56584919414	0.416100390842
</S>	0.000102263012491	0.000164334958794	0.00020325742097	0.00123862409509	0.000111075036424	0.000141760217624	0.000212010635839	0.000622887111012	0.0008920475879	0.0079356289962	0.29272287807	0.695653265421
