 	siete	cucinato	</S>
ì	0.7645893	0.23398148275	0.00142915213
s	0.7072694	0.291379040917	0.00135150766467
e	0.51968439	0.380188883639	0.10012673231
s	0.195044652	0.668079694546	0.13687567277
t	0.0795781055	0.788010861515	0.132411022923
a	0.0282057572	0.672397740505	0.299396470974
m	0.00981387175333	0.647455053502	0.342731026991
a	0.00355094076444	0.571869064501	0.42457993233
r	0.00152956008148	0.471846644834	0.526623760777
à	0.000887843200493	0.621472558278	0.377639593592
t	0.000406795013498	0.805596099426	0.193997090531
a	0.000815654411166	0.594112239475	0.40507209951
</S>	0.00138275045558	0.302562259238	0.696054999755
