 	mia	sorella	quest'	anno	che	viene	vuole	diventare	dottoressa	</S>
a	0.81515575	0.15370047915	0.028296941532	0.0005590337536	0.00013859090215	0.0021223893885	2.2879318415e-05	2.344792348e-06	1.1322943735e-06	4.99054787e-07
d	0.744048216667	0.222894779717	0.0286930574773	0.00199124161787	0.00017687167405	0.0021229914695	5.41808194717e-05	1.00427404493e-05	7.89223285783e-06	7.41095395667e-07
r	0.648139315556	0.326520309906	0.0221297047924	0.00228686983929	0.000117816058017	0.000733160843167	5.03438911572e-05	1.15085622831e-05	1.03614799193e-05	6.09690098556e-07
e	0.387745463185	0.572337303302	0.0385560149308	0.0010008389331	6.07174911723e-05	0.000272622128389	1.79926940191e-05	4.2960422677e-06	4.42079431043e-06	3.07683909519e-07
f	0.167827925062	0.791214317767	0.0386154619769	0.00212446466437	7.14279555574e-05	9.69411601297e-05	2.30620303064e-05	9.56061812923e-06	1.58469318075e-05	9.9514197984e-07
f	0.128983717687	0.816429139256	0.0485834579923	0.00568522305479	0.000127614631852	6.56961620432e-05	4.30569194355e-05	1.75419563764e-05	6.19868672692e-05	2.57838109328e-06
ì	0.115065931562	0.756819313085	0.122371094331	0.0054737962516	9.91224779507e-05	5.91388460144e-05	3.38218649785e-05	1.21130923421e-05	6.32205075564e-05	2.40681746443e-06
m	0.0464982820207	0.562423634362	0.388450041444	0.00245561639387	8.76998733169e-05	2.95715336715e-05	2.25950441595e-05	4.7953975307e-06	2.43005279855e-05	3.40703658814e-06
m	0.192343926507	0.320136491454	0.481846660481	0.00504846220796	0.000152436934439	6.20500728905e-05	4.39028213865e-05	4.2992598769e-06	2.81101639952e-05	0.000333625898863
u	0.252378622169	0.233006347151	0.396799683494	0.105661781403	0.00413560565148	0.00528760930096	0.00218602047713	3.34240731256e-05	6.30267523317e-05	0.000447867929621
f	0.101761746723	0.169558812384	0.406602461165	0.292359897134	0.0180031972172	0.00707809933365	0.00400743332571	0.000227244974375	0.000241460990777	0.000159633730207
ù	0.0370047943077	0.133214524128	0.382343903722	0.413715389045	0.0239764487391	0.00665487401122	0.00250561673524	0.000262260748925	0.000264923396926	5.72077268357e-05
e	0.0205195701692	0.0852831187093	0.326775631241	0.497136616348	0.0500025755797	0.0139079330037	0.00615508853841	9.94330744417e-05	9.90870023087e-05	2.08883555119e-05
p	0.0187272760564	0.0341521760364	0.215610342414	0.583674025449	0.12313121386	0.0126995105679	0.0113546941795	0.000413261645481	0.000224872837436	1.26097166373e-05
p	0.0237256180188	0.0201417188121	0.128849321138	0.68432467515	0.123929332953	0.00517791775597	0.0121376210598	0.000699729168494	0.000970535012479	4.35338535458e-05
ò	0.0224815235396	0.0226653272707	0.191243072046	0.613115811717	0.118146345984	0.0209584675853	0.00976050625327	0.000469086819498	0.00109756965416	6.22827945153e-05
r	0.0177340767132	0.0217709030902	0.433289184015	0.336496177239	0.147399291995	0.0336195005284	0.00799255231776	0.000423165016499	0.000827535468053	0.000447563804838
k	0.0740200295711	0.0141646128301	0.404910716005	0.366536632413	0.104341107998	0.0232967478428	0.0103960027726	0.000421835668833	0.000757405156018	0.00115489383495
e	0.0929393155237	0.0098182090767	0.160407403002	0.387209564138	0.216012086666	0.0614915522809	0.0688346085909	0.00143977525294	0.000841060018673	0.00100643156965
t	0.0401417943946	0.0063041947339	0.0629530702007	0.282681568046	0.348850288889	0.0707564830936	0.17957265953	0.00747747785098	0.000896510839558	0.000365927905583
e	0.0138993678849	0.00225687415297	0.0218564009002	0.220933412349	0.27389524963	0.0872227033645	0.36973349651	0.00964215311699	0.000436442391186	0.000123884014561
e	0.00599065966163	0.000969982164323	0.00828184426673	0.0777006603497	0.192551319877	0.127429363122	0.576317565503	0.010485805539	0.000227717855062	4.5084843087e-05
