 	se	si	era	vestito	la	figlia	l'	avessi	portata	alla	chiesa	</S>
a	0.745232575	0.175783282	0.076808456	0.001769702415	0.000283769221	0.0001163247065	9.659089275e-07	3.470996915e-06	4.18577288e-07	2.212071505e-07	2.49794365e-07	6.39337935e-07
n	0.421952695667	0.451772614	0.0962346453333	0.0289462520717	0.000832023290333	0.000208990718833	1.85442644092e-05	2.60745706383e-05	4.26275295267e-06	2.06828241683e-06	1.06779532167e-06	8.31702545e-07
ì	0.146255917889	0.679080738	0.134389815111	0.0390605150239	0.000858313920111	0.000289761106278	2.39709601831e-05	3.15056541328e-05	5.28865701222e-06	2.55634070894e-06	1.19157821289e-06	5.37669881e-07
c	0.0523104129963	0.699419966	0.207050885037	0.040227186008	0.00073530436337	0.000233534520093	8.48042144103e-06	1.09638800643e-05	1.82749076541e-06	8.8988857298e-07	4.08944199963e-07	2.06688127e-07
h	0.0190093690321	0.698111532	0.208971375012	0.072837595336	0.000962317741123	9.89110463643e-05	3.34130979701e-06	4.09042469143e-06	6.97550745137e-07	3.6768291766e-07	1.78416109988e-07	2.18867859667e-07
a	0.00940971534403	0.513324504	0.285064665004	0.188323655112	0.00300832130037	0.000853404093788	7.97824558234e-06	5.98708846714e-06	1.06250467171e-06	2.66630372553e-07	1.24102556663e-07	2.69444206556e-07
n	0.00521383821801	0.223152421	0.276116918335	0.476113918371	0.0181971617668	0.0011709632646	1.74543208608e-05	1.40857941557e-05	1.92775199057e-06	4.86374654184e-07	5.95585985554e-07	1.78422418852e-07
d	0.00355339664267	0.117659913333	0.131185392778	0.71086739279	0.0346246292556	0.00186070325487	0.00017164791462	4.08730157186e-05	2.09684934302e-05	6.37872697473e-06	7.85499472852e-06	8.48109186284e-07
ì	0.00680032668089	0.103149321111	0.218364064259	0.590541177597	0.0782067097519	0.00260523311829	0.000229543460873	5.34978132395e-05	2.66956583101e-05	8.55873252491e-06	1.18147994428e-05	3.08638599543e-06
s	0.0444937385603	0.0916935337037	0.305208338086	0.346578982532	0.202362836584	0.00854030667276	0.000472703809624	5.30103757465e-05	2.66596476034e-05	1.79856757083e-05	2.96449140143e-05	0.000522273247198
o	0.0700304158534	0.0677522985679	0.184558320695	0.201291860844	0.424190722195	0.0480216862243	0.00250142310321	0.000828068048582	3.79917935345e-05	4.22854025694e-05	4.40574563381e-05	0.000700860457733
n	0.0410228472511	0.0326835936226	0.0750408589983	0.098291150948	0.687144727398	0.0607363497414	0.00338257590107	0.00132658024953	4.68432065115e-05	4.39755645231e-05	3.53914151127e-05	0.000245138064911
t	0.0146084530604	0.0123909097075	0.0284951963661	0.075591494316	0.818130642466	0.0455996929138	0.00424750096702	0.00075753069651	4.70904475038e-05	2.35692846744e-05	2.22087702609e-05	8.57653220703e-05
a	0.0052252690968	0.00514693996917	0.0116675415887	0.0655704771053	0.715117107489	0.191316916305	0.00554349178901	0.00034098964217	2.58937211013e-05	8.75337071147e-06	7.74576158697e-06	2.88937294434e-05
i	0.00273946739893	0.00201211100306	0.00441970036957	0.0391679697018	0.49501986583	0.444182262102	0.0110757698297	0.00126866934406	9.10484156338e-05	8.93585822382e-06	4.25534980566e-06	9.9466055778e-06
k	0.00162675055631	0.000802791597687	0.00165614356319	0.0244562768006	0.31891473861	0.581655867367	0.0634236092766	0.00712982038135	0.000283453745211	3.55804060746e-05	1.05689576019e-05	4.42192386927e-06
i	0.00121861397544	0.000761928482562	0.000845023164397	0.0110524654002	0.180072266203	0.663470939122	0.131895553092	0.0103221005938	0.00030174688007	4.39179973582e-05	1.24698311006e-05	3.00128305642e-06
a	0.00141972042515	0.000897049760854	0.000536209818132	0.00545114196673	0.075410394401	0.763169129707	0.145352804364	0.00753129999793	0.000201302835023	2.30292074527e-05	6.17252926687e-06	1.71894955214e-06
