 	sto	e	cucino	</S>
e	0.91478997	0.07958108015	0.0054132359	0.00021561528
s	0.76364349	0.229667416717	0.0064340228	0.000254997986667
t	0.473311912	0.440475058906	0.0835031037667	0.00270993944222
è	0.280099966	0.579233072969	0.135575425922	0.00509158264741
c	0.180259922467	0.739177957656	0.0772332656407	0.00332892514647
e	0.080898231289	0.823946619219	0.0688190488802	0.0263361803128
m	0.046611166463	0.698638306406	0.20757263096	0.0471779257709
a	0.016348995261	0.416766925469	0.348183486987	0.21870059759
r	0.00563742636367	0.156723924156	0.547097455662	0.290541205863
è	0.00203925024456	0.0648637103853	0.776747201887	0.156349865288
o	0.00103696054819	0.0269559182184	0.568161497296	0.403845641763
</S>	0.000936145094095	0.0135731662442	0.303462343648	0.682028340881
