 	se	aveva	vestito	la	figlia	l'	avessi	portato	alla	chiesa	</S>
a	0.893626865	0.094172175	0.0106386067	0.001219676687	0.0003292268063	2.420617835e-06	8.37693885e-06	9.89206495e-07	3.448468125e-07	3.85998121e-07	8.8127452e-07
n	0.576299795333	0.294659351667	0.1254783729	0.002981204229	0.000481306995433	3.1898767945e-05	5.342233695e-05	9.368089565e-06	2.6956413375e-06	1.45964114033e-06	1.08949212e-06
ì	0.196364576978	0.633610950556	0.166539474967	0.00286895471633	0.000495469581811	4.03907754817e-05	6.315561755e-05	1.15355433973e-05	3.26737703183e-06	1.57621611144e-06	6.27254383333e-07
c	0.067965696226	0.806788993519	0.122069095656	0.00276638954544	0.000368077050604	1.41530706272e-05	2.17434250167e-05	3.9642700081e-06	1.12361998161e-06	5.35407927147e-07	2.28525002111e-07
h	0.0232799799753	0.85144290784	0.122098537219	0.00301272281515	0.000150599526201	5.26565842573e-06	7.83260660023e-06	1.4450557927e-06	4.13836712203e-07	1.95413837049e-07	1.28558035037e-07
e	0.0110865938584	0.714095375947	0.25901047774	0.0141412695717	0.00163715378473	1.40169587252e-05	1.20353731947e-05	2.5471786209e-06	2.72375270734e-07	1.18348995016e-07	1.74223101679e-07
n	0.00681917158613	0.397304356982	0.483044105913	0.110477716524	0.00230583817158	2.40169132417e-05	2.01413187316e-05	3.59040397363e-06	4.43602756911e-07	4.13366778339e-07	2.0989780056e-07
d	0.00441584476204	0.229972843994	0.586450915304	0.175977495508	0.00299337163386	0.000129346665747	3.50820972439e-05	1.82743545245e-05	2.72000068564e-06	2.16945135945e-06	1.91063396685e-06
ì	0.00729189252068	0.162781084665	0.514147388435	0.310501085169	0.00498231621129	0.000200528571916	5.91376624146e-05	2.29490764748e-05	3.93440736188e-06	4.66687911982e-06	4.98798148895e-06
s	0.0476954161736	0.087437692555	0.283673107812	0.554913981723	0.0243454834038	0.00114003979064	0.000101905637472	6.60563937916e-05	2.94505469206e-05	3.70300463733e-05	0.000559826784496
o	0.0775644873912	0.0589172038517	0.128811079937	0.623829027241	0.0996710571346	0.00788200046355	0.00229639863249	0.000143187657931	7.28764656402e-05	6.04546394578e-05	0.000752253196165
n	0.0474088077971	0.0427373619506	0.0634560486457	0.705258055747	0.124621814378	0.0120146341545	0.00391196021083	0.00019253670931	7.72196052134e-05	5.39120538193e-05	0.000267696693388
t	0.017297309089	0.0193441923169	0.0324474845486	0.801714431916	0.110107830126	0.0162796203848	0.00245830737028	0.000172935383103	4.44049384045e-05	3.72368581064e-05	9.62743776727e-05
a	0.00606910238633	0.0112508578556	0.0214811257162	0.595891343972	0.344175396709	0.0198535744616	0.00112842995009	8.8500009201e-05	1.63854782682e-05	1.29011749355e-05	3.24075509009e-05
i	0.00276496569544	0.0042099050352	0.0122534412721	0.292394569657	0.65278816557	0.0321662658205	0.00320927534336	0.0001840139979	1.23153532227e-05	6.04733004517e-06	1.10613164836e-05
k	0.00144901707848	0.00187533134507	0.00764621642403	0.143197818219	0.70926930519	0.120379705274	0.0154676126145	0.000639912182633	5.45389694076e-05	1.53335276817e-05	5.21441277787e-06
i	0.00119895470616	0.00145791234836	0.00425629397468	0.068365185073	0.642345418397	0.257614235091	0.0239000178715	0.000768242060878	7.12720004692e-05	1.87025691272e-05	3.78025095929e-06
a	0.00140522816872	0.00145243211612	0.00298458665823	0.0262346681577	0.636039039466	0.311276101697	0.0200200656238	0.000539196140293	3.77178378231e-05	8.9416999424e-06	2.06477771976e-06
