 	i	piccoli	i	bambini	non	possono	mangiare	il	gelato	prima	di	mangiare	prima	di	mangiare	</S>
a	0.86110205	0.0943693309	0.004161144833	0.03754234761	0.00203017297725	0.000550326557	0.00010649875785	2.1528366745e-06	0.00013207484358	6.5307286825e-07	6.9413971935e-07	8.081301035e-07	2.757092655e-07	3.331322012e-07	3.9672500185e-07	6.749595435e-07
k	0.700412683333	0.240165306967	0.00916159094433	0.0466126722033	0.00203553876508	0.001340544119	0.000127833592617	4.4884216915e-06	0.000132258710993	3.41632005608e-06	8.51003573117e-07	8.533388945e-07	5.149223885e-07	3.41600762733e-07	4.08676016617e-07	6.85705065833e-07
è	0.406546863444	0.551467235656	0.00887914971478	0.0309612534011	0.000707508927693	0.00131930835633	6.48761326723e-05	3.8417508185e-06	4.43985058977e-05	3.90648332719e-06	4.42400359039e-07	3.31667433167e-07	4.125520177e-07	1.23054020264e-07	1.49393365506e-07	2.48103318744e-07
c	0.155806663481	0.780768701885	0.0357815736383	0.0267966971337	0.000270800593898	0.000533300388777	2.39860506908e-05	1.38731847083e-06	1.48753233612e-05	1.44406090423e-06	1.58386413013e-07	1.13468772722e-07	1.77715060767e-07	4.2343148208e-08	5.09442429687e-08	9.00839817147e-08
c	0.0977221511603	0.778099600628	0.0717936245461	0.0518189773779	0.000207078359299	0.000330785249592	1.25283735636e-05	1.13573620028e-06	5.90436271573e-06	2.01773962141e-06	2.41302349671e-07	1.24142044241e-07	1.28668735359e-06	1.10310267169e-07	1.41550604823e-07	4.3235512239e-06
i	0.0658078780534	0.555499276876	0.194810631515	0.157172272459	0.00186016589643	0.0242113014165	0.000605464853188	5.87056836676e-06	1.51738562052e-05	2.5612861738e-06	5.18669736557e-07	4.42788991414e-07	1.67683463786e-06	1.81964825723e-07	2.74085958274e-07	6.3024515413e-06
a	0.0296168561845	0.238891800625	0.505906937172	0.18346090082	0.00709449996548	0.0340329399055	0.000957122011063	8.50534645559e-06	2.38722924017e-05	1.6500508346e-06	5.24995438852e-07	5.61808013805e-07	6.56855129287e-07	1.34316975241e-07	2.39611209425e-07	2.77991794043e-06
a	0.0115512330615	0.0865343045417	0.662784912391	0.133418283607	0.0767610383218	0.0271921720685	0.00169329409702	1.10200808185e-05	4.99626584672e-05	1.35012662153e-06	3.88545469617e-07	4.00533877935e-07	2.90074969762e-07	8.62703570803e-08	1.54985109808e-07	1.10078394014e-06
r	0.00483655176383	0.0340831195139	0.478033407464	0.327643934536	0.103187345774	0.0482847846895	0.00362986206567	0.000176608634606	7.04055061557e-05	3.66083655738e-05	9.04776778654e-06	4.59975152598e-06	1.91766538659e-06	7.23509707693e-07	5.86787629936e-07	4.96244660047e-07
è	0.00167974255228	0.014335279838	0.228597332488	0.652401178179	0.0440081916913	0.0554046055632	0.00323603628856	0.000225797986735	4.19962943986e-05	4.78759626633e-05	1.18151361248e-05	5.88477649723e-06	2.4271847648e-06	9.18167734831e-07	7.00922033312e-07	2.26174388682e-07
t	0.00070452938176	0.00666260961267	0.204521470829	0.726520412726	0.0269342266638	0.0330408472877	0.00148193910952	9.2279887445e-05	1.46381715462e-05	1.88169381931e-05	4.30911610427e-06	2.02928870431e-06	1.24806469087e-06	3.34405060544e-07	2.51798294437e-07	8.64949292273e-08
i	0.0228062452706	0.0115054448709	0.22354528361	0.458516808242	0.152761378221	0.0657497738626	0.0636929877832	0.00104008504582	0.000241630274915	0.000103973972564	1.55013612348e-05	1.01306111181e-05	5.31951763029e-06	1.13389393685e-06	1.84488882481e-06	2.48550928741e-06
e	0.0314329888569	0.0129051939236	0.114708220203	0.170949951181	0.319183309407	0.175789224621	0.172663345928	0.00182778414861	0.000356246696972	0.000137588900855	1.95585715449e-05	1.30840350727e-05	6.39435838343e-06	1.38885149028e-06	2.40197380827e-06	3.34895530914e-06
s	0.011906358489	0.00525523886453	0.0464501637343	0.0693464084937	0.266086393136	0.378964174874	0.215944095309	0.00525887878287	0.000660897237657	9.90324069517e-05	1.56248366483e-05	7.13614052423e-06	2.77279860114e-06	6.52795321427e-07	9.5459133609e-07	1.20576398971e-06
ò	0.00404763546967	0.00205211574484	0.0191244137681	0.0348256146979	0.119927073712	0.598980758291	0.213481298436	0.00668139649429	0.000777368482552	8.08293478172e-05	1.38736815494e-05	4.90342770141e-06	1.42171656238e-06	3.93375858809e-07	4.30660656563e-07	4.1897295957e-07
z	0.00163402601656	0.00105917675828	0.0140535851127	0.0161868294326	0.220068793904	0.46688519443	0.272838606145	0.0065823053981	0.000592716197517	7.05084114391e-05	1.99061795165e-05	4.9875702938e-06	1.98245991613e-06	6.1863079127e-07	4.50218363388e-07	3.11432842857e-07
u	0.00592975599552	0.00447325522943	0.0141522330376	0.0102984012775	0.298021134635	0.18512734881	0.447649055382	0.0307814681327	0.00265956983251	0.00072173951048	0.000126509441172	4.41275340979e-05	1.09701803054e-05	1.77891273042e-06	1.89114725446e-06	7.82843214286e-07
