 	non	sono	andati	</S>
e	0.77049815	0.22223755	0.00686395515	0.000400386735
n	0.54155661	0.44934257	0.00818492871667	0.000915950455
è	0.274073455333	0.712634576667	0.0123147975722	0.000977235405
c	0.0958617089943	0.876520092222	0.0271582028574	0.000460045731667
h	0.0321770212614	0.919476130741	0.0477648419525	0.000582018787222
u	0.0109672833671	0.658789376914	0.315970140651	0.0142731956624
n	0.00392446477903	0.315552042305	0.659036046884	0.0214874322208
e	0.00143911238968	0.159079864102	0.628502542295	0.21097844774
p	0.00057478226656	0.0567612113673	0.635160460765	0.307503553913
a	0.00025953581552	0.0223903765024	0.710811120255	0.266538999304
m	0.000138671152173	0.00777275306747	0.734418656752	0.257669911435
è	9.38803877243e-05	0.00316183820916	0.859744955584	0.136999305478
n	0.000242586359241	0.00399698473639	0.858598705195	0.137161681826
a	0.000485115876414	0.00414361503213	0.560947931732	0.434423273942
</S>	0.000596956358207	0.00251154319606	0.318986610866	0.677904836971
