 	la	madre	e	il	padre	non	è	non	è	che	li	dimentichiamo	mai	perchè	ci	hanno	dato	la	vita	e	amore	</S>
i	0.80317435	0.17983268	0.0109578310825	0.00062557267375	0.00249721112625	0.0019415396275	0.00039919969585	0.00043948744015	0.000124703507675	8.081637565e-07	6.40212864e-07	2.2844632175e-07	2.3599700985e-07	3.324792768e-06	1.14143931015e-07	3.607805782e-07	3.957030479e-07	1.21767682e-07	4.746182893e-07	1.3868796345e-07	1.235718571e-07	5.22161438e-07
m	0.57563305	0.381353203333	0.0337529250275	0.00356699969125	0.00276453414208	0.00194253018917	0.000401472145617	0.000440353630483	0.000125949280558	4.20427841883e-06	5.029598988e-06	2.02998380058e-06	6.77132523283e-07	3.97938018933e-06	1.41617070338e-07	5.581306594e-07	4.750268693e-07	1.58018555333e-07	5.207819931e-07	2.08061104483e-07	4.88268662367e-07	5.48321469333e-07
à	0.327358336667	0.600040134444	0.0656652450092	0.00448864613042	0.00129068258736	0.000796750843057	0.000140222484872	0.000158178627261	4.38659239193e-05	4.80253016261e-06	6.07597482e-06	2.48399726286e-06	6.72472963928e-07	2.00237106178e-06	7.5605316946e-08	3.91696289133e-07	2.42105115433e-07	9.02459618777e-08	2.226262776e-07	1.40611809694e-07	5.28861126256e-07	2.34695692111e-07
n	0.154938706556	0.719160591481	0.11961779367	0.00480422411014	0.00091378966912	0.000413725970352	5.30436489573e-05	6.3464322787e-05	1.65696707064e-05	2.03938084387e-06	3.27477003067e-06	7.03115808362e-06	6.99571277476e-07	8.7424261926e-07	4.0345910482e-08	3.82289015711e-07	1.10739880811e-07	1.45957429393e-07	1.003513891e-07	2.75951584765e-07	1.85702251422e-06	1.26221674304e-06
a	0.089676649852	0.517218100494	0.305103124557	0.0560928630367	0.024370145423	0.00432457667945	0.00151694948099	0.00128563327463	0.000351850890569	3.67275104796e-06	1.24495356102e-05	1.35115623612e-05	5.12483759249e-06	3.40769727309e-06	3.94588534827e-07	6.97017228857e-06	2.8445582636e-06	9.82921269798e-07	3.64792576367e-07	1.65172562826e-06	2.93758010474e-06	5.79345338101e-06
c	0.0537882498507	0.205732872498	0.505443941519	0.191110777679	0.0340467667077	0.00563540463148	0.002008645927	0.00169435421028	0.000465086302856	7.93811951599e-06	1.84849195367e-05	1.02464390871e-05	6.5165952975e-06	5.46206719103e-06	5.30743179609e-07	9.16617482952e-06	3.8292442612e-06	1.2071259166e-06	4.63973822122e-07	1.98838506609e-06	1.91531346825e-06	6.16925690367e-06
e	0.0201590414169	0.0884345564993	0.548761580506	0.292973459226	0.0366296351359	0.0110408262822	0.000752549549	0.00105059265549	0.000161087301285	6.83397365866e-06	1.04332142822e-05	4.20238888437e-06	2.57134124417e-06	3.24906957468e-06	2.10613702203e-07	3.31583074184e-06	1.3910713144e-06	4.636745513e-07	1.92423639707e-07	7.70168211463e-07	9.37141805017e-07	2.12250353122e-06
o	0.0111736937056	0.0446922276998	0.372713196169	0.466696553075	0.0834194750453	0.0191518467607	0.000505290639667	0.00155126735183	7.54886714283e-05	3.44525180622e-06	7.0788981974e-06	2.38537485012e-06	1.34764029306e-06	1.98721633589e-06	8.98728210677e-08	1.70565084595e-06	7.65141125467e-07	1.87813412867e-07	2.26474382236e-07	3.09376503254e-07	4.12062670606e-07	1.04569044707e-06
c	0.0066431134352	0.0154648219666	0.147081554723	0.562801724358	0.240076821682	0.0161265762536	0.00643711176322	0.00266177085061	0.00147690023381	0.000850744739869	0.000206116206066	3.188888195e-05	3.1862880931e-05	3.24933098453e-05	1.4426225453e-05	1.48672018153e-05	1.07694173418e-05	8.50346428096e-06	6.98794436075e-06	1.34481616011e-05	5.05555314354e-06	2.45946613236e-06
i	0.00271208589507	0.00564640888887	0.0789569849077	0.426314168119	0.405308023894	0.0571665264179	0.0105789241544	0.0096982187502	0.00199412231794	0.00113223669499	0.000269090140465	4.07875095267e-05	4.15824606587e-05	4.18005410751e-05	1.91889134805e-05	1.87031661851e-05	1.38447328973e-05	1.1246043876e-05	9.08288903958e-06	1.77804136004e-05	6.50740062318e-06	2.66120041245e-06
ù	0.00484498684836	0.00343165542962	0.0500584446359	0.257882849373	0.415095924631	0.174343825473	0.0603666999515	0.0297677515834	0.00361959914598	0.000385711233363	0.000102994488598	1.95155333856e-05	1.81191722346e-05	1.74349028184e-05	6.59629482297e-06	1.1008839975e-05	7.35180641577e-06	4.44174270767e-06	3.26917301586e-06	6.9804800668e-06	2.77366961639e-06	2.02252400582e-06
r	0.00560268538279	0.00291150337654	0.046788051212	0.228025189791	0.439198541544	0.165509039024	0.0779387223172	0.0292187590845	0.00454631798199	0.000145039165454	5.0659574866e-05	1.75228824619e-05	1.06323007782e-05	9.7860270728e-06	2.41980404899e-06	8.565482605e-06	5.17533966526e-06	2.27074720256e-06	1.34351632429e-06	3.57486902227e-06	2.3473384388e-06	1.81664999194e-06
i	0.0101413342276	0.00313426782551	0.0450776617373	0.20611949993	0.499535580515	0.125892903541	0.0755023164391	0.0291434022515	0.005174049594	0.000102926416151	0.000101198306955	2.56603514873e-05	1.31527009594e-05	8.82820882427e-06	1.025052691e-06	1.27183071483e-05	5.17420674842e-06	1.33948386752e-06	7.5093891043e-07	2.00995987409e-06	2.5958358796e-06	1.60153265398e-06
e	0.0141051467425	0.00284618644184	0.0171755580124	0.08306629081	0.500932826838	0.183592364514	0.121793652146	0.0681535680838	0.007874486198	0.000171895685384	0.000191903172318	3.41551944958e-05	2.01301553198e-05	9.38298460809e-06	6.01896363667e-07	1.89992673828e-05	6.01484358281e-06	1.02400100917e-06	6.9208619681e-07	1.40195700136e-06	2.08905153653e-06	1.68316009799e-06
n	0.0137139555808	0.00362083674728	0.0102724497708	0.05186469777	0.371148365613	0.191539754838	0.161200674049	0.107515322695	0.0501172417327	0.0229915517818	0.0103627576074	0.000447965921499	0.00116478109444	0.00188900846154	7.74951010212e-05	0.000778368010794	0.000421299376528	0.000125318348256	0.000397213855726	0.00022932844771	8.04148754222e-05	4.12237389127e-05
è	0.0124243371936	0.00412126961576	0.00875822935693	0.0447126829233	0.257046778538	0.140218518279	0.23729347135	0.108102354232	0.133497723911	0.0322825539273	0.0140164769025	0.000594566931166	0.00154867668381	0.00252466326051	0.000103293062607	0.00103096697493	0.000560691382076	0.000166883091829	0.000529410289175	0.000305518011103	0.000106618363474	5.42751293709e-05
e	0.00768498706453	0.00205202489525	0.00419472826231	0.0215089882411	0.220145499513	0.124877629426	0.289071257117	0.133119491411	0.166828934637	0.0206317883091	0.00710394300083	0.000314980867722	0.00059723186027	0.000867333645837	3.53224728023e-05	0.000381797842977	0.000192831934259	5.62419256863e-05	0.000177919089492	0.000102457596821	3.6158821038e-05	1.84055008236e-05
n	0.00590096208818	0.00156102835508	0.00261190379744	0.0117607686804	0.119972058838	0.109141645142	0.212421099039	0.13182728047	0.166368004879	0.20123144477	0.0307223573336	0.00125234255591	0.00106567270009	0.00282353976761	0.000112651427267	0.000409990004326	0.000278839381753	7.36353045621e-05	0.000275418165664	0.000106690783527	5.80342585593e-05	2.46055875745e-05
