 	sono	vestita	</S>
ì	0.81645655	0.1820190981	0.00152434998
m	0.802811596667	0.195775138367	0.00141326406333
e	0.670890372222	0.298575631789	0.0305339816578
n	0.322242084074	0.636724800596	0.0410331048526
d	0.133997112358	0.708135973532	0.157866922584
i	0.0580836994527	0.602525207844	0.339391094195
m	0.0209393646509	0.705211602615	0.273849017398
è	0.00809031360697	0.878984580872	0.112925070799
n	0.00339779782566	0.898651823624	0.0979503425997
i	0.00553131534189	0.584352565875	0.410116110867
</S>	0.00862159917095	0.304068894938	0.687309520434
