 	se	avessi	visto	il	tempo	avessi	visto	le	nuvole	e	non	avevo	uscito	per	bagnarmi	</S>
a	0.82740765	0.1597122073	0.0125356943	0.0002193377465	3.45163324e-05	7.94228929e-05	1.92591059e-06	7.34906643e-07	1.371674215e-06	4.031102565e-07	3.963986765e-06	1.2388706925e-06	7.40728955e-07	1.2799846485e-07	2.34265163e-07	4.57959985e-07
n	0.500565662333	0.4522034291	0.0439032367667	0.00213646784883	0.000596947072133	0.000460993037633	7.61208659967e-05	2.11976075143e-05	1.38488244717e-05	2.28199165217e-06	3.99281221167e-06	5.16506556417e-06	9.64999881833e-06	1.55697768283e-07	2.81649154333e-07	5.44519111667e-07
ì	0.174180802111	0.7685067097	0.0531284189222	0.00270605225294	0.000770465302044	0.000540131719211	9.97122277722e-05	2.76420485181e-05	1.72395819239e-05	2.66763798739e-06	1.63958260722e-06	5.70119040139e-06	1.21941197461e-05	8.31321904277e-08	1.58879768111e-07	3.03084997222e-07
c	0.0615531325037	0.875320203233	0.0610873396407	0.00150870288765	0.000280440887681	0.000192440489737	3.42517336974e-05	9.37661786603e-06	5.90720965463e-06	9.2693046713e-07	7.7552255984e-07	1.94816953713e-06	4.3207860887e-06	3.03089345759e-08	6.51416833037e-08	1.16977545874e-07
h	0.0230027477679	0.833953847744	0.141268056547	0.00155811416255	0.000121093768894	7.47114184123e-05	1.28038165658e-05	3.28615618868e-06	2.05540284154e-06	3.4616991771e-07	2.7648450738e-07	6.86148059043e-07	1.8367381129e-06	1.7142693292e-08	3.13507240346e-08	1.12536428758e-07
a	0.0106718788893	0.692098929248	0.292322352182	0.00441137185418	0.000372186520298	0.000106548081304	9.98908652193e-06	2.02834848289e-06	2.10966442385e-06	2.5828001657e-07	4.61779379127e-07	4.42703809681e-07	1.29238298763e-06	1.6378263264e-08	3.74556763449e-08	1.18701243919e-07
t	0.0047416016032	0.445691043083	0.501821304061	0.0454118259514	0.00213284200677	0.000179213383768	1.42928818406e-05	2.40114042763e-06	2.83127550795e-06	2.9141204219e-07	5.09320767042e-07	4.96937269894e-07	1.23343506254e-06	1.0053145188e-08	3.15027458816e-08	5.20403777063e-08
o	0.00181879244117	0.281879624361	0.58491187802	0.122305695317	0.00855185866892	0.000515129754589	1.09948762802e-05	1.95247677588e-06	2.15230983598e-06	2.0300754073e-07	5.26372429681e-07	3.47017029965e-07	7.20730590847e-07	4.26401066267e-09	2.33258663939e-08	5.14536746354e-08
r	0.000855125122723	0.212778371454	0.483155676007	0.243961375106	0.0563347908896	0.00275439798486	9.52269424267e-05	2.61594031586e-05	1.87871816787e-05	4.05400888691e-06	6.53948023227e-07	9.81644604999e-06	5.41124926695e-06	4.69856688876e-08	6.3732368798e-08	5.57421475451e-08
ì	0.000458539363241	0.172011057151	0.361467875336	0.343327608369	0.110711676963	0.0118121196616	0.000125680890642	3.50598976529e-05	2.43596428262e-05	5.3477333023e-06	5.50402874409e-07	1.29739398467e-05	6.97223184998e-06	6.16767542959e-08	7.52186625993e-08	3.49748328484e-08
s	0.00107632393441	0.144784043384	0.383569258445	0.363733926123	0.0935993256543	0.0131135570205	8.13603233807e-05	1.69572638176e-05	1.01137313754e-05	2.36380640743e-06	4.06046502803e-07	4.60715705557e-06	7.54960771099e-06	4.08086067653e-08	5.13758491998e-08	6.36375352828e-08
o	0.0059800173448	0.071390848128	0.309937569148	0.390282068708	0.163354808551	0.0580752638068	0.000238794897794	0.000174852122606	0.000400929599625	2.82517627691e-05	5.47808385256e-05	3.57835272952e-05	4.1623398237e-05	2.53837379588e-07	2.42144882507e-06	1.67667703176e-06
n	0.00710399336493	0.0292466655093	0.143028567383	0.422408552903	0.301016436184	0.0956586329356	0.000495340512598	0.000267242167535	0.000550937976542	3.96990375897e-05	7.30620739752e-05	5.16354607651e-05	5.3274691079e-05	4.16819376529e-07	3.28413368502e-06	2.22138649392e-06
