 	è	che	sono	usciti	</S>
è	0.68826325	0.20615275065	0.05867293209	0.04687801486	3.30868975e-05
n	0.490486516667	0.358118646883	0.104370217363	0.0469816490867	4.29832615e-05
a	0.299799357656	0.307625428961	0.373423585788	0.0189233594956	0.000228278006167
g	0.102938259752	0.35534648632	0.529155171929	0.0121757221652	0.000384372438722
u	0.035065495494	0.350807463773	0.587117920643	0.0239287587217	0.00308036177291
ì	0.0118188171313	0.139922422924	0.738354150214	0.105634126241	0.00427048319097
k	0.0040292564371	0.063235390308	0.751942273405	0.177667165414	0.00312591399699
a	0.0040802787157	0.0346806201027	0.532864591135	0.391024218471	0.0373502633323
n	0.0040595323719	0.0179755202676	0.202293622712	0.709750372824	0.0659209211108
e	0.00139875376063	0.00674082770253	0.0724379835373	0.565188527608	0.354233887037
</S>	0.000725293135315	0.00341211592126	0.0368647672186	0.311191968804	0.647805823519
