 	non	ho	dove	d'	andare	</S>
e	0.798636925	0.16527862	0.03083947915	0.00506360455	0.0001572932775	2.4114268e-05
n	0.566201673333	0.37772979	0.04932390305	0.00558177018333	0.00107439762583	8.8501488e-05
è	0.238286057444	0.588318596667	0.162244757683	0.00970492572778	0.00134303764661	0.000102674498333
c	0.0907337430147	0.625251045556	0.271616839228	0.0115290808093	0.000829307453537	3.99955304443e-05
h	0.0307215562242	0.490939115185	0.468264846409	0.0093079935031	0.000747418367846	1.90323944814e-05
o	0.0107178571274	0.213998020728	0.73404811547	0.040002427501	0.00112720897262	0.000106342543827
p	0.0040428199658	0.0809979684093	0.84910368849	0.059765039167	0.00590758109087	0.000182899421276
u	0.00763860121193	0.0288453820364	0.602720056163	0.319988296389	0.019039146197	0.0217685368338
è	0.00901012685731	0.0106764683788	0.208006993454	0.719828765463	0.0234143820657	0.0290633140113
n	0.00328678847244	0.00386171349293	0.0708117385847	0.889265988488	0.0215391756886	0.0112346383038
a	0.00883474922415	0.0171045398976	0.0261353627949	0.626299097829	0.27226838223	0.0493578746679
p	0.010597303098	0.0215080590292	0.0113240818316	0.22519045861	0.615238614077	0.116141484889
à	0.00354739037883	0.00725957208873	0.00428144792387	0.0851575122033	0.804488304692	0.0952657742963
o	0.00168121234911	0.00283331051191	0.00148854307796	0.0296164512944	0.622962786564	0.341417697432
</S>	0.00158366952455	0.00203138645595	0.00081711172398	0.0148910439872	0.347094650782	0.633582128716
