 	non	mangiare	la	sera	</S>
m	0.4705892757	0.070314648	0.0741924695	0.38262512628	0.00227844309
i	0.175967749033	0.362491029333	0.0765112041667	0.38269908445	0.00233090065667
f	0.0775803212777	0.550839886444	0.182410292389	0.187127657173	0.00204182771222
a	0.0309663603592	0.574697988815	0.270257747463	0.122041824391	0.00203610132407
i	0.0197021144531	0.469424678272	0.425363185821	0.075768266797	0.00974177442802
o	0.012290663451	0.165071091091	0.58768598194	0.202579215599	0.0323730488093
v	0.00475931251567	0.0590911604803	0.38450351198	0.478595608533	0.0730503996031
r	0.00160209134456	0.0213773271101	0.23643253866	0.672369719511	0.0682183116344
à	0.00227181888885	0.02465202987	0.418812349553	0.511536889837	0.0427268866448
i	0.00655110962962	0.02459619539	0.396811153851	0.276178379946	0.295863133215
</S>	0.00936626481481	0.012686859345	0.202894552926	0.231902389973	0.543149916608
