 	tu	quante	bottiglie	hai	rotto	dieci	</S>
e	0.955125815	0.0431395271	0.0011402416915	0.0005882394155	4.6914264e-06	1.22636915e-06	3.3141083e-07
s	0.778852058333	0.208904974033	0.0115541128305	0.0006795049785	7.77633746667e-06	1.35932191667e-06	2.65103853333e-07
ù	0.496921252778	0.485622591344	0.0170452422768	0.000403246156167	6.64170762222e-06	9.13105665557e-07	1.48619767778e-07
p	0.253548303259	0.727680830448	0.0184387320923	0.000328518008722	3.25730420741e-06	3.92987107519e-07	9.3363945926e-08
ò	0.159688380086	0.759105743483	0.0769640240308	0.00419761770291	3.45812282691e-05	1.01382772817e-06	8.80753506531e-06
s	0.124245406229	0.689271061161	0.180843454677	0.0055815519243	4.55282261897e-05	1.29556248606e-06	1.18175494084e-05
e	0.063457082943	0.486167884387	0.434848264892	0.0149995259981	0.000493427955497	1.3912598172e-05	1.99547855228e-05
b	0.041690437981	0.219011198796	0.716816534964	0.0217391809994	0.000698013828499	2.18084300573e-05	2.28392175243e-05
o	0.014754054627	0.111307888532	0.815288228321	0.0582842816665	0.000346253552833	1.11923614991e-05	8.1379711581e-06
t	0.00523296166567	0.049092666444	0.793357346107	0.151542967222	0.000759790584278	1.10123496464e-05	3.3073051527e-06
t	0.00187144695522	0.036692855148	0.814465935369	0.145494680407	0.00143096492809	4.06061008821e-05	3.5393987509e-06
ì	0.00099664031174	0.022419513716	0.77948803179	0.195797791469	0.00124619872936	4.39090042607e-05	7.92736548363e-06
g	0.00125261255391	0.0361960562387	0.59516875393	0.365049317156	0.00224734042979	6.50621453869e-05	2.08621501612e-05
l	0.0716082378846	0.0601563967462	0.48581560131	0.374944612385	0.00441912110993	0.000184007295129	0.00287198030905
i	0.109284499295	0.0455101229154	0.340715300437	0.454636657462	0.0452680502366	0.000517113818376	0.00406817723635
e	0.0562262360983	0.0208359963718	0.158481404479	0.531049129154	0.229765663412	0.00181230813946	0.00182920426212
ì	0.0324402783661	0.00899294685727	0.0761105528263	0.406733786385	0.470853811137	0.00358325307982	0.00128535793737
s	0.019646527772	0.00489445619909	0.0394735106088	0.343418882128	0.569593703712	0.0219078865933	0.00106502537912
e	0.023331117574	0.0103509349797	0.0278318862029	0.241791404709	0.643322467904	0.0495848065311	0.00378738005971
g	0.024472567183	0.0120107834132	0.0201714490343	0.0979260142363	0.651347589301	0.189161512177	0.0049101086199
l	0.009465316386	0.00416293174773	0.0071779035281	0.0424552788788	0.5483635631	0.353917114059	0.0344579018066
a	0.00449707230067	0.00153475013774	0.00271737859137	0.0157661127596	0.5645636677	0.34082067802	0.0701003286022
m	0.00154299827822	0.000523594471747	0.000945919636457	0.00694271111987	0.572682989233	0.363646182673	0.0537155962007
m	0.000619363142073	0.000190304427916	0.000354705829486	0.00367756226329	0.405475349744	0.533528570891	0.0561541140669
è	0.000315127898358	7.72723573053e-05	0.000150512943162	0.00166865075443	0.237422463248	0.703841856964	0.056524076689
n	0.00180205734045	9.92157304351e-05	0.000127524174387	0.00119988126148	0.150129087749	0.731237652321	0.115404577563
a	0.0122488960135	0.0138571375168	0.00418194496146	0.00234232478716	0.0782673062497	0.570782344107	0.318320059188
d	0.0140502491898	0.0183766221189	0.00547043422115	0.00238537398272	0.0332523737499	0.625142221369	0.301322733063
è	0.0046966592586	0.00613678504297	0.00183105418405	0.00080519796624	0.0145182803166	0.86111165379	0.110900401688
k	0.0016353958562	0.00205737669132	0.000618547577017	0.000278881652747	0.0059690667722	0.899165284597	0.0902754745627
a	0.00330098737873	0.00465002235077	0.00158408563167	0.000570816796582	0.00333945039073	0.602963411532	0.383591221521
</S>	0.00568831418937	0.00826805292538	0.00285182101584	0.000995896648291	0.00264936899536	0.334082530766	0.645464010761
