 	non	ha	da	mangiare	</S>
e	0.71258092	0.278823515	0.007723068665	0.000709768875	0.000162752275
n	0.46529836	0.511892091667	0.0201099252217	0.00209893235833	0.000600702691667
è	0.210515538667	0.724021050556	0.0620898124072	0.00267252571944	0.000701074981889
c	0.0760421254223	0.720273216852	0.193552790802	0.00983435033981	0.00029752588863
h	0.0255958602374	0.539885785617	0.405728430267	0.0285722597799	0.000217683912877
i	0.0086805797758	0.290723506872	0.652836193422	0.0444587165933	0.00330101777763
n	0.0030310458496	0.104996187624	0.820006447807	0.0673290515311	0.00463726105921
a	0.00143103384087	0.038035351058	0.581325940269	0.290705929177	0.0885017148197
f	0.00089026177929	0.0133767127693	0.293594114423	0.542421959726	0.149716936607
à	0.00053525872543	0.00569324305643	0.203573500141	0.695576486575	0.0946215472023
i	0.000653376575143	0.00286525207548	0.0859242081003	0.559689058858	0.350868119067
</S>	0.000686380687572	0.00160546577274	0.0431051881302	0.316759124429	0.637843809533
