 	Marika	cerca	una	macchina	che	consuma	fa	poco	consumo	in	benzina	</S>
e	0.91879053	0.07342318275	0.0074760389435	0.0002715595961	2.47792735e-05	7.4900129e-06	2.024078875e-06	1.20665791e-06	1.33273924e-06	4.1829457e-07	3.65186567e-07	1.00438402e-06
M	0.863303056667	0.127986987583	0.00836752084783	0.000286150142033	2.98533635e-05	9.72425863333e-06	2.67314445833e-06	4.69279503667e-06	7.49130098e-06	4.7000184e-07	3.86480249e-07	9.67431202e-07
à	0.809857332222	0.185897609194	0.00409488831594	0.000113079290478	1.53145912167e-05	5.66260698278e-06	1.58806212744e-06	5.08847764562e-06	8.717060401e-06	2.199494163e-07	1.68164039717e-07	3.54673600667e-07
r	0.738910290741	0.256569809731	0.00444313227198	5.9743491626e-05	6.04060572223e-06	2.22363869926e-06	6.45627683813e-07	2.76144134861e-06	5.01569804133e-06	9.78550750667e-08	7.7560728289e-08	2.00073511556e-07
i	0.513289800247	0.42239236991	0.0612718967573	0.00277891179221	9.27256705074e-05	8.58847098331e-05	3.02398220613e-05	5.94396828287e-06	4.23608551804e-05	4.16952444169e-06	5.3669519443e-07	5.16868514385e-06
k	0.227543524749	0.682309456637	0.0860677349191	0.00372033332074	0.000125372346169	0.000114854010078	4.03246182204e-05	7.78750552762e-06	5.76338317268e-05	5.56672994056e-06	6.80009304143e-07	6.75421672162e-06
a	0.0927889289163	0.787356805546	0.117884774306	0.00181543313025	5.68568273897e-05	4.57524321593e-05	1.56513759401e-05	4.69761627587e-06	2.60755291756e-05	2.19599420685e-06	2.72819985381e-07	2.58253881421e-06
j	0.0367346686388	0.794188021849	0.166893848102	0.00179389534342	0.000297070711797	5.05549427198e-05	1.627380698e-05	7.55142409196e-06	1.41863756585e-05	2.03913636895e-06	4.46887373127e-07	1.41529892474e-06
u	0.0155134411796	0.76285897395	0.219495516034	0.00167557361447	0.000375650842599	4.66872488066e-05	1.46608398933e-05	8.25340203399e-06	8.31471509283e-06	1.71224376465e-06	4.71033690842e-07	7.08169838247e-07
r	0.00623911792653	0.59127513465	0.396451482011	0.00521475720482	0.000695542332866	8.36394841689e-05	1.58377241978e-05	1.14126590147e-05	1.12178372376e-05	1.29567476322e-06	2.54817710081e-07	3.01245722749e-07
è	0.00279576466218	0.345956748217	0.643314727337	0.00694536446827	0.000848473100955	9.63511393896e-05	1.62234675593e-05	1.25043175782e-05	1.23192829125e-05	1.15850445841e-06	1.8297446196e-07	1.6185666225e-07
i	0.00196705160739	0.150860145406	0.832405209112	0.0138422443894	0.000726554223652	0.000116126054463	1.50126503464e-05	7.01885443273e-06	5.96030404708e-05	6.1657612347e-07	8.406974392e-08	3.18031085417e-07
m	0.0021339031358	0.083485002802	0.823672549704	0.0686122941298	0.0202987312746	0.00133004003482	0.000256871104449	7.32472284776e-05	0.000121333846824	1.11410915412e-05	2.65651692597e-06	2.24422080514e-06
i	0.0014593667186	0.0569060342673	0.811638096568	0.0941718947099	0.0333552977582	0.00193546307827	0.00033303544015	9.29934290592e-05	8.72348326747e-05	1.44479813357e-05	3.49625464666e-06	2.64676678505e-06
a	0.00174284191287	0.0253783865558	0.609199065523	0.29988662157	0.0583253065861	0.00477501719276	0.00035839705205	5.42556059197e-05	0.000269189461292	7.46030410057e-06	1.89725075355e-06	1.55820081168e-06
m	0.00189289927762	0.0115014356186	0.266066218508	0.435612453857	0.272250942195	0.0112906637309	0.000784604684017	0.00018358656864	0.000376791827097	2.74362962002e-05	9.25142178452e-06	3.70864280389e-06
