 	io	la	casa	la	posso	pulire	ogni	sabato	e	mia	mamma	la	puliva	ogni	giorno	perché	lo	poteva	aveva	la	possibilità	di	pagarlo	ogni	giorno	</S>
e	0.942787645	0.03782634485	0.018271059445	0.00012599085965	0.00096244519085	1.5819297025e-05	6.683148935e-06	1.94719322e-06	2.35607105e-07	2.13724493e-07	2.808424957e-07	7.2780398e-08	1.234632005e-07	5.59277905e-08	2.90247241e-07	5.618798715e-08	6.471479275e-08	5.16915154e-08	1.068714265e-07	4.50647018e-08	1.4479399e-07	4.37985446e-08	7.3807218e-08	4.6697151e-08	6.9977248e-08	2.3838395e-07
v	0.730843881667	0.08028471495	0.053065080815	0.00253149745322	0.132253266864	0.000663014245675	0.000254715447645	5.21115613067e-05	9.15773302167e-06	7.546255811e-06	6.43767934857e-06	1.077466426e-06	1.36496250017e-06	4.18007531833e-07	1.69936633137e-05	3.21854893717e-07	4.57242037583e-07	2.26028023467e-07	1.13887476883e-06	1.86821428933e-07	8.23626233333e-07	1.98000473533e-07	4.85669142667e-07	3.13845400333e-07	1.54046179267e-06	3.16566197333e-06
ò	0.395942001889	0.314466668317	0.099923173605	0.00974855248441	0.177397275421	0.00112163338189	0.000654678082548	7.64735194356e-05	7.22553836739e-05	0.000104214823604	3.53009507829e-05	3.67472218087e-05	2.01104979001e-05	2.43236724106e-05	0.000160567818438	4.49557878457e-06	4.25958852792e-05	5.25026717449e-06	2.65184449229e-05	1.0374593543e-05	2.91347627444e-05	6.10366297784e-06	4.09530048089e-06	2.12912525001e-05	5.17728872642e-05	1.44276606578e-05
o	0.175002175296	0.407493572772	0.220307791202	0.0407429738281	0.153617958274	0.0010213028273	0.000898101560849	4.58381228119e-05	8.77396178913e-05	0.000135188443535	4.0119494361e-05	4.84558356696e-05	2.59761499667e-05	3.23964216035e-05	0.000214654514479	5.81023134486e-06	5.72620512931e-05	6.95357387483e-06	3.4997200241e-05	1.38235486477e-05	3.88522540148e-05	8.08095837595e-06	5.24002499363e-06	2.85855841667e-05	6.94166636547e-05	1.67447645526e-05
s	0.069776171932	0.274904224257	0.401376897067	0.107756987943	0.144329333825	0.0008290654091	0.00066200305695	2.90891147706e-05	3.31047945304e-05	5.12537706317e-05	1.47325125433e-05	1.69913333919e-05	9.70470664223e-06	1.12777795978e-05	9.44979262433e-05	2.16145458829e-06	2.01426879844e-05	2.55240595828e-06	1.3107000047e-05	4.8070063874e-06	1.40254207383e-05	2.86252824298e-06	2.35259341121e-06	1.01008486304e-05	2.55117657483e-05	7.08977814967e-06
p	0.0241567426107	0.245917211419	0.534255385689	0.132013215981	0.0626292040083	0.0005718537897	0.00027378250565	2.94918980902e-05	1.81047607435e-05	1.96366178306e-05	5.9823223041e-06	6.2238461993e-06	4.94957153408e-06	4.19228772927e-06	3.54796781648e-05	1.3554861861e-06	7.7928511148e-06	1.42316466943e-06	1.07848877157e-05	1.86636372063e-06	1.31434518794e-05	1.32769924866e-06	3.1311750504e-06	3.87575481833e-06	1.02371215462e-05	3.63142504869e-06
ì	0.0152945156702	0.27694141714	0.582182448563	0.0894517386603	0.0354577752028	0.0004108880519	0.000142917304383	2.73165111467e-05	1.26999988912e-05	9.09419137687e-06	3.07557332137e-06	2.63699727977e-06	3.19461722803e-06	1.82864254776e-06	1.59204189116e-05	1.0546360189e-06	3.65717482827e-06	1.01880592448e-06	9.6478077619e-06	8.8587438921e-07	1.27665560251e-05	8.13833103553e-07	3.14517227847e-06	1.80794746944e-06	5.19177653207e-06	2.55278801956e-06
t	0.0123317955567	0.264456625713	0.437765449521	0.271001432887	0.0138100633343	0.000505160985967	6.2063488961e-05	1.57514004989e-05	8.8124109404e-06	4.57080505896e-06	1.05220626379e-06	1.23779773992e-06	3.95476079268e-06	8.6202085392e-07	5.8327009272e-06	1.02344072983e-06	1.99610106609e-06	7.95102609493e-07	7.05743261063e-06	3.8178084207e-07	5.77665564037e-06	3.47767971851e-07	4.41928118782e-06	6.5862643648e-07	1.86481782736e-06	1.01420730985e-06
i	0.0175696858522	0.159250572904	0.224639736507	0.524348890962	0.0620960205114	0.00988365696199	0.00194033659799	6.83116884996e-05	4.96865803135e-05	3.72008300197e-05	7.7775988246e-06	5.19745831331e-06	1.01991592642e-05	2.95723475131e-06	2.78353017424e-05	1.58435837661e-06	6.9754597887e-06	1.39161576983e-06	1.73138607035e-05	1.01748873069e-06	1.54337497801e-05	8.51049340617e-07	6.12385906261e-06	1.89451759549e-06	3.65225274245e-06	5.68852643662e-06
o	0.0192186968841	0.0743734735347	0.106091198836	0.569383376987	0.211032716837	0.0167453089873	0.00283011989933	8.74963168332e-05	6.02839010045e-05	4.78182351399e-05	1.01544811115e-05	6.26170483777e-06	9.56220930473e-06	3.44483328844e-06	3.61253231141e-05	1.11858388387e-06	7.9555606429e-06	1.14877361228e-06	1.70510326345e-05	1.1567053009e-06	1.72949591767e-05	9.54874051872e-07	3.37176644754e-06	2.28539767183e-06	4.28124599748e-06	7.33218484554e-06
