 	lo	sentii	ee	che	arrivava	</S>
t	0.99828165	0.00170480915	9.8085095e-06	3.1724663e-06	5.2552747e-07	1.1771722e-07
o	0.69939624	0.298831086917	0.00174711193717	2.35451925333e-05	1.00614651e-06	1.06512151333e-06
n	0.574293136667	0.422197835639	0.00257682889239	0.000622523010844	0.000283737707603	2.59741764378e-05
ì	0.518910715556	0.439328218546	0.0393636350108	0.00198491553695	0.000377800708334	3.48044284793e-05
k	0.218572501852	0.716305489515	0.0600642043369	0.00486635157898	0.000169532998578	2.20398674931e-05
u	0.178339780617	0.730892936505	0.082001320779	0.00840274219299	0.000232008269526	0.000131270369164
s	0.144685431206	0.479630888835	0.195023066926	0.180050868731	0.000450246836509	0.000159511818055
a	0.0569652387353	0.218004463945	0.483591482309	0.240950469244	0.000418519638836	6.9844158685e-05
e	0.0240541283451	0.0936844679817	0.740541374103	0.140852616081	0.000810923172945	5.6561419895e-05
e	0.011733527215	0.0366168384606	0.714130838034	0.234060708694	0.00336897075765	8.92021126317e-05
k	0.00696191543833	0.0143231155202	0.438589568678	0.527443549565	0.0120297974859	0.000652098500877
a	0.00788619251278	0.00683580690673	0.280632852226	0.657028606522	0.0444740604953	0.00314249076696
è	0.0202302995043	0.00624945426891	0.339546890742	0.559122802174	0.0704881268318	0.00436243732232
s	0.0192370470131	0.00406083178564	0.236233804914	0.647599320725	0.0898978789439	0.00297114564077
t	0.0132179288494	0.00149128188121	0.086332250638	0.577215480242	0.307319792981	0.0144232823469
a	0.0136792539498	0.00137833378374	0.040218984546	0.282511211081	0.564405510994	0.0978067221156
z	0.00705532148627	0.0012222495128	0.0205057828153	0.128473238027	0.725996556998	0.116746862372
z	0.00235579707876	0.000409338659357	0.00710122772177	0.0643425016757	0.880619328999	0.0451718236573
e	0.000795012781587	0.000143520928652	0.00283217442392	0.0252713293586	0.766359186333	0.204598822419
</S>	0.000407291903294	7.9627522326e-05	0.00199467676196	0.0140336793793	0.600226273167	0.383258511209
