 	il	lenzuolo	vuole	lavato	</S>
o	0.92996942	0.06122043985	0.00870848974325	9.27207545e-05	8.98441295e-06
p	0.907411276667	0.0806906972833	0.0108280905811	0.000965557514833	0.000104433273317
l	0.667180205556	0.324847813094	0.00614149636037	0.00165926073828	0.000171274694439
a	0.279425246852	0.694523117698	0.0248248766201	0.00111717706943	0.00010962680148
ù	0.102162592284	0.681937019233	0.215292156873	0.00054013003981	6.81383614933e-05
n	0.0428324697613	0.671166686411	0.275964244291	0.0090692834066	0.000967336788164
a	0.0587856705871	0.535531183804	0.376198006764	0.0276371688022	0.00184795366272
t	0.0622314121624	0.189164318068	0.682697315588	0.0641813406007	0.00172557905424
è	0.0212027503875	0.0641341375893	0.843067385196	0.0702978728669	0.00129782628475
l	0.00838672562917	0.0223140574964	0.802858428399	0.161561960289	0.00487878939492
i	0.0470680630097	0.00915025323213	0.495920496133	0.422584946763	0.0252762227983
p	0.0590161813432	0.00409137227871	0.219012682044	0.680146448921	0.0377333309328
l	0.0205063081877	0.00140111668757	0.115477746681	0.813491682974	0.0491231469776
i	0.00809834446257	0.000553058842523	0.0589369748937	0.734661110991	0.197750485659
m	0.00336045812752	0.000269910140841	0.0249239806312	0.733649686997	0.237795942886
è	0.00136195933251	0.000149888783614	0.0159368852104	0.871816575666	0.110734666962
n	0.00123469536084	0.000200570007871	0.0158689334035	0.779567971889	0.203127797321
o	0.0167225517203	0.000576509052624	0.0125876111345	0.455525093963	0.514588215774
</S>	0.0318103688601	0.000882959326312	0.00845475706725	0.259096401982	0.699755507887
