 	non	deve	magniare	la	sera	</S>
e	0.746283595	0.225448645	0.02689109347	0.001252615035	9.0388718e-05	3.37173305e-05
n	0.626773948333	0.332711161667	0.02968146599	0.005701592045	0.004796687486	0.000335195310167
è	0.352256070111	0.521831270556	0.11170417883	0.007451403415	0.00632729190133	0.000429829721056
n	0.134635429704	0.703649240185	0.152499484943	0.00589812887167	0.00315619917311	0.000161556888019
a	0.0556458062347	0.574444595062	0.352058876981	0.0152525542906	0.00215244579104	0.000445723192673
f	0.0278295950782	0.224795158687	0.54912311566	0.119939109764	0.0728197595303	0.00549326136422
à	0.0100721896594	0.0827185375623	0.606278928553	0.197783593255	0.0963468951701	0.00679990179041
i	0.0130331658531	0.0354841165208	0.570736806184	0.335110867752	0.0348449873834	0.0107900742658
t	0.013810149368	0.0169123574846	0.297315594395	0.536573119251	0.119988892794	0.0153998714219
o	0.004701931233	0.0058557892392	0.146287583798	0.670797023084	0.155302175598	0.017055485474
v	0.00166756844333	0.0021604829674	0.0819111687993	0.574870464361	0.305528679866	0.033861647158
r	0.00056077685331	0.000730447752133	0.0289938061331	0.304839754787	0.632896179955	0.0319790796193
à	0.000211916427637	0.000371460792711	0.0183043490444	0.445817151596	0.520467706652	0.0148274491064
i	0.00102848408588	0.00036059293757	0.0139653719715	0.450475283765	0.215446785551	0.318723496035
</S>	0.00191423929294	0.000353462628785	0.00726646242075	0.228179956732	0.136780097775	0.625505798017
