 	ieri	abbiamo	deciso	di	andare	al	mare	tutti	ma	mio	fratello	non	voleva	venire	</S>
e	0.890348675	0.1085527157	0.000975420651	6.2558616e-05	5.67178893e-05	1.295085105e-06	3.456031535e-07	7.9769424e-07	9.053880335e-08	1.61338869e-07	1.19569016e-07	7.4958678e-07	1.04148272e-07	5.98200435e-08	1.806460325e-07
t	0.708316485	0.286806945233	0.004686740017	0.000122657352	6.18722597667e-05	2.19376696833e-06	7.828907845e-07	8.5650458e-07	9.627553845e-08	1.66295517667e-07	1.18256701e-07	7.376579644e-07	1.03981726333e-07	5.86348104667e-08	1.68685856233e-07
t	0.526392221667	0.455500568411	0.0178116760057	0.000257022904	3.31333759222e-05	3.07214155611e-06	8.89673794833e-07	5.84834326667e-07	7.63092168167e-08	1.06780193889e-07	8.77833126667e-08	3.53126645867e-07	8.55179277777e-08	2.84588081222e-08	6.13840084777e-08
è	0.361519040556	0.619012126137	0.0191919402019	0.000252685955667	2.00192266407e-05	2.52177740204e-06	4.88907279278e-07	5.10207832222e-07	6.52108812722e-08	9.3187053963e-08	8.14387290556e-08	2.60594305289e-07	7.71656133259e-08	1.87060658741e-08	2.71266874926e-08
d	0.184772879185	0.780436692046	0.0346032816006	0.000174017936222	1.12276776469e-05	9.96777037347e-07	3.23864607426e-07	2.74584388741e-07	2.50805482907e-08	4.7796177821e-08	3.17336955885e-08	1.23547900996e-07	2.86766447086e-08	6.8587134347e-09	1.30925120309e-08
e	0.0853135720617	0.868584864015	0.0451259042002	0.000774409508741	0.000178084199316	6.47240283245e-06	4.71789566914e-06	7.81410701758e-06	5.71178716302e-08	1.32926137311e-06	5.00707512662e-08	2.0838800629e-06	1.28056874436e-07	1.27948471216e-08	4.86165979877e-07
c	0.0346215257872	0.747263478005	0.211494395067	0.00616982226958	0.000409845129772	1.65250676108e-05	6.93463542305e-06	1.17010800059e-05	1.49286040543e-07	1.89971733104e-06	5.97056807554e-08	2.7381248316e-06	2.41457758145e-07	1.50801957739e-08	6.56738689959e-07
i	0.0124034543624	0.682743336002	0.291476861689	0.0128912114232	0.000455765429924	1.64674588703e-05	4.01214940768e-06	6.31952916863e-06	1.38833628181e-07	8.85119817013e-07	2.82703407185e-08	1.05734706783e-06	1.68222657715e-07	6.48998332463e-09	2.7528431332e-07
d	0.00474812214413	0.598031812001	0.367221230563	0.0289933311411	0.000856475743308	8.62828076234e-05	2.20296497026e-05	2.74450372229e-05	3.88477510073e-06	5.48065620567e-06	3.70256028706e-07	5.32047079277e-07	2.56945891424e-06	2.61113281082e-08	3.7695673444e-07
è	0.00314009840471	0.397240790667	0.526643176854	0.0664206507137	0.00636466804777	0.000112328949874	2.80181562009e-05	3.36211479576e-05	5.13359377658e-06	6.92807123322e-06	4.81646961435e-07	2.66158213092e-07	3.37169886375e-06	3.16793063794e-08	4.04975064813e-07
t	0.0036478411349	0.277608560222	0.604586315618	0.105203754905	0.00883597354926	7.2849753958e-05	2.38879197003e-05	1.36426915359e-05	1.85680102186e-06	3.33439534241e-06	1.66148133178e-07	1.46652379031e-07	1.32661954692e-06	1.45328008031e-08	3.02032621604e-07
s	0.010621899045	0.175959053407	0.700841551873	0.107975549968	0.00449615751642	6.27983056527e-05	2.76039105668e-05	7.85974091197e-06	8.59255967287e-07	2.71674991414e-06	7.65790625593e-08	8.42519243437e-08	7.66551692307e-07	6.7406888601e-08	2.9438257972e-06
a	0.0159605558483	0.127371779469	0.498277373958	0.317216698323	0.0396471799721	0.00101952520622	0.000287631507522	0.000163852232704	2.04194616243e-06	2.22324030047e-05	9.24296144853e-07	2.31911430081e-05	2.09535120744e-06	1.021757562e-07	4.8504200324e-06
m	0.0095955106861	0.052926185823	0.290800607986	0.561707999441	0.081649043324	0.00256674943541	0.000418274545841	0.000253235347568	8.38234262081e-06	3.23476150016e-05	1.75626524828e-06	3.1005524996e-05	5.66215090248e-06	1.26804592067e-07	3.14950334413e-06
o	0.00331239218203	0.0231603254077	0.201071882662	0.506709933147	0.259629154441	0.00568733197847	0.000249029528614	0.000137168939856	8.89244581027e-06	1.52732891139e-05	1.15907062943e-06	1.07221408087e-05	5.15381922416e-06	1.14304249256e-07	1.45240455138e-06
n	0.00137314597734	0.00944228266923	0.089576537554	0.434633744382	0.443048804814	0.0197116496595	0.0011680418462	0.000820884783952	4.99491982068e-05	0.000123802733151	8.01453832314e-06	4.66072231957e-06	3.72976163314e-05	1.21509368319e-07	1.07069245379e-06
a	0.000764155019113	0.00343637683974	0.043732720018	0.326890918127	0.594440954938	0.0278116292198	0.00158058090207	0.00105556902465	6.37714529789e-05	0.000160541418384	1.03342756744e-05	3.31316517319e-06	4.80804671105e-05	1.24249447873e-07	9.49635501263e-07
p	0.000463988073038	0.00152340629658	0.0168231458393	0.195813209376	0.725444708313	0.0566517100733	0.00209780425402	0.000881959304883	0.000116009801236	0.000107821170128	1.32767567915e-05	6.0780282244e-06	5.03638290368e-05	2.07061807439e-06	4.44505595042e-06
à	0.000278242757013	0.000808035352193	0.0078982430131	0.126584306459	0.786425146104	0.0743835503578	0.00247429588467	0.000844712114961	0.000133782214712	8.98153846427e-05	1.42451262338e-05	6.29776706147e-06	5.10713431069e-05	2.71884262282e-06	5.58584756481e-06
m	0.00112056867834	0.000752650437398	0.00388845190437	0.0706223488197	0.828388402035	0.0924196221193	0.00191948732822	0.000740879351654	6.36376878707e-05	5.14150208142e-05	6.25844184793e-06	2.87793027382e-06	1.9759940797e-05	1.03808601563e-06	2.6686549696e-06
e	0.00227356065945	0.00117379617913	0.00231338711479	0.0493240656066	0.671936660678	0.263382170706	0.00738133300941	0.00196276908388	8.89452812902e-05	0.000102087218271	7.65916108264e-06	3.72920093579e-05	1.3821637599e-05	4.9298468521e-07	2.01362198987e-06
s	0.00165830425648	0.000872774497043	0.0011455139016	0.0313876278689	0.515230386893	0.430744543569	0.0149725433365	0.00367743809463	0.000133878977097	0.000109594784757	8.16960436088e-06	4.8267656536e-05	9.79947386633e-06	1.84170347403e-07	1.01848920329e-06
i	0.000821657668827	0.000453454756348	0.000633557262533	0.0207589458563	0.366536705631	0.548347234523	0.0538215454455	0.00827138203154	0.000169928779032	0.000118673183586	7.47910045363e-06	5.35359105953e-05	5.39347572211e-06	8.41229381343e-08	4.3794019443e-07
t	0.000536583972609	0.000314758464116	0.000316203066178	0.0121667605188	0.226553561877	0.586009528174	0.143146915149	0.0295020340105	0.00114499448634	0.000218805894529	2.16664608179e-05	5.90495165318e-05	8.17146467404e-06	4.39513019378e-07	5.27181818143e-07
à	0.000207134420536	0.000134055109039	0.000197862728059	0.0090482197396	0.177951037292	0.558449259391	0.177997621716	0.0731265580035	0.00223729472878	0.00051975953151	4.2428157606e-05	7.94471468439e-05	8.25828212468e-06	5.42700554993e-07	5.05560972714e-07
l	0.000170243043512	9.14845286797e-05	0.00013059086202	0.0048968798132	0.135858352431	0.61487845313	0.155632927239	0.0845438540012	0.00299421897626	0.000664718700503	4.8378549202e-05	8.26481292046e-05	6.55794294156e-06	3.20818943531e-07	3.27579550905e-07
a	0.0056600335245	0.00239749247289	0.00071545026734	0.00495365027107	0.0877575331437	0.52740029771	0.171122605746	0.143667582667	0.0454293478254	0.00821461399017	0.0014604922264	0.000792576999992	0.000421475466314	7.75727591177e-07	6.04845674363e-06
s	0.00741612700917	0.00314097341796	0.000855709206447	0.00360263757036	0.0373361337146	0.333421145903	0.243916851915	0.258267800889	0.0933472692751	0.0143881516634	0.0026786528088	0.00103889929933	0.000579982155438	1.64705446373e-06	8.02186831454e-06
s	0.00247805650706	0.00104915272182	0.000292895058482	0.00129341050679	0.0148361050049	0.191573058634	0.487944090638	0.214491935296	0.073780879425	0.00986969945447	0.00179294050293	0.000363639651777	0.000221725201146	9.16822055458e-06	3.26285267151e-06
