 	allora	io	ora	sto	studiando	di	maestra	ma	ho	una	sorella	mia	sorella	studia	quest'	anno	che	viene	per	medico	</S>
a	0.9460208	0.05022074085	0.003537294391	0.00013361998285	2.28261288e-05	3.6629731975e-06	3.157822855e-05	1.274506101e-07	2.679279275e-05	4.81527522e-07	1.3659803525e-07	2.537493915e-07	9.493427955e-08	3.446052153e-07	2.306652928e-07	1.162705395e-07	6.61682413e-08	4.22241555e-07	7.36669747e-08	1.42236415e-07	2.461384965e-07
l	0.930501666667	0.0646859462833	0.00449637813033	0.000186678244283	4.95994006e-05	1.21147658992e-05	3.674688785e-05	1.83329193367e-07	2.796156925e-05	5.67940860667e-07	1.5130908275e-07	2.698262905e-07	9.895781085e-08	3.58015350433e-07	2.30491297467e-07	1.75576583167e-07	6.58975288133e-08	4.207578041e-07	7.35951138667e-08	1.44020456333e-07	2.338816465e-07
l	0.949478622222	0.0418654724278	0.00573701421011	0.000867033274761	0.0008550295702	0.000340482421966	0.000629686625617	9.73400531112e-06	0.00012813543975	2.88848795269e-05	1.07595302886e-05	1.01483973702e-05	3.92309873128e-06	1.06942697621e-05	4.76863404902e-06	8.37232618106e-06	3.38245101318e-07	1.71220278713e-06	8.18132063589e-07	6.74327602344e-06	1.7017182965e-06
ò	0.821305574074	0.168121455143	0.00663955140337	0.00118602596825	0.00115016731007	0.000445233170322	0.000850720170539	1.2908802927e-05	0.00017044882925	3.84332066423e-05	1.43070603579e-05	1.34984017401e-05	5.21094464776e-06	1.41764660574e-05	6.35688446967e-06	1.1060649679e-05	4.31899202106e-07	2.18854403904e-06	1.0676571481e-06	8.97544979648e-06	2.2318818655e-06
r	0.766960191358	0.222474936048	0.00894949346779	0.000596583719417	0.000440825937023	0.000152836828141	0.000313252530513	4.36236997133e-06	6.739499686e-05	1.30273503818e-05	4.8012287433e-06	4.5903126377e-06	1.75911162425e-06	4.7933061218e-06	2.20153421156e-06	3.73183430833e-06	1.48219781169e-07	7.7786748768e-07	3.600612891e-07	3.05596273916e-06	8.47858491833e-07
a	0.580132184786	0.390844379683	0.0243707281559	0.00206628175981	0.00162104565934	9.36074010803e-05	0.000641226288504	1.63492086278e-06	0.000205807153397	7.22317782827e-06	1.85735055677e-06	2.72780442023e-06	7.67876669083e-07	2.60589383993e-06	1.91609927219e-06	1.39931252611e-06	8.3529202523e-08	1.71231819389e-06	1.473419192e-07	1.56378516472e-06	1.06959750061e-06
e	0.214317420595	0.593854526561	0.184519722719	0.00378054005327	0.00233167629978	7.90662943601e-05	0.000840022462835	7.3959274426e-07	0.000258657125799	5.40357036276e-06	8.90285162257e-07	2.12461219674e-06	4.41835645028e-07	1.89227487998e-06	1.87017895406e-06	6.00178983703e-07	6.32107835077e-08	2.05766951263e-06	7.70353190667e-08	1.05815627824e-06	1.13381154354e-06
v	0.080554940865	0.465583078854	0.42346843424	0.0266029961511	0.00267488427993	0.00049534664212	0.000468174310945	6.79664767142e-06	0.000124198343266	8.60860287425e-06	2.34655608409e-06	2.64484958891e-06	8.10796313676e-07	2.28994282666e-06	7.77264491353e-07	1.79007327623e-06	3.13909605026e-08	7.2431084301e-07	5.85880590222e-08	6.02518699413e-07	4.55045684513e-07
ò	0.028584465755	0.272382461618	0.64412405808	0.051047878717	0.00286389842664	0.000636628031373	0.000255468694648	8.80168831047e-06	7.4334509222e-05	9.56379930142e-06	2.8169050587e-06	2.7912394063e-06	9.27721820225e-07	2.40018466222e-06	3.62099384118e-07	2.18250190361e-06	1.93514473342e-08	2.53536541803e-07	5.02002610074e-08	4.33903184471e-07	1.82288567171e-07
à	0.0172627500517	0.121517745873	0.700332366027	0.151009806239	0.00881517960888	0.000386633014458	0.000450924865883	3.21236764016e-06	0.000203508804541	5.95830811047e-06	1.25416793357e-06	2.60546294543e-06	5.73027935742e-07	2.62491184074e-06	9.10414338373e-07	1.4792690794e-06	5.49803629447e-08	1.13541348393e-06	5.01535733358e-08	8.1092372949e-07	3.7364170139e-07
r	0.0140908015839	0.0664300166243	0.585636138676	0.31709839208	0.0154222035363	0.000525395191486	0.000532966746961	1.41960695672e-06	0.00024608053598	4.79130590349e-06	7.35336954523e-07	2.56047731181e-06	4.55596230914e-07	2.71099720691e-06	1.09015501012e-06	1.2989765698e-06	6.60611501049e-08	1.41983989524e-06	5.02924407786e-08	9.44400986497e-07	4.37191474797e-07
t	0.0353661167613	0.0341755098748	0.471064049559	0.425470610693	0.0326580538454	0.000807968863829	0.000352058390654	2.05713411224e-06	9.321872346e-05	2.13119520116e-06	4.58525244841e-07	1.2266031006e-06	3.02849695971e-07	1.08758439564e-06	5.95429520707e-07	1.1545628666e-06	5.59274471583e-08	5.30470592347e-07	8.50923815929e-08	1.2591115055e-06	1.47378266593e-06
e	0.0446239025871	0.0194285656249	0.292441893186	0.547205786898	0.0919009946151	0.00270058372128	0.00144932278022	3.69199653741e-06	0.00022356283482	9.19207510039e-06	8.4954604828e-07	2.00335733353e-06	4.15328735324e-07	1.47469843188e-06	1.42279379357e-06	1.1296984522e-06	7.03955790528e-08	1.33702502412e-06	1.07834415864e-07	1.63946173517e-06	2.07421542198e-06
