 	se	vuoi	vivere	non	essere	grasso	bisogna	mangiare	poco	</S>
a	0.74702545	0.2292862725	0.017415745008	0.0051318256435	0.0011161195775	1.02116505e-05	1.160504025e-05	1.796064705e-06	3.91625535e-07	5.67308275e-07
t	0.417753436333	0.550294224167	0.025509144336	0.00512295957283	0.0011211737185	2.90083111667e-05	0.00016470285475	3.51240616833e-06	1.24085891167e-06	5.69798271667e-07
e	0.144125001011	0.830329808056	0.021079443112	0.00383306054928	0.000390456172833	2.86968356956e-05	0.00020901153586	2.95687107944e-06	1.28743261612e-06	2.53060017889e-07
l	0.0506787648337	0.916751836019	0.0288197423707	0.00343539454843	0.000148127612278	1.93919942052e-05	0.00014286357623	3.05865354981e-06	7.10021917607e-07	1.3007756663e-07
ì	0.0174353253746	0.900698258673	0.0698630774569	0.0116811755481	0.000181336894759	1.63286927451e-05	0.00012082455316	3.08855802094e-06	5.16654813469e-07	8.283853021e-08
s	0.0109011667915	0.849410432891	0.125014085819	0.014405582702	0.000206912599586	7.13698692503e-06	5.27779978033e-05	1.16759877798e-06	6.5382461209e-07	6.42571647367e-08
i	0.0128135224305	0.646355510964	0.312220278606	0.02255958342	0.00534417772453	7.2708971975e-05	0.000613628214934	1.3406479526e-05	2.45864903736e-06	4.70828104825e-06
n	0.00890862332017	0.408572853655	0.548454159535	0.0258482065733	0.00729599442484	9.67415479917e-05	0.000796744052645	1.7703537842e-05	2.71430819579e-06	6.23759183608e-06
a	0.00324217138339	0.243511070218	0.680559773178	0.0623362549578	0.0100096476583	4.24047606639e-05	0.000288325703215	6.88013224733e-06	1.1115546386e-06	2.31290871536e-06
z	0.0012980673868	0.173544325739	0.738445327726	0.0749794292193	0.0113109421528	0.000184144687555	0.000219465625738	1.44558490491e-05	2.1827627362e-06	1.62616015512e-06
ì	0.000493742261267	0.15358512058	0.762482392575	0.0472246773064	0.0357360066509	0.000271089972518	0.000186889182079	1.63995199597e-05	2.4754465964e-06	1.18695577171e-06
s	0.00177944506042	0.0817579855267	0.806021420858	0.0385110693355	0.071464010217	0.000319487320839	0.00013062636086	7.8745585299e-06	7.27250208313e-06	8.0371481057e-07
i	0.00754578068681	0.0509369340089	0.598786140286	0.134688186678	0.197989166739	0.00407959344028	0.00587835550029	6.854239111e-05	2.27131970277e-05	4.60781340352e-06
n	0.0151911665623	0.0316228201696	0.421637856762	0.191386038893	0.318469362246	0.0123567294801	0.0090531313001	0.000211862023703	5.57935010092e-05	1.52716431345e-05
a	0.0127705031541	0.0213811833032	0.321277423254	0.154530689631	0.461526954082	0.02288608016	0.0053545196667	0.000203887203901	5.36067946697e-05	1.52053466448e-05
m	0.00544862511803	0.0117232716811	0.213296758751	0.179789596544	0.485611271361	0.09249191672	0.00950447765557	0.0016874525373	0.000260937922557	0.000185728301482
i	0.00261901936734	0.0083520968237	0.17556447725	0.128630880515	0.437703633787	0.22985226224	0.0145174028852	0.0021882084701	0.000329711763872	0.000242325849727
n	0.00630285901711	0.00395258360457	0.0701986200833	0.0587128541717	0.430198857929	0.40001415408	0.0271519286284	0.00302584521437	0.000324439254311	0.000117887335809
ì	0.00837099637237	0.00294404633486	0.0334654410278	0.0352550320572	0.378458215976	0.49912887136	0.0386496405428	0.00332328551812	0.00032739547677	7.70850230697e-05
s	0.00475040915746	0.00187376911162	0.0275062980093	0.0227509506857	0.467488978659	0.444831863787	0.0293327045143	0.00129527463604	0.000137511154257	3.22517271566e-05
e	0.00478779148582	0.00164912970387	0.0228296213364	0.0206231585619	0.36674748722	0.515260407929	0.0660284991714	0.00185049049535	0.000202497944752	2.09299148855e-05
l	0.00428247426194	0.00127693809129	0.0088992369788	0.0142283847873	0.14676928874	0.730551935976	0.0905368980571	0.00320858446512	0.000229813131584	1.64988964618e-05
i	0.00204346245731	0.00049698904643	0.00352743717093	0.00585979419577	0.0636495382467	0.762479725325	0.157354247686	0.00445187878837	0.000125108180528	1.18837397206e-05
p	0.000768852369103	0.000220723601477	0.00147052918164	0.00353643503192	0.0305580320822	0.732786988442	0.217294212562	0.0129619974295	0.000268170750176	0.000134101846807
a	0.000308849114368	0.000123708357492	0.000786492945213	0.00254058757731	0.0215199513607	0.652267229481	0.290639267521	0.0312604558098	0.000372577993392	0.000180906773602
r	0.000202253306123	6.53959384973e-05	0.000333537176404	0.0013308965991	0.0136370087202	0.545152476494	0.37264975584	0.0657625486033	0.000721364761131	0.000144752955867
ò	0.000165883168041	4.69326194991e-05	0.000175636278801	0.000644556463033	0.00601955654007	0.395062628831	0.49824343528	0.0985799628678	0.00093239895371	0.000129021009289
n	0.00167649906535	0.000120553670833	0.000328024842934	0.00509422727768	0.0149075575467	0.195321996277	0.648111418427	0.131001917623	0.00191249655124	0.0015253367871
g	0.00321228092178	0.000181199143611	0.000418458410978	0.00655217963389	0.0176061846822	0.106611746759	0.750350862809	0.109946795874	0.00261566351708	0.0025046361957
h	0.00264745970726	0.000124341806537	0.000238912860326	0.00223557568396	0.00622171376073	0.0547359045863	0.883126710936	0.0472633691247	0.00198961623903	0.00141640405857
ì	0.00888311480242	0.00143519455418	0.00105506063344	0.00619224749265	0.00562888128691	0.0679256025288	0.798941526979	0.0968321435416	0.00623695334634	0.00686928541286
z	0.0114779973341	0.00190355157473	0.00136286851781	0.00929912916422	0.00728631999564	0.0766514495096	0.618992362326	0.248721047847	0.0119605557821	0.0123447108043
i	0.00710165017803	0.00136535031491	0.00103991584594	0.00608558985474	0.00532339306521	0.0458908631699	0.413397107442	0.459614182616	0.044313518594	0.0158684132681
n	0.00714074439268	0.00121178369164	0.00091332176198	0.00328496013491	0.00269694956507	0.0289886640566	0.211985382481	0.657813577539	0.0674428148647	0.0185218200894
a	0.00514233286423	0.000531432617213	0.000405272012327	0.00126118628497	0.00106524865169	0.0176870842189	0.113337151494	0.720977892513	0.113632361622	0.0259600810298
f	0.00195159212474	0.000235172104404	0.000183007478109	0.000523004078323	0.000468569676563	0.00814510277297	0.0636432368313	0.720905447504	0.168111113874	0.0358338150099
à	0.000691860904913	9.53744448013e-05	7.5083078703e-05	0.000296138186108	0.000208656451521	0.00475855032432	0.0440602402771	0.641514702501	0.276364297958	0.0319351560033
i	0.0010352179283	0.000115362686267	8.52136565677e-05	0.000316026612036	0.00022152558384	0.00234691379477	0.0237926594257	0.392746240834	0.365316929319	0.214023923668
a	0.00133877640943	0.000128097567756	9.38012155226e-05	0.000232770690679	0.000226522127947	0.00100577770492	0.0142721204752	0.193424240278	0.43339087644	0.355887027889
l	0.000663511313143	5.8642804252e-05	4.50267426409e-05	0.00010161419658	0.000117570762482	0.00046151036164	0.0094544361584	0.157223530093	0.596651082147	0.23522310263
ì	0.000249166811048	2.8818903084e-05	2.19968750136e-05	3.87754022133e-05	4.47749636607e-05	0.00024010979388	0.00570629731947	0.121409202364	0.754930807382	0.11733003421
o	0.000223158033683	2.3238340028e-05	1.75968763379e-05	3.34757524044e-05	3.42062175536e-05	0.000119624099627	0.00319791950649	0.0565725234213	0.593685202461	0.346093011403
</S>	0.000299359516842	2.2965030014e-05	1.7199545169e-05	4.06227932022e-05	3.88354387768e-05	7.56925023135e-05	0.00235409595324	0.0295181721607	0.350448001231	0.617185030701
