 	vado	vestito	</S>
i	0.9623965	0.0369387615	0.000664688585
p	0.958519566667	0.0405780895	0.000902317871667
à	0.960491688889	0.0384606911667	0.00104761760389
o	0.728091062963	0.243687991389	0.0282209811813
n	0.354982890988	0.60305618713	0.0419609667271
d	0.152542931329	0.61837839571	0.229078693242
i	0.0687056871097	0.56869959857	0.362594707747
m	0.0251356222366	0.754884799523	0.219979549249
è	0.0106276216122	0.882585399841	0.10678691975
n	0.0058487379374	0.691646909947	0.302504289917
o	0.0194489620458	0.318301203316	0.662249799972
</S>	0.0353751590229	0.175999636658	0.788625179986
