 	mia	mamma	puliva	la	casa	ogni	giorno	</S>
i	0.854867165	0.1352628925	0.009571618498	0.000202490941	5.22542156e-05	2.0996696175e-05	2.15901955e-05	1.03684841e-06
m	0.800524898333	0.160637182833	0.0322905228327	0.00455710948033	0.0018916181152	5.75721503917e-05	3.45095368333e-05	6.59896230333e-06
à	0.567832472778	0.386557136278	0.0371612649442	0.00588647755011	0.0024711432289	5.63305756639e-05	2.72569642778e-05	7.92415477111e-06
n	0.277501384259	0.648857168759	0.0684944889814	0.00397493924004	0.00110400023347	3.0522974088e-05	2.43361384259e-05	1.31660142604e-05
a	0.175161108086	0.61656427292	0.199577156327	0.00498264174668	0.00313771861116	0.000277350374696	0.000278939059475	2.08241854201e-05
m	0.0855643960287	0.41531311264	0.455237252109	0.0373648742489	0.00503194197039	0.000710254238232	0.000730966053158	4.72615264734e-05
u	0.0373499780096	0.210121132547	0.67951953737	0.0657484164163	0.00596410552346	0.000616262607077	0.000629845666386	5.07646717245e-05
i	0.0201605133365	0.120771969849	0.673960289123	0.157231570472	0.0262841048412	0.00120657746336	0.000363849114129	2.11288573082e-05
p	0.0129832872122	0.0453061170497	0.579910353041	0.289051036824	0.0702732216137	0.00203992992112	0.000366576248043	6.94915842694e-05
u	0.00528211687073	0.0193171391166	0.589672884347	0.244423187608	0.139194070538	0.00179810040704	0.000229760854681	8.27425578565e-05
l	0.00368732899024	0.0115134523722	0.538145428116	0.191198267869	0.249856873513	0.00433329123568	0.00114806002356	0.000117271375719
ì	0.00352412803008	0.00611131062407	0.386472902705	0.166457747623	0.430074991171	0.00575068664523	0.00147954365619	0.000128642926806
z	0.00695070371003	0.00653911504136	0.486656744235	0.115620950874	0.375993319057	0.00655114811508	0.00158781786706	0.000100156243835
z	0.03227546757	0.00592471281379	0.594721504745	0.0928141936247	0.264556678352	0.00715277970503	0.00222213848902	0.000332475914612
e	0.0481695858567	0.00546555007126	0.374269654915	0.102911247875	0.435535709451	0.026582982235	0.00650002902967	0.000565166471537
t	0.0284326326289	0.00500956547575	0.152805495972	0.124673059292	0.60307620315	0.0776137574117	0.00798274424322	0.000406488999512
o	0.010694004753	0.00194426187725	0.0692388535573	0.0805210090973	0.535045777717	0.297159545804	0.00512075131441	0.000275769485504
s	0.00477489285767	0.000919051554083	0.0296765350858	0.0434101866991	0.504233035906	0.407351661935	0.00898979443814	0.000644848538501
p	0.00175498665256	0.000325978414694	0.0167715796953	0.0295488215664	0.685978961969	0.252418143978	0.0102784972794	0.00292306914617
ì	0.000762357294187	0.000154562773231	0.00690820013177	0.0154019193888	0.527530457656	0.385104691326	0.0602918872265	0.00384598111539
t	0.000464940348062	9.97410504103e-05	0.00481973041059	0.0143775929963	0.281196606219	0.605557263775	0.0907757490755	0.00270844003846
i	0.00875005858269	0.00130531840947	0.0054376102702	0.0151289388654	0.198980122073	0.628318567925	0.0985497963585	0.0435295844795
k	0.0113510253009	0.00170237948816	0.00331155189673	0.00758087735513	0.0839985203577	0.676667769308	0.156617965453	0.0587698476932
à	0.00441862640697	0.000721963114387	0.00131370483891	0.00307423935171	0.0376339613526	0.519367103103	0.379444348484	0.0540260107644
i	0.00259767566899	0.000414004551462	0.000614063171637	0.0012528573979	0.0135578428509	0.227725535368	0.535447416161	0.218390588921
m	0.001400248903	0.000162445556821	0.000240915358546	0.000448633679967	0.0047376790103	0.115402052789	0.599116272054	0.278491762974
è	0.000527222554333	6.82497039403e-05	0.000107309716182	0.000192553816656	0.00183623169677	0.0745910409297	0.759720157351	0.162957264325
r	0.000220500144778	3.44873260801e-05	4.9888485194e-05	8.8960531552e-05	0.00074624135359	0.0361570886432	0.84889835245	0.113804473442
i	0.000276631501593	3.46746681267e-05	6.19547308647e-05	6.16545965173e-05	0.000364556389197	0.0154522552477	0.615110400817	0.368637876481
</S>	0.000423857850797	5.14966240634e-05	9.65335304323e-05	7.26369732586e-05	0.000348848119599	0.00804600867385	0.350532675408	0.64042798824
