 	ha	che	sono	usciti	</S>
è	0.69743125	0.21126720475	0.049367618915	0.04189548817	3.84553795e-05
n	0.62319275	0.274642944917	0.0602057339717	0.04191733588	4.12506841667e-05
a	0.497761756667	0.208580011639	0.275880262324	0.0175254631167	0.000252533649056
g	0.201798886889	0.36043021388	0.426661387441	0.0107410279389	0.000368487586352
u	0.071108062163	0.371511326627	0.543455545814	0.0128004058796	0.00112466544545
ì	0.0252429860543	0.141347780209	0.781524185271	0.0503625512932	0.00152254152848
k	0.00907430445143	0.060044372403	0.83863272509	0.0906319187644	0.00161673352283
a	0.0306733337838	0.034097569801	0.61353701503	0.292559156255	0.0291329669076
n	0.0380100606279	0.018829250767	0.260777221677	0.624969198752	0.0574143023025
e	0.0133320080093	0.00709189197567	0.0996196232257	0.530602606251	0.349353906101
</S>	0.00713083665465	0.00358974131784	0.0515872056129	0.297724693125	0.639967553051
