 	è	facile	che	stanno	ancora	svegli	</S>
è	0.60979051	0.3772525976	0.009586687332	0.00160315267715	0.00120916213665	0.0005554671292	2.38710593e-06
f	0.297873908	0.6871679992	0.011159561244	0.00201075605905	0.00122222589022	0.0005630961074	2.44734044333e-06
à	0.129508550333	0.852426883067	0.014630438548	0.00213251921968	0.000930254141407	0.0003663813668	4.95553461444e-06
c	0.0526493687243	0.917037111022	0.0253932731827	0.00369674950656	0.000895160240469	0.0003223219456	5.96390133815e-06
i	0.0226372688548	0.869321470341	0.0919581463942	0.0112073028355	0.00407892727349	0.0007854452052	1.14237632461e-05
l	0.0125659124583	0.69424081678	0.236200545465	0.0455885986118	0.0065012524245	0.00488632100173	1.66338347487e-05
e	0.00502326339277	0.51672977226	0.305467571822	0.154787424871	0.0120167098082	0.00595676223391	1.85764899162e-05
k	0.00250058241092	0.369431070753	0.310041903941	0.284842154957	0.0188859409361	0.0142561193113	4.22326979721e-05
a	0.00138023415031	0.203609673584	0.241702753314	0.500869688319	0.035633590312	0.0167604013304	4.36419476574e-05
s	0.00091582042177	0.0949227911947	0.148778239771	0.65801331944	0.0859266767707	0.0113820346701	6.11170942191e-05
t	0.000332429399257	0.0927054003982	0.149474099924	0.65479698648	0.0923695922569	0.0102187299567	0.000102758768073
è	0.000205340893419	0.0827979674661	0.118131719975	0.617079708827	0.177016204086	0.00468986718557	7.92014430243e-05
o	0.00025692647114	0.038661418022	0.058175515325	0.430317932942	0.466049434695	0.00649033619519	4.84598730081e-05
n	0.000189741488047	0.0155177125407	0.0346228504417	0.341368117647	0.552719061565	0.0553872277317	0.000195326312669
e	0.000128666677016	0.00688304816023	0.0212919980806	0.277743441216	0.622913480522	0.0707316852439	0.00030773122089
a	0.000144653505672	0.00251688875008	0.00754130008687	0.110560476072	0.845956323507	0.0330667150813	0.00021367961163
n	0.000136118738557	0.00130527880003	0.00348626282229	0.069564899024	0.787052907836	0.13647822236	0.00197633978188
k	0.000226623062852	0.00250787186668	0.00387174560743	0.0727651076747	0.569972269279	0.339832380787	0.010823993394
ò	0.000714143664284	0.00349800562223	0.00333553050581	0.0502405575582	0.524901466426	0.404609926929	0.0127003349647
r	0.000742525784761	0.00214791077074	0.0013646525386	0.0261082488527	0.659291612142	0.303912288976	0.00643274748823
a	0.00263024775825	0.00533690725358	0.00107914647953	0.0169583354509	0.525896250714	0.291987356325	0.156111758829
a	0.00325987326508	0.00638237432353	0.00089525122351	0.010435824937	0.227859638571	0.530168365442	0.22099868961
t	0.00109188773349	0.00215312359418	0.000308756265503	0.004160565599	0.12314004119	0.743100621814	0.126045043203
s	0.00036495839683	0.000742166412727	0.000119374236501	0.00246570556633	0.08412691873	0.815071240605	0.0971096810677
ù	0.000130951917143	0.000255184945576	5.0937676167e-05	0.00129402722544	0.05235700091	0.863949303535	0.0819626103559
n	5.38615595143e-05	9.3849730192e-05	2.8595345389e-05	0.000536987025147	0.03464316197	0.903431237845	0.0612122991186
n	2.09758921714e-05	4.5009307064e-05	2.0476548563e-05	0.000276479522716	0.0260799893233	0.940679825948	0.0328772293729
i	1.15241339238e-05	2.4593620588e-05	8.40736436767e-06	0.000109148274439	0.0129925589744	0.923118108649	0.0637356571243
t	6.73209622793e-06	1.1010876296e-05	4.34570433589e-06	5.5377406013e-05	0.00750613119147	0.898478736216	0.0939376857081
i	8.96875166264e-06	9.71577029867e-06	3.63884727863e-06	3.7998416671e-05	0.00514867486382	0.617035673072	0.377755348569
</S>	1.42665568313e-05	1.22091416493e-05	3.19255518931e-06	2.31014573355e-05	0.00265093563191	0.332226778036	0.665069524285
