 	che	non	li	aspetiamo	</S>
n	0.895718285	0.0529301185	0.05082293357	0.0002053232575	0.00032333253875
a	0.615418287	0.3270155085	0.05642746119	0.0007877814425	0.000350937732917
m	0.241209506333	0.476961382833	0.26449992373	0.000973643120833	0.0163555293976
i	0.099914582111	0.232259390944	0.61912598791	0.0247499180136	0.0239501236992
t	0.038961511837	0.098929481648	0.784954142637	0.0352542216712	0.0419006697997
u	0.0159071654123	0.067262945216	0.734265447546	0.0759014462237	0.1066630346
s	0.00754947888743	0.225430818405	0.448552400849	0.137773532075	0.180693824867
m	0.00307269022914	0.255473305368	0.476391405283	0.108875041358	0.156187571622
ì	0.00202276992638	0.100417137023	0.562284678428	0.266771441119	0.068503951874
n	0.00158253096213	0.0505544220077	0.558899216143	0.342520745373	0.0464431076247
o	0.00214471630738	0.0234119943359	0.466510335381	0.366565270124	0.141367721542
m	0.00216570644913	0.012210570712	0.185329131794	0.593732910041	0.206561683847
e	0.00078036178471	0.00501059028067	0.087539001498	0.461777361347	0.444892671282
</S>	0.000397258324855	0.00267785630534	0.043968202099	0.245359237673	0.707597435641
