 	è	pericoloso	di	nuotare	di	notte	</S>
è	0.56936165	0.42695023365	0.0022915185067	0.00131982872265	3.3741549285e-05	4.222283925e-05	7.2201022e-07
p	0.282213646667	0.71325222455	0.00303629210223	0.00141926294088	3.44429866283e-05	4.333356135e-05	7.4361909e-07
e	0.144622626222	0.847058461517	0.00705909810074	0.00116044638029	4.60453224094e-05	4.92960903833e-05	3.97063188e-06
r	0.053542866474	0.928579307172	0.0167442030336	0.00102756959343	4.96152271031e-05	5.14540194611e-05	4.964992092e-06
i	0.0185000255247	0.955853702391	0.0250979143445	0.000502924814477	2.0767680001e-05	2.2619231487e-05	2.05703416267e-06
k	0.0067540762749	0.878665667464	0.112755726448	0.00172576245483	2.8418754667e-05	6.8725507829e-05	1.59835925422e-06
o	0.00262349194163	0.760233905821	0.233865402149	0.00315357448494	3.61710712223e-05	8.59214416097e-05	1.46657725141e-06
l	0.00113259916388	0.620608818607	0.369199387383	0.00881730816165	0.000117052870074	0.000119621639537	5.1710513838e-06
ò	0.000597383921293	0.468816839536	0.500332705794	0.0299521737205	0.000161356002025	0.000133468459846	6.09086208793e-06
s	0.000471917550431	0.415589119845	0.547802445265	0.0359677945735	0.000102638709342	6.34454259487e-05	2.66765258931e-06
o	0.00966754569348	0.291859260615	0.539766141755	0.153061649524	0.00262059853978	0.00300809166798	1.66821011298e-05
n	0.0126798942778	0.123485369872	0.528675107252	0.325556826508	0.00472475764659	0.00485355878933	2.44099443766e-05
a	0.0045934596726	0.0500058854907	0.416763015751	0.519739318836	0.00621484201553	0.00266984556311	1.35358412255e-05
n	0.00190931473753	0.0208855858636	0.313540551917	0.648298449612	0.0124460533385	0.0028677787877	5.21980828418e-05
a	0.000868087259177	0.0104434573545	0.234957425639	0.717748893204	0.0326303567795	0.0032849928959	6.67849579473e-05
r	0.000465665077392	0.00492972508483	0.13218410688	0.779640261068	0.0799118855932	0.00263942233197	0.000228952662982
è	0.000184379936131	0.00313562869494	0.0887013396267	0.756968957023	0.146787091864	0.00393723204399	0.000285376320327
t	0.000104104358044	0.00281766149831	0.0451308698756	0.709809735674	0.223154530621	0.0185372810147	0.000445828019442
s	0.000469474346015	0.0314476234994	0.0632340226252	0.620420878558	0.245070226874	0.0346632053382	0.00469457907315
i	0.001086701982	0.0410079534998	0.0591880562084	0.425675834853	0.431662042291	0.0328961634461	0.00848322669105
à	0.001237158394	0.0153789930999	0.0229075262695	0.198552659284	0.690001270764	0.0543178711487	0.0176045165637
t	0.000770447379667	0.0054713501133	0.0088242078565	0.116410522095	0.595386153588	0.25429694705	0.0188403836212
s	0.000332745841556	0.0028945557511	0.0045427670855	0.0760051900317	0.324534811196	0.559785115683	0.0319048259737
e	0.000301105347185	0.00227298191703	0.00257713365517	0.0324166440439	0.177108583732	0.515877788561	0.269445775325
n	0.000219342653728	0.00103583358484	0.00098689133339	0.0139341687146	0.147949274577	0.507083732854	0.328790736942
ì	9.4546180576e-05	0.000428318384113	0.00039645389613	0.00735259306153	0.100131672526	0.757515910951	0.134080482814
t	5.24131077253e-05	0.000224295354704	0.00017202239671	0.00263403687718	0.040140115042	0.88188518365	0.0748919156047
t	4.16515754418e-05	0.000178696301568	0.000105603830237	0.00097591039906	0.0156303145807	0.915380861217	0.0676869412016
a	5.11603674806e-05	0.000199780298523	8.4791060079e-05	0.00036510908502	0.0057230287069	0.611640947739	0.381935173734
</S>	4.75706722403e-05	0.000159372496262	5.56317100395e-05	0.00018905836051	0.00294603057345	0.31477261487	0.681829716867
