 	i	bambini	non	si	vestono	da	soli	</S>
t	0.95742545	0.0425336258	2.516331935e-05	1.362446975e-05	1.84085995e-06	8.68720185e-08	8.278128e-08	6.82650692e-08
a	0.790318126667	0.204013155267	0.00555729442335	6.81246899167e-05	4.15771407833e-05	9.10631725167e-07	2.85953816667e-07	5.157109492e-07
p	0.438602651556	0.553660518422	0.00742922987445	0.000241161653306	6.13756872611e-05	3.25916624172e-06	1.07744123889e-06	7.675133764e-07
e	0.175554599852	0.813722939474	0.0103961126915	0.000292587884435	2.91423964204e-05	3.18643091024e-06	1.1134217693e-06	3.74477505467e-07
t	0.0776807217173	0.903909046491	0.0148542638972	0.00331283946148	0.00023804563914	4.20192746641e-06	7.19320179433e-07	1.94730111822e-07
ì	0.0265196477391	0.95163265883	0.0167317819657	0.00478801702049	0.00032261625138	4.5711091088e-06	5.89241091478e-07	1.26789643941e-07
a	0.020881431313	0.685325192943	0.235144908322	0.0576428228735	0.000934073722127	1.92154219896e-05	4.30474649622e-05	9.33004896465e-06
e	0.0220545524377	0.278500460981	0.505666336107	0.188752204291	0.00490365030738	3.50841983299e-05	7.38443636541e-05	1.38969088549e-05
n	0.0129495201459	0.102581771327	0.424822705369	0.404707984764	0.0517228041025	0.00255722148844	0.000532308683218	0.000125690837152
i	0.00782827094863	0.0426366237757	0.333715695123	0.533577428255	0.0779568447008	0.00344163259948	0.000680486660073	0.000163015777051
n	0.00569178238288	0.0215863581586	0.303896315041	0.508872529418	0.150029121567	0.00707539930316	0.00176350181902	0.00108496655702
d	0.0486391592943	0.0441902339529	0.15789018968	0.451167889806	0.240949260522	0.0137873217677	0.0375778416063	0.00579808858567
ì	0.0626809659648	0.0547647399843	0.08668778456	0.323279089935	0.406941953507	0.0110336522892	0.0482490759354	0.00636271594056
n	0.0270071858549	0.0242616413281	0.10858497152	0.163444105312	0.638808737836	0.0078429202964	0.0190517065451	0.0109987147255
n	0.167370356285	0.0515157964427	0.0938262171733	0.145771303771	0.508426452612	0.00763800476547	0.00956661791503	0.0158852445752
o	0.238400042095	0.0955660888142	0.0898081623911	0.209987637924	0.328502597537	0.0189537170885	0.00940820587168	0.00937351272507
t	0.108390864905	0.0672420363714	0.0826740573637	0.202388532641	0.305369705846	0.219227105696	0.0107424506239	0.00396519898836
t	0.0362198664817	0.0231338866905	0.0283971313546	0.24723471088	0.232650981949	0.405499785232	0.0231053155413	0.00375828434279
e	0.0143156430006	0.00873659439683	0.0235255694515	0.22206901796	0.28991626065	0.372864305077	0.0619856918471	0.00658692058093
m	0.00698574592687	0.00348427021228	0.0239513230505	0.12807013032	0.284114396883	0.475304528359	0.0659648742824	0.0121247721936
a	0.00263167282229	0.00143061593743	0.0145706552502	0.08229870644	0.180577068961	0.522708802786	0.174309335094	0.0214731853979
n	0.0013774770941	0.000789237699143	0.0091911087634	0.0326023390467	0.140784942987	0.567478927595	0.218987437365	0.0287885717993
e	0.0012328606647	0.000697047383048	0.0034057376678	0.0127648830156	0.0739704071957	0.496776022532	0.375712311455	0.0354407845998
c	0.000963934695567	0.000433713491016	0.0013804185226	0.0051059773052	0.0343797302652	0.431191330844	0.462838587152	0.0637063671999
h	0.000582754339189	0.000244456143672	0.000788647960867	0.0039196164684	0.0243822439217	0.443057846948	0.361936932384	0.1650875174
à	0.000546905003063	0.000222838891224	0.00213964620696	0.0037123873228	0.0168927014739	0.390835108983	0.379650257461	0.206000119133
t	0.00109967375769	0.000226265240408	0.00243353288565	0.00271149237427	0.0125039733246	0.427862069661	0.356269912487	0.196893033044
u	0.00514538301923	0.00465270538014	0.00101323281188	0.00202853992476	0.0063839633082	0.265659123554	0.327751024162	0.387366011015
</S>	0.00851477150962	0.00906084819007	0.00071398145594	0.00168470576238	0.0032930027041	0.138422012277	0.287957092081	0.550353605508
