 	le	ragazze	vogliono	guardate	</S>
t	0.99682845	0.00311684995	4.37273875e-05	9.97765915e-06	8.5095883e-07
a	0.763779523333	0.234300768817	0.00187978025583	3.640813915e-05	3.45591886333e-06
k	0.625912481111	0.370136829606	0.00341958148528	0.000331804526383	0.000199281575621
o	0.49943970937	0.489240493202	0.0106536712284	0.000402517929794	0.000263584129774
r	0.19117001079	0.711957874401	0.0956278000761	0.000935606830931	0.000308709347825
à	0.0718798855967	0.699267288134	0.227254613359	0.00126974710698	0.000328458677275
s	0.0399311501989	0.621819266045	0.337416007786	0.000707581488993	0.000125973259092
i	0.041028882733	0.514994725348	0.442190525929	0.00160651688633	0.000179351501697
a	0.0289730560443	0.315840236116	0.652439708643	0.00251409996211	0.000232878187232
t	0.0103955725214	0.128614421705	0.764933169548	0.0731261798874	0.0229306061391
è	0.00369904538713	0.0723043059017	0.784487689849	0.108046489962	0.031462447813
l	0.00158700190238	0.0390402658672	0.84102472995	0.106648086654	0.011699898671
o	0.0199141892341	0.0319775898557	0.62469379665	0.291299668885	0.032114739857
n	0.025912347938	0.0285857323519	0.302436382217	0.597826156295	0.0452394099523
e	0.009301148706	0.0109505027506	0.132360316072	0.684895152098	0.162492919984
k	0.00376195596867	0.00437489691687	0.071982982024	0.696939017366	0.222941149995
a	0.00256808932289	0.00239492293896	0.0442393574413	0.788678082455	0.162119536665
n	0.0021222759143	0.00151105424632	0.0182018853804	0.835620104152	0.142544682222
o	0.000934113791433	0.00069287425544	0.00810435969347	0.781497534717	0.208771124074
n	0.000539488797144	0.000379809831813	0.00332568353116	0.754319511572	0.241435496691
i	0.000333580542381	0.000218059523938	0.00153830757039	0.691717983857	0.306192037564
m	0.000242343884127	0.000149878254646	0.000779125316797	0.650088687952	0.348739949188
m	0.000924733641376	0.000300941914882	0.00381941803893	0.604815649317	0.390139266396
è	0.00136360058046	0.000643868694961	0.00543441314631	0.618833789772	0.373724333465
n	0.00255130802682	0.00091055629832	0.00445193584877	0.728777683257	0.263308499155
a	0.00746146784227	0.00147523646611	0.00399999788292	0.480283546086	0.506779756385
</S>	0.0108841741711	0.00193569223305	0.00293687134146	0.265558320543	0.718684978192
