 	le	buone	canzoni	si	scrivono	alla	notte	</S>
t	0.9689146	0.0308540228	0.000226764641	3.3137935e-06	4.1498097e-07	7.0772452e-08	7.2951397e-07	6.13140782e-08
a	0.848144233333	0.1095917166	0.0422093901137	4.32847656667e-05	2.61805355667e-06	6.58678538667e-07	6.99267217e-06	1.08735937487e-06
k	0.546349057778	0.390363835533	0.0627521500379	0.000322676213889	0.000145285849519	3.11425470129e-05	3.32485730567e-05	2.58598805829e-06
à	0.237208910593	0.725099171844	0.0370299740126	0.000393076977296	0.000190713256456	4.0705457804e-05	3.54154802839e-05	2.0290468771e-06
j	0.111951713198	0.832893773948	0.0548210720042	0.000236043388432	6.92721844353e-05	1.41992963677e-05	1.31055708263e-05	8.429266067e-07
o	0.0930814693993	0.617003114649	0.288192577335	0.00155139870614	6.52390904784e-05	1.62894427559e-05	7.97504617421e-05	1.01918144589e-05
t	0.0570216931998	0.336773434883	0.598523262445	0.00736661573538	0.000175392833493	1.90639805853e-05	0.000107431159581	1.3154844603e-05
r	0.0197345815666	0.469101918294	0.500893326148	0.00995207234513	0.000258681457831	1.09504657618e-05	4.40930557603e-05	4.42810729767e-06
a	0.00802032395553	0.473994749431	0.510968984049	0.00680804388171	0.00018130395061	6.41280528727e-06	1.85309375868e-05	1.64636875589e-06
v	0.00364925279518	0.18834544781	0.768473228016	0.0357287039606	0.0035710779682	0.000136242426896	8.08100079623e-05	1.5208989262e-05
ù	0.00232309894173	0.0742206826033	0.835879852672	0.0819688413202	0.00527855515607	0.000195848783965	0.000111514794987	2.15712002873e-05
d	0.00375482298058	0.0296184579344	0.857647584224	0.104689067107	0.00395320498536	0.000153008272988	0.000164779947329	1.90278679624e-05
i	0.0175424394602	0.0216042377115	0.667541328075	0.274246592369	0.0157900994285	0.00137322034766	0.00186254672578	3.95139283208e-05
a	0.0288623051534	0.0206071492372	0.343815256025	0.531076914123	0.0654423574762	0.00712480504922	0.00302493730859	4.62874747736e-05
i	0.0271689473845	0.0215727954124	0.189335452008	0.564382754708	0.168255142492	0.0264507063497	0.00279041876953	4.37761115912e-05
g	0.0180191377882	0.0195264046041	0.119908093003	0.439516304903	0.326586204164	0.0720365107832	0.00435159052318	5.57102951971e-05
r	0.0060619537664	0.00727028720137	0.0575233923343	0.305721991634	0.486334111388	0.131440656928	0.00538001670773	0.000267572081732
à	0.00228735634247	0.00310443740046	0.0443007804448	0.361905000545	0.451321227129	0.129653615643	0.00689264276924	0.000534940243911
f	0.00108301630749	0.00151507697682	0.0400002808149	0.419774520182	0.375275699043	0.142406335214	0.0194626995897	0.000482390111304
u	0.0104405420525	0.0131585727023	0.0233078699383	0.244463977727	0.303394063014	0.361138265071	0.0420600858632	0.00203664748377
t	0.0135005749558	0.0168931921088	0.0114922338461	0.101952423576	0.225214391005	0.517581398357	0.110309495288	0.00305627822792
t	0.0045097618741	0.00568395202627	0.00457099803203	0.048700480192	0.242589973668	0.531072266119	0.158985455096	0.00388709547597
e	0.00200400620853	0.00233047952409	0.00232446926068	0.0215641625973	0.170489347556	0.606950688706	0.151907231699	0.042429605692
a	0.00147771623618	0.00144574665136	0.00204044905356	0.0096189381991	0.079459337852	0.657678819569	0.184344097233	0.0639348782307
t	0.000811356812727	0.00078765509712	0.00151406699452	0.0057469061997	0.057151128284	0.55071957319	0.313413519078	0.0698557797436
s	0.000276985592376	0.000303046212373	0.000643359588173	0.00460993583323	0.0570046667613	0.389963891063	0.472984596359	0.0742135162479
è	0.000185787044925	0.000149247030791	0.000371798696058	0.00314675627774	0.0409098209204	0.259163233688	0.448672835453	0.247400519749
n	0.000224804141642	0.000367773493597	0.000330107092019	0.00181562425925	0.0264856416401	0.198062371229	0.478593935151	0.29411972725
ì	0.000326952360547	0.000810796897866	0.000334920970673	0.00116032047642	0.0202881644134	0.150289353076	0.67447695505	0.152312516417
t	0.000300192780516	0.000688076775955	0.000264081956224	0.000455317064807	0.00702166383447	0.0540636921253	0.825965051683	0.111241891472
t	0.000200364990505	0.000263523938652	0.000163915384741	0.000171885955602	0.00245555077149	0.0209113918084	0.921878383894	0.0539549651573
a	0.000329038930168	0.000465328082884	0.000189289348247	8.45365972007e-05	0.00090425991383	0.0085771584228	0.633085874298	0.356364543719
</S>	0.000422700390084	0.000751547141442	0.000202894304123	6.34694896004e-05	0.000474757946915	0.0043519669414	0.320523756649	0.67320895186
