 	io	non	ho	cosa	da	mangiare	</S>
e	0.92721268	0.070923595	0.00136700365	0.000392573503	8.68716025e-05	1.4668663e-05	2.5885063e-06
v	0.889994713333	0.0914892983333	0.00327440241667	0.012746531201	0.00135248607083	0.000360870279	0.0007817086981
ò	0.568395846111	0.395186676111	0.0151948844722	0.0173952393337	0.00221477045694	0.000547132489667	0.00106542804137
e	0.20995955237	0.745166838704	0.0274088661574	0.0148765900446	0.00190429098565	0.000294854453222	0.000388959057123
n	0.08527917229	0.569455886235	0.280940880052	0.0521258430149	0.00464148672855	0.00733350321107	0.000223203400374
è	0.0312241685967	0.239905132078	0.366938156017	0.343352107672	0.00872914090952	0.00968351369236	0.000167813938458
c	0.0120386736656	0.111974374026	0.343113114672	0.479422895891	0.0491523066365	0.00421274438612	8.59350611527e-05
h	0.00438231985087	0.0402574219453	0.333464852557	0.553915191964	0.0653290295455	0.00258134069537	6.98611303842e-05
o	0.00227206544596	0.0299562445851	0.132334651852	0.656599120655	0.174394673849	0.00364980226512	0.000793471063461
t	0.00155500834245	0.026514378875	0.0576269239507	0.497342770218	0.404544644616	0.0113474434217	0.00106886462449
i	0.000723091441283	0.011861003305	0.0220152540336	0.302176177739	0.613487581539	0.0329313254739	0.0168055699448
è	0.000659068547094	0.007565161135	0.00792356839453	0.12142815158	0.76294652718	0.0760417134913	0.0234357794483
n	0.000437400789031	0.00321767695167	0.00343851366484	0.04845040786	0.72481170906	0.208031814497	0.0116124692828
a	0.00409719726968	0.00329399385722	0.00347849775495	0.01815143102	0.43706788702	0.415832054832	0.118078927761
f	0.00531489111823	0.00326859662607	0.00304810601365	0.00720358734	0.161647389673	0.631221818277	0.188295569254
à	0.00177523372454	0.00114342355236	0.00103586786255	0.00248681457667	0.0671665406577	0.823206139426	0.103185934751
o	0.000740187381647	0.000505166200787	0.000392101850183	0.00090770906889	0.0248851706559	0.615310611809	0.357258999917
</S>	0.000589252415824	0.000359903620393	0.000258191125091	0.000547504554445	0.0125174698329	0.327798853905	0.657928774958
