 	mia	mamma	e	mio	padre	non	andarono	mai	in	Grecia	</S>
i	0.8731612	0.117026646	0.003947286622	0.0006022024085	0.0020919405435	0.00307101128465	8.429340735e-05	1.333357115e-05	1.14245064e-06	3.588503565e-07	6.18580265e-07
m	0.815976733333	0.143393868667	0.0293997642073	0.00398550293617	0.0031108455145	0.00307681081755	0.000978459775783	5.83125927167e-05	9.70771521333e-06	9.05487865217e-06	9.49368021667e-07
à	0.579203309444	0.370053509556	0.0410551617358	0.00516868731206	0.0020913541535	0.00111783169518	0.00122129009816	6.46165071956e-05	1.18254089168e-05	1.17361372034e-05	7.10402110556e-07
n	0.285114481481	0.636948436519	0.0700852922453	0.00541890277069	0.0013841912665	0.000458342538293	0.000509407838953	2.59632000219e-05	5.39056715127e-06	4.30080840538e-05	6.62549097352e-06
a	0.16867341216	0.598233045506	0.187257050748	0.0292413589236	0.0111619570888	0.00290323545266	0.00235502527965	9.3107454674e-05	1.07538813838e-05	5.97556563513e-05	1.13349369912e-05
m	0.0832593990533	0.400526700502	0.412740560249	0.0756577129745	0.0183144316963	0.00373926470422	0.00502031719322	0.000581943841558	9.28997551279e-05	5.52364024504e-05	1.15469359971e-05
u	0.0400122041511	0.206066442167	0.529888143416	0.177870504325	0.0361229928988	0.00527564378807	0.00392773943107	0.000667067357953	0.000112876179136	4.74465087535e-05	8.9426470557e-06
c	0.0157986156837	0.107685017722	0.495301181139	0.310967074775	0.0612100022996	0.00587347948936	0.00260467331036	0.000439718150084	8.26426471387e-05	3.24072585212e-05	5.17210117523e-06
e	0.0064767847279	0.0530305762407	0.443045503713	0.384949311592	0.0974541374332	0.0123913630565	0.00218490686345	0.000363620193261	7.25141869429e-05	2.73903773071e-05	3.86544513841e-06
o	0.00549830224263	0.0318622451802	0.267022808904	0.541506950531	0.134987885811	0.0170369604855	0.00184537244782	0.000192740797654	2.92772233776e-05	1.57186659024e-05	1.7012717928e-06
c	0.00511232981421	0.0113634430601	0.107601915635	0.503745000177	0.32475832527	0.0184864869618	0.0236466715493	0.00471594357588	0.000398508484293	0.000131979085301	3.93669690309e-05
i	0.0025103388314	0.0046325086867	0.0608122178783	0.255008770059	0.58205796509	0.0555654023206	0.0325007439831	0.00617928676363	0.000516847135964	0.000164306727324	5.16036893536e-05
ù	0.00538161743713	0.0029338054289	0.0342058992928	0.143798593353	0.624363721697	0.168055590774	0.0186982381277	0.00228699635954	0.000186508542521	6.74942946647e-05	2.15346411279e-05
r	0.00664984031238	0.00209114460963	0.0498928087643	0.154410547784	0.603141307232	0.167845387591	0.0144870720426	0.00134250118651	8.57787568403e-05	4.16991568882e-05	1.19431877426e-05
i	0.0126855682708	0.00306153650321	0.0548394388548	0.150502472595	0.597829969077	0.125025913197	0.0472686766809	0.0083299115955	0.00030659379228	0.000141623877629	8.3241936142e-06
m	0.0166302827569	0.00341960737774	0.0267735712183	0.130821634198	0.443287213026	0.141916432732	0.15511001556	0.0777366681985	0.00373742321743	0.000489533685876	7.76139915381e-05
u	0.00802271326563	0.00150817935925	0.0150452287394	0.112057580733	0.276419814342	0.0956963825773	0.337322111853	0.148583459399	0.00475302045581	0.000493560801959	9.79029537794e-05
e	0.00791811693521	0.00066606848975	0.00539712174647	0.0443397645777	0.207439464781	0.125765624192	0.369297483951	0.2352448698	0.0033491787686	0.000543614340653	3.86567535265e-05
p	0.00804005559174	0.00035107575325	0.00221962751549	0.0216786241926	0.115057524594	0.123924485231	0.330425247984	0.389807723267	0.0074274791562	0.000993089013551	7.50871968422e-05
ì	0.00293595139225	0.00013787904275	0.000947831868497	0.0102054088975	0.047821144198	0.0466784747437	0.437241512661	0.444761697756	0.0084114271854	0.000776139525684	8.25681037941e-05
t	0.00126841654575	6.56079135833e-05	0.000544400742832	0.00767303779917	0.024737339066	0.0192521937479	0.450507010887	0.484051122585	0.0115117575285	0.000340862553061	4.82747494447e-05
t	0.00482572451525	3.69856558611e-05	0.000989549237611	0.0252746802664	0.0125998113553	0.0089144965493	0.544772176962	0.388708378862	0.0133788648428	0.00035990884102	0.000139429153148
a	0.00754213770508	0.000308286342287	0.00145755211254	0.0287614329221	0.00745944345177	0.0100443014831	0.479615762321	0.418961864287	0.0404391892809	0.00492046414701	0.000489557604383
n	0.00431808633769	0.000392049550696	0.00100901964118	0.0111116866974	0.00505899714059	0.0105754914944	0.21631010744	0.639910054762	0.10409560176	0.00669257448234	0.000526267961461
e	0.00169942049523	0.000152511511499	0.00038455147406	0.00390701118247	0.0019950454602	0.00486813013147	0.115810621813	0.676978751587	0.183403057253	0.0102893325941	0.00051149471382
m	0.000839248531743	7.44751126997e-05	0.00017452371402	0.00148978289749	0.00102395839673	0.00442737781049	0.066163493271	0.667288563862	0.243799169084	0.0130502547647	0.00166915573794
à	0.000308381875914	3.76830797666e-05	7.51767816733e-05	0.00056518274083	0.000905080985577	0.0036488428035	0.0472584396237	0.554822821287	0.378383493028	0.0112593311549	0.00273557847931
i	0.00550809310397	0.000347462707922	0.000545307271558	0.00148838667861	0.000894839795192	0.00253287280117	0.0193220649079	0.324208693762	0.512887684343	0.116206880718	0.0160576946264
s	0.00723398976199	0.000440455262074	0.000695162559853	0.00176393980287	0.000548642010397	0.00195253026039	0.0113216908026	0.164318241254	0.616152261448	0.174467420239	0.0211056793088
i	0.00249927308133	0.000163647012125	0.000268967617951	0.000637797997623	0.000213437223799	0.000745821768797	0.00748461880087	0.0937013097513	0.650883387149	0.23120717008	0.0121946335363
n	0.000926379704443	7.2447915375e-05	0.000129120755984	0.000263381344874	0.000103592273266	0.000330778431599	0.00351231053362	0.0490101145838	0.62754372905	0.300032810027	0.0180753915121
G	0.000618433712148	2.82003234583e-05	9.12988166613e-05	0.000240248463958	4.3590607222e-05	0.000166511062533	0.00201298800787	0.0303868520846	0.449586217683	0.451063423342	0.0657622591707
r	0.000683683160716	1.61463501528e-05	0.000134864035554	0.000415212177986	3.9721764874e-05	0.000117787906178	0.00124938333262	0.0137866555849	0.325234160561	0.563916527781	0.0944058730569
è	0.000660179130239	7.80444533843e-05	0.000292619698518	0.000460972859329	0.000110242418291	0.00171497345539	0.00114244167754	0.010357760995	0.47157383352	0.42824962926	0.0853593176856
c	0.000550882926746	9.74706031281e-05	0.000295694204173	0.000322336826443	0.000114456494097	0.00219630404846	0.000585630032513	0.00631659019833	0.419897321173	0.49014239642	0.0794808968952
i	0.000403325295582	4.9266456376e-05	0.000168720219391	0.000215793142148	5.5223612699e-05	0.000752555977487	0.000311707857504	0.00282076804278	0.209278860724	0.588504165473	0.197439559965
a	0.000332713355194	3.34768664587e-05	0.000119330502797	0.000164489214049	3.32386618997e-05	0.000264441754929	0.000194267661168	0.00105683690093	0.0754231137747	0.433040805158	0.489337263322
</S>	0.000248649327597	2.13056997294e-05	6.74950758985e-05	0.000113565817024	1.87876374499e-05	0.000134763174114	0.000106479833584	0.000558548415465	0.0389296316874	0.305759127579	0.654041646661
