 	ho	rotto	una	bottiglia	</S>
è	0.685977135	0.2200517273	0.09280440971	0.001112466275	5.42129875e-05
g	0.457591008333	0.446968095767	0.09402952997	0.00136522330167	4.61099394333e-05
l	0.263832101444	0.695150311922	0.03962420239	0.00126713461056	0.000126201403411
a	0.101746164815	0.854233803974	0.0420755144633	0.00163405763685	0.000310359077804
s	0.0407742604383	0.854990401325	0.100247122821	0.00370918331228	0.000278971279268
a	0.0146805726461	0.602439727108	0.375446407607	0.00697101900409	0.000462238896423
m	0.00565063848203	0.307302289036	0.588186702536	0.058672075668	0.0401882585321
i	0.00232373220734	0.173523489679	0.612058200845	0.145415311889	0.0666792651774
a	0.00132864878245	0.0757241322263	0.456836248615	0.411530557296	0.0545804623925
b	0.00116711391415	0.0282224214088	0.300222947872	0.563828165765	0.106559399131
u	0.00059978189905	0.0111109467696	0.259483117624	0.552716921922	0.176089236377
t	0.000347650874017	0.00434614018987	0.186520737541	0.566849483974	0.241935965459
t	0.000250749822606	0.00274659166329	0.136037375847	0.647683894658	0.21328133182
ì	8.75200954687e-05	0.0018876876501	0.060760266949	0.839670274886	0.0975942052733
g	0.000162081755156	0.0008479608457	0.041953217983	0.909419688295	0.0476170317578
l	0.000273439151719	0.0005506848219	0.0278969209277	0.915732839432	0.0555460672526
i	0.00047395571724	0.000311634803967	0.00970824340923	0.755499719811	0.234006400418
a	0.000472222025747	0.000187652561322	0.00361241840308	0.47379692327	0.521930780139
</S>	0.000267008942874	0.000125945485661	0.00194887685154	0.347932826635	0.649725360069
