 	vengono	vestiti	</S>
è	0.98431274	0.0140021835	0.0016850287
r	0.976810443333	0.0225102988333	0.000679207601
k	0.938715514444	0.0590588419444	0.002225585968
u	0.925155718148	0.0716091919815	0.00323506592267
t	0.631715683583	0.366151585327	0.00213271764089
t	0.215085359061	0.783053998442	0.00186064304696
e	0.084895051687	0.846079716147	0.0690252465823
n	0.0384779596023	0.866238882049	0.0952831785274
d	0.0273123525741	0.848978570683	0.123709105842
i	0.023658982438	0.647263143561	0.329077888614
m	0.00821642425933	0.65438323452	0.337400360871
è	0.00312817555311	0.842972411507	0.15389940229
n	0.00589203778437	0.677363693836	0.31674423143
a	0.0103342555948	0.307101045945	0.682564687143
</S>	0.0107724737974	0.159506509972	0.829721008571
