 	quando	è	arrivato	Giovanni	Anna	stava	ancora	cucinando	</S>
m	0.597444025	0.0044170063	0.045004950965	0.349124493841	0.00201961534535	0.00162448406483	0.000346870085348	7.617077755e-06	1.1024420475e-05
ò	0.516309458333	0.085120796	0.045379554955	0.349180017654	0.00202001778358	0.00162436870303	0.000347081850416	7.63932986167e-06	1.10442831783e-05
t	0.638193552778	0.166286545333	0.0774079529517	0.116764811925	0.00067949781316	0.000544241757427	0.000116748303939	2.62824676389e-06	3.98769751277e-06
t	0.535364467593	0.265774505111	0.158060287651	0.0399921061083	0.000489278704553	0.000196905500809	7.3039449813e-05	2.78881225463e-06	4.66508359376e-05
e	0.326757341198	0.489675441704	0.144037590884	0.0382948978361	0.000939132584851	0.000119869063603	0.000109256366604	4.25644978488e-06	6.22286343125e-05
è	0.154445978399	0.665470247235	0.141066411961	0.0379558386787	0.000860525051617	8.2793505101e-05	9.17160655347e-05	3.34669242829e-06	2.31317640042e-05
s	0.057587185133	0.522591169078	0.405449463987	0.0139452353129	0.000349610075539	3.26114416003e-05	3.45447963782e-05	1.61988886443e-06	8.54999910307e-06
t	0.020999964011	0.246883696359	0.721711811329	0.0097542321243	0.000582371593513	2.23253888668e-05	2.67512776594e-05	1.01562524314e-06	1.7810147236e-05
a	0.010329548637	0.14892193212	0.77537221711	0.0639053847081	0.00125605649784	0.000102049885289	8.88912802198e-05	2.16111291438e-06	2.17379480787e-05
s	0.00639131824233	0.10195375304	0.734050395703	0.150640494903	0.00664329389928	0.000211677305096	9.85237214066e-05	2.42025025146e-06	8.13391487623e-06
e	0.00238860985744	0.05018410368	0.530473221901	0.406825664968	0.00990583173309	0.000175580235032	4.30158711355e-05	1.19785525049e-06	2.78864740874e-06
o	0.00145853663248	0.0216535117267	0.251534008634	0.702565988323	0.0223608576777	0.000340069941677	8.49202363785e-05	8.8365293683e-07	1.23401123625e-06
G	0.00098967010916	0.0101297562756	0.134744077545	0.744890129441	0.108211452559	0.000856642960559	0.000123294422126	3.46331376123e-05	2.03396489121e-05
i	0.000395067171387	0.0052593815252	0.0737786681817	0.78711256648	0.13225304752	0.00105319462019	7.60438892087e-05	4.55027919594e-05	2.6498617684e-05
u	0.00116048076046	0.00282955427507	0.0326713130939	0.626748375493	0.33067098584	0.00382501624006	0.0020471804049	3.56415434085e-05	1.14433039413e-05
v	0.00142200627015	0.00129554371836	0.013182898898	0.304971041831	0.66024659528	0.0140955954134	0.00466905060163	0.00010829620447	8.9896346471e-06
à	0.000561700023383	0.00094984116612	0.010059311466	0.17239012561	0.793326408427	0.0190551534711	0.00353908808954	0.000112614747623	5.77998528237e-06
n	0.000437750657794	0.00113232888871	0.00804686378867	0.0858287500367	0.891151556142	0.011889473157	0.00140260788551	6.7949405341e-05	4.26915611608e-05
n	0.0016953686526	0.000836058712903	0.0101030678962	0.265127233179	0.707851178714	0.0130607050523	0.00099021951517	6.3390077447e-05	0.00027271642372
i	0.0035469212842	0.000951129687634	0.0113448927987	0.342250636726	0.566996999571	0.0711464343508	0.00326886952506	0.000166433164816	0.000327643547907
t	0.0028175811302	0.000905134042545	0.0056483324229	0.150136831242	0.659967056524	0.174835594784	0.00534912200835	0.000211931348272	0.000128396492669
i	0.00108399085553	0.000352150520848	0.0021625133743	0.0730212857473	0.622234785508	0.293825288261	0.00716273350278	0.000111966049424	4.52684923897e-05
n	0.000519906640843	0.000175664901616	0.000904012901433	0.0350117642491	0.600498061836	0.350740816087	0.0116646115009	0.000454162423141	3.09471872632e-05
A	0.000276220192614	0.000103676073872	0.000548477560478	0.0189077947497	0.520174153945	0.449110258696	0.0102935444336	0.00055897541938	2.68727625877e-05
n	0.000279311837538	9.80639032907e-05	0.000479850456826	0.0093772709499	0.538893801315	0.439611159565	0.0107035234112	0.000401215218127	0.000155784482696
n	0.00101597798585	7.43196367636e-05	0.000806798128942	0.04914150335	0.451022007105	0.471233393188	0.0255715004704	0.000467516649376	0.000666947237565
a	0.00191668929528	0.000356851624588	0.00135088584298	0.06537208445	0.190953449035	0.667497664396	0.0682383348235	0.00334548935979	0.000968538162522
ì	0.00181291889843	0.000536756711529	0.00132006293433	0.0272639508167	0.0976120196783	0.759786944799	0.106611563274	0.00437486603326	0.000680906387507
s	0.00103051672614	0.00027899643751	0.000739283500443	0.0107806942889	0.0773734765594	0.7493809216	0.157479576091	0.00252802109109	0.000408491685836
t	0.000429971858713	9.56638341033e-05	0.000287166405814	0.0051019384463	0.0643285081865	0.635170423867	0.291947525364	0.00204673469703	0.000592047135279
i	0.000426207362904	0.000103346669301	0.000220116381938	0.0036393092821	0.0231685018955	0.448836331289	0.510713541788	0.010695378399	0.00219725501176
n	0.000347173062401	0.000105415821934	0.000173914653979	0.00183666548403	0.0107090765652	0.330560733763	0.618176747263	0.0355104414663	0.00257980917059
e	0.0002577552489	7.85550161447e-05	0.000101264052993	0.000794784131343	0.00594962332173	0.242488031254	0.653849182421	0.0776013138221	0.0188794954569
a	0.0002330175103	7.04011585149e-05	7.35355927643e-05	0.000430256989448	0.00261768887391	0.100597628418	0.79275888414	0.078146186274	0.0250724159523
n	9.16336441e-05	2.78038139716e-05	3.95929230214e-05	0.000186734868816	0.0018201102913	0.0620329041393	0.72627556138	0.192529980425	0.0169956581174
k	0.0003423805347	3.27748126572e-05	0.000195599909674	0.000514851396272	0.00145936799043	0.0480988967131	0.55871834046	0.310152976808	0.0804847790391
ò	0.000508419861567	6.24784408857e-05	0.000367698169891	0.000986859565424	0.00066451040681	0.0243531649044	0.442350683487	0.431042015603	0.0996641616797
r	0.000266326996189	5.35647526286e-05	0.000261412225297	0.000736686410808	0.00035558779227	0.0165044756348	0.477812797829	0.450054258534	0.0539549148932
a	0.000190366244396	6.80653765429e-05	0.000222806287099	0.000625743992603	0.00019916991409	0.00951884744493	0.412194359276	0.389641939511	0.187338750631
m	0.000159235946132	7.16915824143e-05	0.0002056481735	0.000579967913334	0.00013424908803	0.00411569078164	0.154139179092	0.60738309317	0.23321128221
a	5.48956779107e-05	2.54121629714e-05	6.99613785667e-05	0.000195594327345	8.326591701e-05	0.00187668731721	0.0635971747307	0.798455131057	0.13564190107
r	1.97486799369e-05	9.63820570047e-06	2.47386921556e-05	6.7187029415e-05	3.329658467e-05	0.000740238495737	0.0259045449436	0.845705000352	0.127495652023
è	7.7592554123e-06	4.15305947682e-06	1.02787507519e-05	2.59512303383e-05	1.49887787233e-05	0.000355957008579	0.0141714531812	0.895848423451	0.0895610700077
o	2.21237401374e-05	8.28248129227e-06	1.8233094584e-05	8.47280607794e-05	8.8593857411e-06	0.00017530381286	0.0065178334604	0.66619210115	0.326972532669
n	2.64997325125e-05	8.90921284409e-06	2.00579630613e-05	0.000101982726926	6.75302464703e-06	0.000110791854287	0.00423711245347	0.562710093717	0.432777769223
t	1.02028444042e-05	3.22315732803e-06	8.7091748871e-06	3.79439649753e-05	4.75316648234e-06	0.000219235411429	0.0357628322512	0.699476664572	0.264476414741
a	5.89925443473e-06	1.92509490934e-06	4.86969286237e-06	1.79382843251e-05	3.48060086078e-06	0.000233162706643	0.0445676309937	0.539094264857	0.41607082158
</S>	5.17022151737e-06	2.01912020467e-06	3.30795878118e-06	1.17095971626e-05	2.45631468039e-06	0.000121487842571	0.0224552028619	0.408472297428	0.56892633579
