 	ho	cosa	a	fare	</S>
è	0.602596035	0.311575417	0.011222010925	0.07452732496	7.926059e-05
c	0.345205021667	0.549573872333	0.030761228975	0.0743951236633	6.4819751e-05
h	0.188767775722	0.751288857444	0.0350276166583	0.0248863765244	2.94781936667e-05
o	0.070628071074	0.816494905815	0.102331393219	0.0096598901348	0.000885839230222
t	0.0311034322913	0.575734535272	0.386993791073	0.00484789384493	0.00132039855341
i	0.0108197983638	0.265981808757	0.533149357024	0.102791147082	0.0872579276611
k	0.0043816613546	0.100414884252	0.601523199008	0.158322742361	0.135357556887
à	0.00209850493487	0.0366709617273	0.499580489669	0.38151884412	0.080131235629
i	0.00110715766162	0.0125417908624	0.179406991123	0.44828674904	0.35865735421
</S>	0.00102999448081	0.0063418968962	0.0909793324115	0.24751169602	0.654137127105
