 	non	so	cosa	scrive	</S>
e	0.5834455	0.41254261	0.00309689545	0.00082665435	8.8327215e-05
n	0.350381676667	0.619814323333	0.0266536993833	0.00241484915	0.000735452911667
e	0.187095006222	0.753110827778	0.0553874244611	0.00344168508333	0.000965032790556
t	0.068669441574	0.659026659259	0.25017288482	0.0149544220611	0.00717654241685
s	0.0272315114913	0.365778059753	0.51302319494	0.0806822233537	0.013284972139
è	0.0128179669638	0.329415843251	0.493348571647	0.151050521118	0.0133670500463
r	0.00751605402127	0.276569903584	0.589436097216	0.117157027373	0.00932086244043
o	0.00604721837376	0.114597837028	0.556057677405	0.274188289458	0.0491089562385
t	0.00556634268225	0.056399921576	0.308345410802	0.552602813153	0.0770855007462
i	0.00192260261508	0.0201938658253	0.195266404267	0.696875704384	0.0857414222487
g	0.00071890704836	0.00788753934177	0.120654275422	0.738449101461	0.13229018075
r	0.00026388017122	0.00346866198059	0.163629631807	0.59147778382	0.241160053583
à	9.70548095067e-05	0.0015299127602	0.129710574702	0.604340394607	0.264322087861
f	4.08187482189e-05	0.0006769881854	0.0520458310007	0.811184214869	0.136052186287
i	7.5769117123e-05	0.000403813537133	0.0250737677869	0.638775271623	0.335671415762
</S>	0.000130880558561	0.000448753933567	0.0129540670735	0.387169510811	0.599296807881
