 	forse	non	li	ha	a	casa	</S>
f	0.90703905	0.0739326228	0.01412339727	0.00107979985	0.00121815445365	0.0025907655397	1.620854465e-05
ò	0.812741856667	0.1648260428	0.01735154309	0.00125562825	0.00121966725622	0.0025897275181	1.557116275e-05
r	0.786788205556	0.195534956767	0.01564514403	0.000736560976667	0.00041429377924	0.0008748825029	5.99569729333e-06
s	0.900513015185	0.0790175524223	0.01884155101	0.000954360552222	0.000304902695247	0.0003202728063	4.83354756078e-05
i	0.642369941728	0.291331608474	0.06091021267	0.00460366548407	0.000524876201749	0.000156690715433	0.000103011905203
e	0.255348679576	0.398558709491	0.325599654223	0.0198392601614	0.00047784994725	9.83588401443e-05	7.74993821343e-05
t	0.102771519192	0.20537984983	0.591741318074	0.0821538167205	0.0173928184058	0.000462599781715	9.80876011114e-05
u	0.0427877859307	0.146529383277	0.592240612691	0.191138958907	0.0265765244686	0.000601160220572	0.00012558548037
s	0.0173194361102	0.191388077759	0.445114810897	0.270103256302	0.0744235024895	0.00124129393352	0.000409618500123
è	0.00960130863673	0.171569547586	0.296561416966	0.390316828767	0.12935809083	0.00203831491117	0.000554534780041
c	0.00672390557891	0.078306400762	0.194626293989	0.494842192922	0.223250130277	0.00196480750372	0.000286304640014
h	0.0134255335596	0.0267924425273	0.17536474633	0.394874544307	0.378427076759	0.0108027263679	0.000312895546671
i	0.0513652351865	0.0125967408824	0.14570639211	0.304956644769	0.450485682253	0.0286460117893	0.00624325321556
è	0.0551796845955	0.00811342532747	0.0515317071033	0.23260008059	0.608184530751	0.0358606072631	0.00852996497185
s	0.0203726919985	0.00312408781582	0.0185537482678	0.11170954353	0.773119556917	0.0608715880877	0.0122487885573
s	0.0156078375995	0.00111801703027	0.00860099535593	0.05306821281	0.555322638972	0.331458736029	0.0348235588524
u	0.0154031978665	0.00052788958509	0.00455725791864	0.01921014187	0.216012167657	0.481044795343	0.263244537951
</S>	0.0102983679333	0.000479632027545	0.00256454350932	0.010135031385	0.113326985828	0.386869757672	0.476325668975
