 	l'	anno	che	viene	devo	mangiare	molti	dolci	</S>
o	0.8922547	0.07843160075	0.0132208340157	0.0129871579576	0.00297380358897	0.000108795172645	2.098838247e-05	9.35194656e-07	1.236850065e-06
c	0.571467576667	0.39735650025	0.0150632831386	0.0129857404574	0.00297885789299	0.000118279701882	2.59646301567e-05	2.23985848533e-06	1.567771755e-06
h	0.364170985556	0.61784445675	0.0121849275129	0.00447004671403	0.00117856889433	7.09509216273e-05	4.89302880522e-05	2.53075854951e-05	5.85417481833e-06
r	0.458788278519	0.51621930225	0.0219550985043	0.00170694794801	0.000849533514777	0.000190810927209	0.000187599349351	9.1100675165e-05	1.13416342728e-05
ò	0.353777456173	0.579353884083	0.0580143041681	0.007348222936	0.000910104121592	0.00027775604907	0.000205143684117	9.06914044883e-05	2.23784200909e-05
n	0.242158398724	0.511613101361	0.213160224723	0.010772706212	0.00390100047386	0.00111146875636	0.000261344845706	0.00313059293426	0.0138911072867
o	0.215755009575	0.271790850454	0.426803274908	0.042021611304	0.016512465158	0.00396772995212	0.000486197701902	0.00414716944009	0.0185156690766
k	0.114682604858	0.158514046818	0.628393858303	0.0544876664347	0.028666367386	0.00616011015071	0.00105341412063	0.00171701624203	0.00632489562653
a	0.046173949386	0.0770710172727	0.605903119434	0.211896088145	0.0500563157953	0.00470704285024	0.00104325180288	0.00090293776192	0.00224626681454
m	0.0170375004287	0.0424910957576	0.556834173145	0.295863922715	0.0767537585984	0.00599872658341	0.00282524279696	0.00068334176855	0.00151225592388
b	0.147632171343	0.103566196919	0.480442777715	0.153497313238	0.0939763245328	0.0123407821945	0.00478017853232	0.00213548832285	0.00162880964129
è	0.191200900214	0.110881406973	0.353806879238	0.101846900079	0.224750519844	0.0113665553315	0.00299195043744	0.00224203551228	0.000912868875763
n	0.0696437591713	0.0393050695577	0.275483075413	0.081260437693	0.517626773281	0.0070666802105	0.00147507217248	0.00398251114209	0.00415660528725
n	0.22188914239	0.0360449890859	0.112363854138	0.0852751468977	0.52097780776	0.00888460057017	0.00100336500749	0.00466706419403	0.00889399642908
i	0.298884840797	0.0472475836953	0.0645198047127	0.152475268966	0.361201232587	0.0653027245234	0.00199885041916	0.00168439704134	0.00668525855969
è	0.135644616266	0.0310086229984	0.0443224575709	0.161770086322	0.509408040862	0.112575214841	0.00237964490639	0.00058289148658	0.00230835092656
n	0.0506748537553	0.0127346477161	0.0184846755236	0.0948379564407	0.721576480287	0.097439834947	0.0022428315688	0.00104155147166	0.00096709691552
a	0.0482604035851	0.0179527998554	0.0110860018412	0.0578687764802	0.554107036762	0.272647758316	0.0361368413563	0.00139070412389	0.000549651308507
f	0.0469166492617	0.0196817438718	0.00718653251373	0.0357231858267	0.222480002254	0.508005776105	0.153190035452	0.00551243567463	0.00130362062284
à	0.0159979816406	0.00675138301727	0.00285139637124	0.0145851780089	0.0993183380847	0.582862838702	0.269105888484	0.00696764032488	0.00155931899428
o	0.0475004143669	0.0109467348124	0.00215230635708	0.00770319506963	0.0469925910949	0.487261876234	0.385423539495	0.00795813820829	0.00406118031809
p	0.0580174292623	0.0123537734408	0.00167682452369	0.00530255405654	0.0180147258983	0.294344762078	0.570601646498	0.0317531204028	0.0079351817727
o	0.0193994976391	0.00415317546593	0.00057758616423	0.00206340875551	0.00687054309943	0.170247068693	0.745537232166	0.0438699281343	0.0072815235909
d	0.00661728833803	0.00145155613764	0.00021901038141	0.00087563367517	0.00260896173314	0.0870929765643	0.756328507389	0.120708042378	0.0240979478636
d	0.00300479239268	0.00059350277588	0.00010404318547	0.000494269211723	0.00102415764105	0.0364710435214	0.51085696913	0.381439380793	0.0660118406212
h	0.00235422169756	0.000317316588627	9.88277251567e-05	0.000463917580574	0.00068070081035	0.0177648325071	0.35907541971	0.538311460264	0.0809333235404
à	0.0129737702325	0.00431769662954	0.00135165822172	0.0239429647702	0.0105652815034	0.0455941145024	0.382333433237	0.415730166755	0.103190894513
g	0.0232175520775	0.00600134674318	0.00180021463391	0.0325067084234	0.0139766727011	0.0521128185008	0.299904244412	0.347735468918	0.222744974838
l	0.0592629800258	0.00423856731439	0.000741272911303	0.0120994237978	0.00514605357703	0.0264767135003	0.236140064804	0.377654449639	0.278240501613
i	0.0736104730086	0.00728721747146	0.000584154720434	0.00441073453927	0.00191002078568	0.0170016200668	0.170421481935	0.340183733213	0.384590577204
c	0.0342618033562	0.00648517195879	0.000471279077945	0.00154136248142	0.000757806894227	0.00667531639893	0.0809846799783	0.510042901071	0.358779652401
è	0.0114576358454	0.00218344810256	0.000160578447782	0.000534227157473	0.000280457072409	0.00254809342298	0.0580611889928	0.79068295369	0.134091417467
a	0.00519176798847	0.00109179948219	7.8946621594e-05	0.000201494968824	0.000111848609136	0.00111362643099	0.0317568306976	0.59957756323	0.360876159156
</S>	0.00460914499424	0.00106109919109	7.3481078297e-05	0.000116309640912	6.7831794068e-05	0.000638222930495	0.0163104118988	0.329892619615	0.647230899578
