 	forse	sono	usciti	</S>
f	0.998387565	0.00116766895	0.000404198675	4.0534847e-05
ò	0.947212921667	0.0508539073167	0.001895750785	3.74000153333e-05
r	0.927082473889	0.0705164697722	0.00238296187667	1.81029908111e-05
s	0.969056071296	0.0291354512574	0.00172183054056	8.6653729637e-05
i	0.726139890432	0.265198611086	0.00738622768019	0.00127526024988
e	0.324444796811	0.663934017029	0.0097952847934	0.00182589251663
g	0.13064479427	0.768921122343	0.0914086111645	0.00902547413888
g	0.0612322474233	0.503356185781	0.200346167055	0.23506539338
u	0.0269836513744	0.399857106927	0.188139625685	0.38501963446
ì	0.0143363150248	0.413611995642	0.351283378562	0.220768339487
k	0.00874431740827	0.226362783881	0.674113612854	0.090779305829
a	0.0103634628694	0.097510744627	0.692956614285	0.19916918661
n	0.0114971008565	0.0360834086757	0.700149088095	0.252270382203
e	0.00506406214217	0.0124952473919	0.558075679365	0.424364974068
</S>	0.00289181550609	0.00658206174595	0.304715139683	0.685810937034
