 	non	sono	andati	</S>
e	0.74770913	0.1996394138	0.02584756625	0.0268038825
n	0.44166094	0.463271907933	0.0338693580833	0.0611978065
è	0.26372455	0.632269782644	0.0403212176944	0.0636845068333
c	0.223280106667	0.710454540881	0.0361078192315	0.0301575728444
h	0.176888872222	0.737111693627	0.0588628964105	0.0271365428481
u	0.135667720741	0.544865691209	0.29188684547	0.027579725116
n	0.068812109247	0.349713103736	0.531693531823	0.0497812245387
e	0.051870206749	0.212349853579	0.638764727274	0.0970151881796
p	0.0422985659163	0.0969176835263	0.725447195758	0.135336529393
a	0.0667812109721	0.0643906978421	0.638176695253	0.230651383131
m	0.0745547959907	0.0472097539474	0.572451428418	0.305784044377
è	0.12579015433	0.0529582009825	0.585161829473	0.236089851459
n	0.16790647811	0.147520381994	0.503151226491	0.181421947153
a	0.0907817630367	0.169808303998	0.380786015497	0.358623942384
</S>	0.0567075970184	0.116164551999	0.309222192748	0.517905671192
