 	io	nella	mia	vita	ho	sempre	lavorato	</S>
e	0.963478475	0.024051237	0.002856291235	0.00301221115	0.00128701439	0.000709086056	0.0028128481505	0.001792834489
v	0.935856925	0.055073963	0.002353117035	0.00293628661667	0.00156516505667	0.000312927822667	0.00113487608383	0.000766761112333
ò	0.663351141667	0.319003627667	0.010644967345	0.00416114643889	0.00167357129556	0.000175376696889	0.000574954903943	0.000415215601778
s	0.449980790556	0.488887542556	0.035151304115	0.0160791111463	0.00385310870852	0.0020589144883	0.00203017244398	0.00195901287493
t	0.385573716852	0.403643770852	0.103627561372	0.0661432120488	0.0103388039028	0.0118547109294	0.00769544748133	0.011122736825
i	0.223943055617	0.507016340284	0.148594410457	0.0776517856829	0.0095498459676	0.0131252148501	0.00775860863311	0.0123607327487
z	0.116770141872	0.674430880095	0.134877160152	0.0531104822276	0.00856753865587	0.00468491349037	0.00294601855037	0.0046128946899
o	0.0756745222907	0.534870263365	0.287524713384	0.0868881560759	0.00978893805196	0.00187759316679	0.00134320757346	0.0020326588823
ì	0.0582111760969	0.261910109122	0.473120304461	0.196459082025	0.00835620185065	0.00071232925893	0.000478840204487	0.000751983456433
m	0.0303415630323	0.136598627707	0.477975118154	0.289808284008	0.0637640216169	0.000756356719643	0.000323318484829	0.000432713882144
m	0.0193139756774	0.0793018659023	0.389275872718	0.326989501336	0.179707287206	0.00428762333988	0.000645057254943	0.000478824880715
u	0.0314042025591	0.0605205073008	0.273305497573	0.379902040445	0.244441795735	0.00912966194663	0.000695826044981	0.000600479460238
ì	0.0419647775197	0.0576315237669	0.187793439191	0.371513646815	0.308550511912	0.0303506384822	0.00109706780833	0.00109842428675
m	0.0287205845399	0.040073070589	0.114049872397	0.260585026938	0.469407837304	0.0819870428274	0.00316034093611	0.00201625016225
e	0.02185445288	0.0300483895297	0.066408927799	0.145534030313	0.413375139101	0.309152974276	0.00577317981204	0.00785294648742
p	0.0192485535933	0.0272535611766	0.0416191092663	0.0771177041043	0.243362046367	0.556818791425	0.019258419104	0.0153218498291
à	0.0194231478311	0.0277455440589	0.0360960767554	0.0547011220348	0.190859436789	0.626619320475	0.0299207460347	0.014634610443
n	0.0202295496104	0.029135077353	0.0404495915851	0.0521677880116	0.17761839693	0.621469613492	0.0485322836782	0.0103977014477
t	0.0118484238701	0.0200804627843	0.029474705195	0.0371957203372	0.15249779231	0.588103911164	0.122570444559	0.0382285249492
a	0.00932403712337	0.0131678792614	0.0169396307317	0.0203674344457	0.07120274677	0.629894093721	0.174690158186	0.0644140183164
p	0.00487129800779	0.0072265087538	0.0082887723439	0.00984756771523	0.0302320509233	0.595993114574	0.283936886062	0.0596038161055
o	0.0038363708026	0.00528637491793	0.00588064454797	0.00673241280508	0.0176071366411	0.515637054858	0.359351742021	0.0856682653685
l	0.00362369216753	0.00526476823931	0.00518138778266	0.00576371560169	0.013081707547	0.412584161619	0.46694669734	0.0875538617895
e	0.00500332495584	0.00649582334644	0.00626223252755	0.00667535220056	0.012330333849	0.314394653873	0.508708142447	0.14013012393
m	0.00537658675861	0.00712217421548	0.00699702550918	0.00748057373352	0.0120578209497	0.264758114624	0.527100634149	0.169107087977
i	0.00436319379287	0.00696799917183	0.00829156650306	0.00957126291117	0.0196416183166	0.203678604875	0.539472171383	0.208013609326
m	0.00445902086429	0.0100832717239	0.0108085771677	0.0127011469704	0.0242608967722	0.174711129958	0.493960773794	0.269015173109
m	0.00430199135476	0.0292485085746	0.0288650797226	0.0345900076568	0.0246981665907	0.126688824986	0.463080201265	0.288527217703
è	0.00787796835159	0.0371495045249	0.0427726422409	0.0513087058856	0.0504492505302	0.139818908329	0.420689097088	0.249933915901
n	0.0109904804505	0.0325483098416	0.0423229840803	0.0476784246285	0.0665479721767	0.174146712776	0.461648402363	0.1641166853
a	0.0123075124835	0.0296171099472	0.0357046390268	0.0378839075428	0.0462716217256	0.190322444259	0.382968594121	0.264924128433
</S>	0.0128396127418	0.0215994749736	0.0247018295134	0.0258396162714	0.0306267293628	0.204674197129	0.31365204706	0.366066434216
