 	non	mangiare	la	sera	</S>
m	0.781596465	0.028136185	0.04826186	0.05294519985	0.0890602481
i	0.508622125	0.256926915	0.0741514613333	0.0689278776167	0.0913716377
f	0.226497719833	0.569643771667	0.0685060147778	0.0564893748722	0.0788631775667
a	0.175316001444	0.556810080556	0.157687275926	0.0371012924241	0.0730853651889
i	0.158745530815	0.312777716852	0.439043778642	0.055779273608	0.033653703063
o	0.057239224605	0.120679214284	0.717052606214	0.0834498878693	0.0215791056877
v	0.0247277438683	0.0480029040947	0.701112142071	0.17065491929	0.0555023512292
r	0.0156500392894	0.0215829686316	0.501772387357	0.352841663097	0.108152983743
à	0.0703569994298	0.0586348394772	0.436068129119	0.348635404366	0.086304610581
i	0.10154911481	0.0752023364924	0.351886579706	0.375898184789	0.0954637761937
</S>	0.075166774905	0.0456012432462	0.245791044853	0.494876992395	0.138563973097
