 	lui	sapeva	che	oggi	stava	per	fare	freddo	o	freddo	e	non	poteva	fare	il	bagno	</S>
c	0.962547395	0.02873163245	0.00185724443	0.0014213281	0.00195408315	0.00053038738	0.000491260845	0.00024580455	6.50378915e-05	0.000233073421	0.000159793569	0.00041674787	0.00067407935	0.000160714675	0.000177614737	0.00013500944	0.000198874955
ì	0.651183768333	0.343822286817	0.00095380239	0.000903518133333	0.00136954572767	0.000348467596	0.000188286163333	0.000107771946867	2.94060175e-05	9.05590233333e-05	7.0091016e-05	0.000177397329333	0.000343028813333	7.46006307667e-05	0.000141897969333	0.000111980862667	8.35767853333e-05
n	0.350423599444	0.611521995606	0.00415230955667	0.00276038037778	0.00633200175356	0.002666711448	0.00189663238278	0.00197133493582	0.000929477165167	0.00452168603344	0.002072666219	0.00117779003578	0.00333411023444	0.00317535963269	0.00103142526011	0.000936140630222	0.00109632045878
o	0.300065346481	0.650569681869	0.00542869991889	0.00344439730593	0.00799755061452	0.00344259084533	0.00247803610759	0.00259253486094	0.00122724416239	0.00600000679415	0.00273791744167	0.00151129326526	0.00433121560571	0.00420767268916	0.00132709324337	0.00120546000041	0.00143320369893
ì	0.178613188827	0.802866910623	0.00315410213963	0.00170480184864	0.00269440467817	0.00116839037878	0.000855253470863	0.000870006704313	0.00041375333913	0.00200353173128	0.00091973416889	0.00052074985842	0.00144770559164	0.00140733274899	0.000454984742123	0.00041693206047	0.000488178629643
t	0.118545036276	0.809049113541	0.0303120044799	0.00793837551621	0.0112357596694	0.00310338619393	0.00142580244529	0.00177508736977	0.00153188452404	0.00320072712733	0.00234397284263	0.00128540433614	0.00314093772605	0.00289557455733	0.000628495851708	0.00055952872349	0.00102887452721
s	0.145442235425	0.515457199514	0.155025741493	0.0599868351721	0.0405021808898	0.0154004477313	0.0061988992151	0.00982563828992	0.00480154684135	0.00815066490911	0.00570534174754	0.00319030337871	0.0105367475753	0.0109148399524	0.00285472081724	0.00247287940783	0.00353379307574
e	0.170392978475	0.398601184838	0.224452353831	0.081700762724	0.0401172459299	0.0168371598804	0.0066894306067	0.0110300189052	0.00450419761178	0.0072706339577	0.00479787259085	0.00273290006624	0.0103475234685	0.0111675186849	0.00313461210508	0.00271018189328	0.00351342574791
r	0.157981387492	0.499049694946	0.231699797944	0.060295779908	0.0172416312766	0.0061978379968	0.00262309873723	0.0039979159103	0.00171128125526	0.0028913035739	0.00204146470528	0.00129679239541	0.00456042523293	0.00443067926237	0.00127198355769	0.00107551161176	0.0016333431053
e	0.111792467164	0.356570854982	0.430174205981	0.074896164636	0.00982764242553	0.00265591607227	0.00129155888241	0.0016535884996	0.000777884365087	0.00143116874947	0.00112155609609	0.000814767105137	0.00263133195528	0.00218399757342	0.000647761316897	0.00052453221392	0.00100454121173
k	0.0958083857213	0.198895691661	0.547748071994	0.123601161545	0.0228375691418	0.00213667796409	0.0011141031308	0.000848604249367	0.000409689771696	0.000673339224657	0.000631444559697	0.000702362275046	0.00170376156273	0.000908851577107	0.000388800246632	0.000240205157973	0.00135125018054
