 	deve	che	entra	da	qui	</S>
è	0.91003365	0.0565340816	0.02352436535	0.002415522315	0.00268012685	0.00481235328
n	0.633839646667	0.311807383867	0.0448858217833	0.00269831607167	0.00186711785	0.00490175422667
g	0.286205068889	0.650158677956	0.0582590925944	0.00236011162389	0.00106199183	0.00195505912056
h	0.13499473163	0.669383259319	0.191543996198	0.0027525984413	0.00058258429	0.00074279511852
i	0.12058443921	0.44931317644	0.426314042066	0.00291664928043	0.000462840036667	0.000408803369507
s	0.0982242017367	0.221327479147	0.677188834022	0.00249875996014	0.000392817052222	0.000367926786502
e	0.0749097492456	0.126545863382	0.776061798007	0.0212467863867	0.000662102084074	0.000573738095501
n	0.0669218633152	0.0899123174607	0.807302342669	0.0332026897956	0.00152400186136	0.00113680026517
a	0.0429606190051	0.0599946754869	0.63552605089	0.253262970932	0.00544619795379	0.00280949698839
m	0.0347687871684	0.049747708829	0.356354486963	0.532973590311	0.0184081549846	0.0077472736628
b	0.0132538407561	0.0254162942763	0.281690312321	0.580625863437	0.0473680083282	0.0516456465543
i	0.012248571452	0.0242982324254	0.16834697644	0.644457421146	0.0684545194427	0.0821942405181
a	0.0112681762173	0.0202041148085	0.0722980001467	0.736435907049	0.108610613148	0.0511831608394
p	0.00491563380577	0.0103803769362	0.0472655610489	0.545315485683	0.355549604383	0.0365733059465
ò	0.00809508993526	0.0132135436454	0.0425188390163	0.282843915228	0.587658901461	0.0656697233155
t	0.0101522599784	0.0221329452151	0.0435942330054	0.210140565076	0.617715450487	0.0962645891052
t	0.00723640365947	0.0255403837384	0.0453840243351	0.198435918359	0.555564193496	0.167839106368
ù	0.00813578855316	0.0211090325795	0.029186718445	0.16778913612	0.513358044499	0.260421275456
</S>	0.00913386977658	0.0162588862898	0.0211564847225	0.12401190306	0.53978940225	0.289649427728
