 	sta	e	dorme	nel	letto	</S>
s	0.969472585	0.0094936564	0.002026173235	0.0048628037	0.01064472205	0.00350006203
t	0.955924761667	0.0129525104	0.00304262327833	0.0082790279	0.01149191815	0.00830918621
e	0.895704120556	0.0823109134667	0.00244779230278	0.00644269271667	0.00517681831	0.00791769569667
c	0.641689916852	0.287029527822	0.0638701707776	0.00239084398889	0.00202091599667	0.00299864845889
e	0.339145578951	0.402469642607	0.251108363593	0.0028199779963	0.00293559026556	0.00152086990296
p	0.179240445317	0.328814324202	0.481807517864	0.0040572919321	0.00449163172185	0.00158879968432
l	0.153158164106	0.214121550067	0.559461809288	0.035723581244	0.00758154204062	0.0299533574614
ò	0.139553689369	0.143373095356	0.608987223096	0.0607011960813	0.00836102068021	0.0390237865538
n	0.0901768944563	0.127993605119	0.706400297699	0.0548014396938	0.00654034396007	0.0140874403513
n	0.0672310694854	0.111281031706	0.5455411959	0.214905879898	0.04926564472	0.0117751882171
i	0.0374907464951	0.077856821902	0.253648581967	0.544976926633	0.0695251575733	0.016501768739
s	0.0212370424984	0.0345861743007	0.102240422989	0.722755352211	0.104758258524	0.014422768913
t	0.0119353311661	0.0222850774336	0.0530716439963	0.68558379407	0.214676922841	0.0124472473043
o	0.0117000703887	0.0193673351445	0.0330762109988	0.670869898023	0.214192902947	0.0507935894348
g	0.00972027552957	0.0119229213815	0.0177007439996	0.604621166008	0.210034979649	0.145999949812
r	0.00513658180986	0.00707745679383	0.0100020513999	0.419083255336	0.38574902655	0.172951668271
à	0.01082460317	0.0210108755979	0.0246557292	0.341774285112	0.47803430885	0.123700194424
t	0.01290177239	0.0287813481993	0.0329616674	0.271724721704	0.560327959617	0.093302524808
t	0.00692054953	0.0188283167331	0.0215152791333	0.154886043901	0.708153529872	0.0896962966027
i	0.00765415291	0.0153115915777	0.0173604860444	0.119945495967	0.545483139957	0.294245133868
</S>	0.010015784955	0.0135356567888	0.0151758290222	0.119202054984	0.351681534979	0.490389116934
