 	voglio	che	Maria	è	di	venire	domani	</S>
t	0.92852548	0.0106031778	0.02596225985	0.00342834365	0.00685680795	0.0085518782	0.012927376	0.0031447447
è	0.88965386	0.0357502969333	0.0446992516167	0.00331695596333	0.00674993572333	0.00785282873333	0.0095799227	0.00239698805333
l	0.616653363333	0.124636840311	0.245010753872	0.00245335176778	0.00333353618111	0.00314985254444	0.00374320786667	0.00101908683778
o	0.405073014444	0.287129453437	0.299827507957	0.00218696021593	0.00208668175237	0.00152038867481	0.00166096755556	0.000515014767927
k	0.320177910481	0.386699911146	0.280883425986	0.00463112976531	0.00399508607612	0.0018533140516	0.00144609351852	0.000313124567976
a	0.234946505827	0.473807830382	0.275808578662	0.00630750178844	0.00491021784871	0.00250386778387	0.00146644657284	0.000249047898325
i	0.191118278942	0.440954063461	0.356626296221	0.00510737592948	0.0033806349729	0.00191503736129	0.000750235007613	0.000148101751775
M	0.149936573314	0.285637164487	0.54110209874	0.0120584874432	0.0068396865243	0.0013392524871	0.000525289802538	0.00256148661726
a	0.169758927771	0.375562944829	0.410665946247	0.0305542814811	0.0088516653081	0.0008605200357	0.000419420690846	0.00332633249109
r	0.127403745924	0.47059666161	0.249307672082	0.0686030761604	0.0196031135694	0.0360217404852	0.0246123959369	0.00385162878236
ì	0.128485328641	0.414035487203	0.234407867361	0.105819955387	0.0325596531898	0.0479407125284	0.0327150294456	0.00403598930745
a	0.12014774288	0.341883612401	0.246091332454	0.204677591796	0.0558159797299	0.0182594212095	0.0115890734485	0.00153524883248
è	0.0807509642933	0.2380006708	0.295416174151	0.212211428265	0.12674019191	0.0366331117365	0.00890519331617	0.00134223002749
n	0.0432300480978	0.145877106933	0.29198458805	0.193965193755	0.265199507303	0.0506160152455	0.00785204000539	0.00127548169583
a	0.0465716460326	0.110585048978	0.197948026017	0.195551034585	0.395801329101	0.0465184030818	0.00436655723513	0.00265796005194
r	0.0469028664109	0.0805250229927	0.141823194006	0.110664086195	0.472650686367	0.135515641027	0.00748796074504	0.00443054175065
t	0.017997924737	0.0398773009976	0.0855289183353	0.077309804065	0.421359438789	0.336464227009	0.0171740792483	0.00428831688355
i	0.0503289231123	0.0668387103325	0.0833873711118	0.0899143486883	0.30359117293	0.372216792336	0.0241194440828	0.00960325306118
à	0.0608792460374	0.0713707971108	0.0761892893706	0.0759655966628	0.189178132643	0.418218814112	0.0972234806943	0.0109746606204
v	0.0221972882125	0.0341581627036	0.0550935871235	0.0417530376543	0.129244225881	0.562315771371	0.149477802231	0.00576014067347
v	0.00861716470417	0.0216491050679	0.0456656747078	0.0391967715514	0.132558725294	0.543780650457	0.195198572744	0.0133333324245
r	0.00434949493472	0.0190399835226	0.0350803272359	0.0347751951838	0.0988703917647	0.460005510152	0.320516897581	0.0273621954748
i	0.0169975952449	0.0289475641742	0.0383392867453	0.0382704773946	0.0778724492549	0.304810578051	0.352278379194	0.142483671825
</S>	0.0305853641225	0.0372365500871	0.0431282723727	0.0425352061973	0.0700496926275	0.199479901026	0.324704439597	0.252280570913
