 	è	che	sono	usciti	</S>
è	0.85178378	0.0848941895	0.0227627088	0.0232608387	0.0172984813
n	0.664433956667	0.264041569833	0.0265766492667	0.0278255165667	0.0171223115667
a	0.409570638889	0.377837566611	0.0239777307556	0.181955337189	0.0066587643889
g	0.18793730663	0.462913865537	0.0821721949185	0.261623239063	0.0053534042963
u	0.0688120188767	0.403119346846	0.259845834973	0.257036509688	0.0111862535321
ì	0.0432973372922	0.178634002615	0.347500928324	0.418055989896	0.012511710944
k	0.0486245497641	0.215123212872	0.333258926108	0.394932356632	0.00806094531467
a	0.0854210992547	0.227993530957	0.275215695369	0.369661395544	0.0417082710049
n	0.0820496651516	0.121591756986	0.369398618456	0.362102815181	0.0648571346683
e	0.0557994571172	0.0961221109953	0.404554916152	0.254328951727	0.189194542556
</S>	0.0696422485586	0.100992088498	0.266201973076	0.238244520864	0.324919141278
