 	li	vestono	i	genitori	</S>
t	0.95046832	0.0200692334	0.01323844625	0.0115729	0.00465117105
u	0.910859126667	0.0603356078	0.0135053908833	0.0108532248	0.00444669090667
s	0.630229175556	0.3376458126	0.00830377109443	0.00660952223333	0.0172117775256
i	0.442337625185	0.496880077533	0.0306507340315	0.00773915091111	0.0223925002419
n	0.364037265062	0.548936215844	0.0411315230105	0.00823573787037	0.0376593194806
d	0.158252832687	0.462583411948	0.250248816003	0.0737323135235	0.0551826364935
ì	0.088731987229	0.180240240649	0.594622172001	0.0979206728412	0.0384849098312
n	0.0886127744097	0.280330180216	0.569489104	0.0390397010471	0.0225282269437
n	0.0715237201366	0.323322466739	0.497192648	0.0549989287824	0.0529622116479
o	0.0277450831122	0.138442511113	0.677590516	0.0931342145941	0.0630876545493
n	0.0129168327707	0.054840395571	0.723035588667	0.154816849865	0.0543903468498
e	0.00859023609023	0.028211223857	0.475152004889	0.423705436622	0.0643411469499
i	0.00435045309674	0.0139216834857	0.231440230296	0.693746462207	0.0565412243166
g	0.00595731626558	0.0107908680286	0.126298898099	0.695705904069	0.161247063439
e	0.00789585508853	0.0100641066762	0.0748203573663	0.69096008469	0.216259641146
n	0.00959301302951	0.0120828075587	0.0852084477888	0.725393511563	0.167722257049
i	0.00836156248984	0.0106014887862	0.0838763979296	0.774223103854	0.122937475683
t	0.0121636293099	0.0169050141954	0.0830488279765	0.715880554618	0.172001968561
ò	0.01897913277	0.0588948133985	0.135187511325	0.596900038206	0.190038496187
r	0.0301715232567	0.0822152917995	0.203457763775	0.557696012735	0.126459412062
i	0.0308881500856	0.0536708642665	0.187141307925	0.466165744245	0.262133920687
</S>	0.0194726585428	0.0332628346332	0.143542743962	0.418752982123	0.384968760344
