 	da	da	un	famoso	poeta	</S>
p	0.96501425	0.0107710025	0.0051275756	0.00589241645	0.010412839	0.0027819284
u	0.721243573333	0.262264354833	0.00555227186667	0.0039905466	0.00512356079667	0.00182572084
s	0.392769397778	0.571953671611	0.0214187119556	0.00552025491667	0.00630794472889	0.00203005945333
s	0.276462149259	0.604038990537	0.0923526646519	0.0112787703056	0.00862672500963	0.00724072881778
è	0.176221762086	0.638016976846	0.162855128217	0.0101599954019	0.00502953628988	0.00771661673926
n	0.0918870096953	0.636135238949	0.257033369406	0.0098048787673	0.00215946018329	0.00298003917975
a	0.0832502732318	0.447054936316	0.435809636469	0.0289706889224	0.00289313662776	0.00202130935992
f	0.0637990889106	0.225374362105	0.588585008823	0.111513454641	0.00599142554259	0.00473666361997
a	0.0637053074702	0.141754197368	0.519412079608	0.226387941547	0.0380378818475	0.0107026058733
m	0.0628945680234	0.106345575789	0.301813736536	0.442420350516	0.0689127739492	0.0176130066244
ò	0.0324566612078	0.0685736519297	0.218636085512	0.509089430172	0.15314499465	0.0180991863748
s	0.0254719604026	0.0621626123099	0.192173486837	0.540557753391	0.168074553883	0.0115596172916
o	0.0229731404675	0.0438337181033	0.117192021946	0.489451924464	0.298111363628	0.0284378320972
p	0.0174602399692	0.0280557447011	0.0577269486487	0.325307138155	0.518633401209	0.0528165260324
o	0.0082137141364	0.0130194272337	0.0304951152162	0.239945980718	0.623097353736	0.0852283953441
è	0.00624069464547	0.00951371241123	0.0249223344054	0.100458044239	0.778249371245	0.080615870448
t	0.00488976828182	0.00998218080374	0.0281920264685	0.088683467413	0.777075223748	0.091177368816
a	0.00665152789394	0.0119116579346	0.0286110468228	0.0826953581377	0.662734791249	0.207395626272
</S>	0.00859542494697	0.0120214764673	0.0235982784114	0.0537735775688	0.621997020625	0.280014223136
