 	entrò	da	qui	</S>
m	0.943756685	0.01432087995	0.0323465715	0.0095758053
b	0.926628765	0.04130746295	0.0207220665	0.0113416283
ì	0.834004668333	0.134315154317	0.0179329376667	0.0137472161
k	0.810186356111	0.163776250106	0.0173266123889	0.00871076523333
e	0.684607568704	0.261869348702	0.036611135463	0.0169119319444
a	0.362553787235	0.550480229567	0.0659479384877	0.0210180766481
p	0.131725392078	0.532215556522	0.312324351496	0.0237347438827
ò	0.078028506026	0.277413042174	0.573833290499	0.0707251802942
t	0.062283402342	0.249378337391	0.574350280166	0.113987983431
t	0.028434854114	0.24778877913	0.429571776722	0.29420457781
u	0.0149692747047	0.140441180377	0.375994442241	0.468595115937
</S>	0.0115675028523	0.0824293211885	0.43794452112	0.468058707969
