 	pure	che	ti	vedo	una	volta	non	ti	dimentico	mai	</S>
p	0.94599302	0.02629188545	0.0040601066	0.0107246529	0.00157826125	0.00389828753	0.002566655413	0.00129069815	0.000903435965	0.0015282759	0.001164699515
ù	0.846471706667	0.139204870783	0.00490060326667	0.00412963979	0.000901495117333	0.00141857755333	0.000877755614333	0.000660824436667	0.000340300856467	0.000663231449333	0.000430932451667
r	0.758358835556	0.227399536928	0.00757606992222	0.00273172922	0.000622142789778	0.00072758682111	0.000424614312778	0.00129162019889	0.000259237293622	0.000378726112444	0.000229876310556
u	0.552819695185	0.422075158976	0.0190748064741	0.00249218930667	0.000555724953259	0.000518153797037	0.000264579966259	0.0015287861763	0.000231748008207	0.000281009215148	0.000158151492052
k	0.245606681728	0.702833899659	0.037376162158	0.00858831493556	0.00067120712442	0.000395335942346	0.00018241893742	0.0035860856021	0.000259960629736	0.000295472419383	0.000204444669217
a	0.157173800576	0.640872799886	0.158860108719	0.0324118506452	0.00229513277481	0.00161118708078	0.000163954975807	0.00580840786737	0.000272568003579	0.000309125673128	0.000221061656739
s	0.107264193525	0.445192166629	0.25899964624	0.157738678215	0.0053988767916	0.00256930816026	0.000472634028602	0.0177898322891	0.00206563382819	0.00104172050771	0.00146731221258
e	0.0878145745083	0.30960603221	0.22535385208	0.261903072738	0.0769239069305	0.00799223318675	0.000609159792867	0.0239108510964	0.00267588730273	0.00132191152924	0.00188851413553
t	0.0669627594028	0.17908791507	0.155976766693	0.466411537579	0.10222055631	0.00954824436225	0.000379866054289	0.0146976336988	0.00217856379424	0.000935942036413	0.00160022474318
o	0.0371320410343	0.0873089593567	0.0885350475643	0.479239742526	0.28102008277	0.0116327574207	0.00041110359143	0.0103475648996	0.00203960321141	0.000819679292138	0.00151343692106
r	0.0291055393448	0.0568224684522	0.0587978001881	0.474846397509	0.34377586859	0.0132759004736	0.00129338499714	0.00847281149987	0.00300826175047	0.00187342387738	0.00872820001369
