 	vado	vestito	</S>
i	0.87379705	0.0837688644	0.0424340835
p	0.81229763	0.0462438870667	0.141458490167
à	0.58730448	0.236319891689	0.176375616056
o	0.379178813333	0.51133829723	0.109482908019
n	0.222989991111	0.666406565743	0.110603512673
d	0.121789073704	0.744675121914	0.133535857558
i	0.0566565582347	0.576072053971	0.367271395853
m	0.0285103264116	0.37994029799	0.591549378618
è	0.0447414008039	0.466291132663	0.488967499539
n	0.131056845601	0.563848644221	0.305094559846
o	0.137840793867	0.38835624074	0.473803019949
</S>	0.0801191949335	0.21750310937	0.702377759975
