 	il	morto	lo	piangono	lo	piangono	tutti	i	familiari	</S>
o	0.9637143	0.0204071855	0.001487289025	0.00214450999	0.00152013425	0.00119775833	0.00082872993	0.001012373645	0.006235129485	0.001452535
a	0.755769	0.237660405167	0.000612202025	0.00091829739	0.000609659573333	0.000723413396667	0.00060019993	0.000416569391667	0.002135393205	0.000554795996667
p	0.40080758	0.589300135056	0.00120195480833	0.00191119253	0.000379516597778	0.00249128719889	0.00245952601	0.000276797243889	0.000915556521667	0.000256432022222
e	0.307422323333	0.680929611685	0.00195556846944	0.00260564941	0.000280578374593	0.00313327707963	0.00284128427333	0.000219977047963	0.000496301197222	0.000115437848741
s	0.269558481111	0.685851860562	0.00441210555648	0.00443716337	0.00315045761686	0.00643219160654	0.0216021768611	0.000975988615988	0.00176697735574	0.00181259563091
a	0.160755343704	0.757320710187	0.0274180781855	0.00774157545667	0.00423127258229	0.00893225840218	0.0278479003804	0.00120254545833	0.00217688136858	0.00237346112364
m	0.108938390568	0.744899036729	0.0727593627285	0.0158013708189	0.0095538769041	0.0308460310007	0.0143020895535	0.000687718715777	0.00121998380619	0.00099221646788
m	0.110163009523	0.584586462243	0.143944997576	0.046148476273	0.0334051803014	0.0471164316669	0.0269800185178	0.00405573621526	0.0013317898354	0.00226797756929
è	0.121388477841	0.515895384081	0.206125855859	0.049336417091	0.0360537894338	0.028646507689	0.0326154981726	0.00517094407175	0.00181091407847	0.0029562536231
n	0.113545020614	0.52404054136	0.237336825286	0.036637678697	0.0218112394779	0.0157024096963	0.0447284540575	0.00243767382392	0.00197057265949	0.00178958747437
o	0.096385224538	0.35144020712	0.335573568429	0.0792807495657	0.0612008501593	0.0234605292321	0.0489685950192	0.00145600340797	0.00116167026983	0.00107257424812
o	0.0434586628793	0.182188355707	0.410710239476	0.150930033189	0.11343196672	0.0406862230774	0.0557700873397	0.00118000600266	0.00097459030661	0.00066980870604
k	0.0184015163264	0.123036898569	0.284624503159	0.160009764396	0.282325035573	0.0483480263591	0.0766649841132	0.00162021320089	0.0020875657022	0.00288150836868
l	0.0113324289088	0.0877263228563	0.12155291272	0.113190611465	0.424503761858	0.0761946307864	0.151925153038	0.00269252426696	0.00387127003407	0.00701038878956
è	0.0151534781029	0.0590024489521	0.103779355907	0.123368210488	0.371530737286	0.105872636929	0.206476511013	0.00468865405565	0.00366342381136	0.00646453402985
o	0.0144740786176	0.0463022763174	0.0999692113023	0.211895000163	0.276305899095	0.12502419231	0.209682733671	0.00741575278522	0.00597616007045	0.00295468790995
n	0.00745785312253	0.0421315574391	0.0616979921008	0.217305720054	0.285441639698	0.137257207437	0.22770808789	0.00969801026174	0.00861553489015	0.00268637776998
e	0.00710716360751	0.0568582204797	0.0689764580336	0.145564865351	0.308406699899	0.180743935812	0.178504975963	0.0431169770872	0.00741553649672	0.00330513652333
o	0.00479267685584	0.0485312378266	0.0578169229445	0.104636523784	0.1982207933	0.243331045271	0.234245721988	0.0794822043624	0.0262736074989	0.00266923047444
k	0.0114091743719	0.0426263306089	0.0359164162482	0.0734984225947	0.1373842211	0.227198091757	0.322226173996	0.0805110701208	0.052766055833	0.0164640121915
l	0.0158104291906	0.0437405575363	0.0318373297494	0.0563183645316	0.129997830367	0.193295583919	0.325173691332	0.0896265767069	0.0787256352777	0.0354739760638
è	0.0108664451302	0.0345506465121	0.0320350222498	0.0456161005105	0.0919005474557	0.16491345464	0.290528880444	0.228005768902	0.0726814634259	0.0289016493546
o	0.00731871051007	0.028500636504	0.0309028900833	0.0402645791702	0.0527258524852	0.136494528213	0.227070836815	0.397433289634	0.0671723028086	0.0121163705515
n	0.00506731707002	0.0320737748347	0.0293643323611	0.0452953573901	0.0531394514951	0.125431582738	0.182005025605	0.426900046545	0.0925506209362	0.00817253928383
e	0.00490207425667	0.0356185772782	0.0367573584537	0.0425254634634	0.0585068084984	0.0928145099127	0.118406491868	0.503582075515	0.0931734469787	0.0137132500946
