 	stava	ancora	cucinando	</S>
ì	0.89682767	0.0176026915	0.057617487335	0.027952150315
s	0.95428107	0.0107825485	0.0219295366683	0.0130068089817
t	0.873777956667	0.0718841565	0.0264024842228	0.0279353249939
i	0.807076098889	0.1349371655	0.0276925934076	0.030294128998
g	0.865380766296	0.109671921833	0.0128430009359	0.0121043411993
g	0.856642508765	0.115204310611	0.0170839047786	0.0110692885998
h	0.846811126255	0.120237815204	0.0191082440595	0.0138428023666
e	0.622929222085	0.354503180068	0.0095969322865	0.0129706856222
a	0.275860577362	0.696172170023	0.0172138542288	0.0107534547074
n	0.283960585787	0.574514063341	0.0841799624096	0.0573454150691
k	0.337250561929	0.318819224447	0.139647364137	0.204282838356
ò	0.21306394631	0.334906928149	0.209640438046	0.242388658119
r	0.172439614437	0.437796579383	0.241674159349	0.14808965804
a	0.150400344812	0.378459453128	0.286093359783	0.18504686268
m	0.075599091604	0.211708254376	0.522123009928	0.190569630893
a	0.0491618795347	0.131764398125	0.659606726643	0.159467013631
r	0.0482130505116	0.106399417042	0.661252075548	0.184135497877
è	0.0555393385039	0.136876000014	0.663765125183	0.143819542626
o	0.0356097485013	0.174780973338	0.648406241728	0.141203010875
n	0.0617049551671	0.148188424446	0.633527047243	0.156579553625
t	0.084412279389	0.175148444815	0.516283349081	0.224155937875
a	0.0523811007963	0.183834494938	0.40704939636	0.356735012625
</S>	0.0355775003981	0.153662037469	0.40154701818	0.409213421313
