 	le	ragazze	vogliono	guardate	</S>
t	0.94318737	0.04641854325	0.0048356497	0.0035155679	0.00204290215
a	0.93296067	0.0594291004167	0.0037054101	0.00243775996667	0.00146708974333
k	0.717189056667	0.276246307806	0.0027876789	0.00114688156889	0.00263009034111
o	0.621556218889	0.369565695935	0.0047150123	0.0010563600363	0.00310671310704
r	0.580633336296	0.390825558645	0.0109300397667	0.00195797204543	0.0156530694623
à	0.350044542099	0.606681486215	0.0196956709222	0.00307619911514	0.0205021030208
s	0.2309689407	0.728498662072	0.0297430273074	0.00255068088505	0.00823871364027
i	0.234809513567	0.607129717357	0.150178994102	0.00324923424168	0.00463258751342
a	0.206727954189	0.348626302452	0.436159531367	0.00492050668056	0.00356573780447
t	0.0880830843963	0.319310160817	0.554395960456	0.0218777422269	0.0163330780348
è	0.0522317157988	0.324012660272	0.528178303485	0.072962887409	0.0226144496783
l	0.0397251755996	0.223112550091	0.629595367828	0.0878359114697	0.0197309872261
o	0.0508248678665	0.13572885003	0.618414445943	0.147350466157	0.0476813884087
n	0.0469195336222	0.146157153343	0.456806385314	0.288654058719	0.0614629061362
e	0.0289553402074	0.135540914448	0.289886213771	0.459182662906	0.0864348887121
k	0.0233148494025	0.084024504816	0.156179713257	0.626666420969	0.109814501237
a	0.0198166444675	0.0640638709387	0.103583621086	0.691419940323	0.121115905412
n	0.0156152601558	0.0606326163129	0.073333940362	0.738621646774	0.111796523471
o	0.0123623687186	0.0573081481043	0.0605016801207	0.763295772258	0.106532016157
n	0.0111679537062	0.0601085920348	0.0548607180402	0.765029514086	0.108833222052
i	0.0114165540354	0.0617179136783	0.0598959823467	0.737256558029	0.129712994017
m	0.0108712575451	0.0506968025594	0.0593595821156	0.664445092676	0.214627254672
m	0.00962011404837	0.0793702391865	0.0506379287052	0.552786694225	0.307585024891
è	0.0155666163495	0.0925947097288	0.123454571235	0.480486374742	0.28789773163
n	0.0317340807832	0.104924793243	0.209647473745	0.426879258247	0.22681438721
a	0.0350238055944	0.0882790007477	0.165600298915	0.344339172749	0.36675773907
</S>	0.0259467592972	0.0530553998738	0.0977322109575	0.328668866374	0.494596804535
