 	l	ho	sentito	che	viene	</S>
o	0.9234425	0.02047383885	0.048525875155	0.0027009983	0.00274636025	0.00211044805
n	0.74112855	0.13800874295	0.0841737550517	0.0125951488667	0.0184757018167	0.00561814231667
ì	0.44130454	0.413187724317	0.0961969396839	0.0186660747889	0.0246741259389	0.00597060960556
k	0.211114181	0.608277178106	0.154736694561	0.012872173763	0.010694293713	0.00230545102185
u	0.137025014667	0.538612199369	0.273770678187	0.043614126921	0.00572980763767	0.00124815396062
s	0.0983509632223	0.305520876456	0.433844892729	0.14285865564	0.0181623775459	0.00126226202021
a	0.0550522207408	0.136645435485	0.37990620091	0.391413638547	0.0344607708486	0.00252175624007
n	0.0370823990469	0.0697109865617	0.16649078897	0.639764946182	0.0834266796162	0.00352417368002
a	0.0278474738156	0.0412947552539	0.0869066066567	0.627081275394	0.197577459872	0.01929236216
r	0.0245777763252	0.0311403934846	0.0489106525522	0.438543018465	0.428438616624	0.0283894780533
t	0.0092557056284	0.0118943241615	0.0232575035174	0.274105566155	0.662210522208	0.0192763526844
i	0.0212162870095	0.0233060666538	0.0293346811725	0.192957058718	0.573743407403	0.159442506895
</S>	0.0366406035047	0.0392771768269	0.0421554995863	0.165841644359	0.414221453701	0.301863638447
