 	la	mia	mia	mamma	mio	padre	mia	mamma	e	mio	padre	eh	non	sono	stati	mai	in	Grecia	</S>
e	0.86438195	0.1305444105	0.00176702365	0.00041512736	0.0003908829425	0.000255283307	0.000191162116	0.00013392608965	0.0004605828195	0.0001468945725	0.00014321263975	0.00013660447535	0.0003203638005	0.0001341423925	0.000127633839	8.20428995e-05	0.000133934982	0.000110982338	0.00012383923925
d	0.730375883333	0.2627776735	0.00470612131667	0.000280930906667	0.0002715631925	0.000232836163667	0.000126532219333	5.945502065e-05	0.0001728315895	8.60204725e-05	8.25892330833e-05	0.00012555312535	0.000118139910167	6.23931068333e-05	0.000109946305667	5.66313461667e-05	0.000164754512	0.000124146608	6.59930825833e-05
i	0.470075527778	0.509438861167	0.0187801987722	0.000251762042222	0.0002149962475	0.000222621539889	9.52396847777e-05	3.36625338167e-05	6.96190375e-05	6.48620940333e-05	6.15651059611e-05	0.00012084614365	4.46553067223e-05	3.74501031111e-05	0.000101862835889	4.55403479222e-05	0.000171731273133	0.000125327240333	4.36742898611e-05
k	0.272343515926	0.667161900389	0.0343935609241	0.00257459727407	0.0026175634325	0.00276307828196	0.00170191938659	0.00141182279054	0.0014854305835	0.00282005040788	0.00190743038359	0.00182065007642	0.000797344729241	0.00229775038087	0.00126113901263	0.000374956515174	0.000756721576844	0.000136216494444	0.00137437995895
ì	0.200112537309	0.556542393463	0.207769200308	0.00459997752469	0.0034800410075	0.00362397808732	0.00224211845786	0.00187164990335	0.00195937957783	0.00373885057849	0.00252285521536	0.00238734822084	0.00105340929408	0.00305206147052	0.00164785593708	0.000484697254758	0.000951537816948	0.000141594885815	0.00181853414078
m	0.109367886103	0.499750304488	0.371604276769	0.0081222103749	0.0015899392325	0.00134470962244	0.000805998088287	0.000655862524283	0.00067499012861	0.00127627162536	0.000852850258287	0.000810041699647	0.00036359836836	0.00104816030374	0.00056134222856	0.000169988061619	0.000333078777649	5.76117272717e-05	0.000610886225893
m	0.0557394790343	0.409911594829	0.48445437559	0.041783127125	0.00400084544417	0.000832321084147	0.000373444402762	0.000290348788094	0.000275592432203	0.00048796320512	0.000311176720429	0.000297271050549	0.00013908311312	0.000419447147913	0.000212221626187	8.0408478873e-05	0.000141871739883	3.80302694239e-05	0.000211408971131
u	0.0388348316781	0.210649888276	0.558480791863	0.181255037375	0.00857440114806	0.000726277038049	0.000218051535587	0.000141499881365	0.000130427405068	0.000199548475707	0.000120598123143	0.00011384549085	6.10825658067e-05	0.000184488150638	8.80631023957e-05	4.33078504243e-05	6.6881005961e-05	3.53880591413e-05	7.55710544103e-05
e	0.0285570737927	0.107560110759	0.502455320621	0.344300995792	0.015353617716	0.00110987301268	0.000144366244862	5.8397906455e-05	5.29826296893e-05	7.9381750569e-05	4.64214977143e-05	4.350890495e-05	2.40478325022e-05	7.05869768793e-05	3.61187037986e-05	1.89895189414e-05	3.34380376537e-05	2.75038563804e-05	2.72758417368e-05
m	0.0164996258309	0.0768332615863	0.431875386874	0.422748531931	0.0476572802387	0.00339995443756	0.000286252279954	9.12650328183e-05	7.24876935631e-05	0.000101076851523	5.34909815714e-05	5.51239143167e-05	2.51425193007e-05	9.20559542931e-05	6.59172205995e-05	3.62154989805e-05	4.68251005512e-05	3.01620861268e-05	2.99791531456e-05
à	0.0178528216103	0.0690029115288	0.279679957625	0.493427503977	0.12718896008	0.0115015409792	0.000532349026651	0.000114417383273	8.92422288544e-05	0.000121212613841	5.89990998571e-05	5.77531447722e-05	3.31925791002e-05	0.000104040698098	7.42322872998e-05	3.96600447602e-05	5.10595751837e-05	3.24037053756e-05	3.77113117152e-05
n	0.0301526622034	0.0861292215096	0.213845284542	0.494744781326	0.14727406336	0.0160100483264	0.00180152377555	0.00156388336009	0.000722846560618	0.00111229139128	0.00124982839929	0.00148753436292	0.0002715208107	0.000564806086033	0.00123714073287	0.000811913043353	0.000546182121728	0.000118908974459	0.000355504556238
a	0.0311097677345	0.0823195265032	0.167405400847	0.383521660442	0.273575847787	0.0447601734421	0.00391567579185	0.0022043963867	0.000989394063539	0.00149847210709	0.0016576287821	0.00196739460464	0.000346898761567	0.000724866590678	0.00162852843462	0.00106883051892	0.000705227721843	0.000145842374486	0.000454474020313
