 	ho	finito	di	scrivere	</S>
s	0.966493925	0.017205903	0.0038809258	0.01047873595	0.0019405806
p	0.753074505	0.213894294333	0.0158440909333	0.01326472765	0.00392242653333
ì	0.446070108333	0.521886144778	0.0208592696444	0.00762497279667	0.00355955668111
c	0.230269202778	0.748197014926	0.0171657585481	0.00302300741222	0.0013450445737
c	0.0900982352593	0.779635138309	0.121987905516	0.00449282503741	0.0037859003679
e	0.0664747727531	0.489057379436	0.432619545172	0.0057584251458	0.0060898959893
t	0.0528973449177	0.260017789812	0.677203848391	0.0056240897486	0.00425693999643
s	0.0360391089726	0.192032386604	0.741959482797	0.0221622234829	0.00780678313214
a	0.0313102966575	0.104538780535	0.789900727599	0.058858159161	0.015392010044
à	0.0162640320192	0.0482036929783	0.764725542533	0.155595154387	0.0152115696813
t	0.00758882913973	0.0725093687928	0.696376880844	0.207335314796	0.0161896148938
s	0.00881030871324	0.0856338262643	0.566729120281	0.235562318265	0.103264434631
e	0.00862528513775	0.0389756167548	0.319406419427	0.385093622755	0.247899091544
g	0.00360389551258	0.0163345823849	0.130175237809	0.588803574252	0.261082740515
r	0.00139163813753	0.00853395859497	0.0682692819363	0.754464048084	0.167341066838
à	0.00979653477918	0.0139094085317	0.0575528713121	0.773507672695	0.145233495613
t	0.0128040480931	0.0154261933106	0.0576233727707	0.751885690898	0.162260705204
s	0.00570076536437	0.00899894823687	0.0619180565902	0.694895540299	0.228486708401
i	0.00393534715479	0.00762658941229	0.0505109465301	0.465651593433	0.472275519467
</S>	0.00325365137739	0.00851071470614	0.0323874597651	0.312113251717	0.643734909734
