 	hai	già	mangiato	</S>
ì	0.9123586	0.0661205457	0.01019999215	0.01132087645
s	0.8638822	0.114239295233	0.0103791857167	0.0114993188167
e	0.590961093333	0.156828428411	0.244935938239	0.00727454727223
g	0.235410981111	0.397959012804	0.357675772746	0.00895424609074
i	0.103114636704	0.562734937601	0.318814717582	0.0153356820302
à	0.0510503559013	0.3673532592	0.561425552527	0.0201708050101
f	0.0673925426338	0.2586554664	0.617886097509	0.0560658920034
a	0.112207154211	0.242868802133	0.465443632503	0.179480414001
m	0.0879882429037	0.209307417378	0.378532260834	0.324172084667
è	0.0684155658012	0.191639054459	0.411459603611	0.328485774889
n	0.0675314272671	0.16867999682	0.471876414537	0.291912138296
a	0.0567862777557	0.17050506894	0.348489966846	0.424218679432
</S>	0.0680520338778	0.15802303947	0.234072456423	0.539852489716
