 	non	ho	cosa	è	da	mangiare	</S>
e	0.96089802	0.01411135935	0.0130374677	0.00789542415	0.0013197338	0.000645521365	0.0020925058
n	0.658724933333	0.259424961117	0.0564841512333	0.01656095005	0.00237058826667	0.000927687188333	0.00550669766667
è	0.412876157778	0.463645843706	0.0811386177444	0.0287738626833	0.00384950738889	0.00168342722944	0.00803257305556
c	0.317294771593	0.426672684569	0.180079556581	0.0654270742278	0.0036506094963	0.00168680174315	0.00518849781852
h	0.135910704198	0.319250904856	0.313140185527	0.219193328076	0.00868753599877	0.00128642378105	0.00253087670617
o	0.0665599127327	0.192380404952	0.446640985176	0.280063786025	0.0114925226663	0.00116874320035	0.00169361470872
t	0.0355252229109	0.124646246651	0.525468101725	0.284263698675	0.0245907868888	0.00094481937345	0.00456109457624
i	0.0282999343036	0.069101146217	0.364599902242	0.308836796225	0.21865542763	0.00360559535782	0.00690117619208
è	0.0329328984345	0.0478194694057	0.171384390414	0.250597225408	0.485262975877	0.00578233495261	0.00622069659736
n	0.0317967848115	0.0305791798019	0.102344778138	0.353175731803	0.471140948626	0.0059284174842	0.00503416416579
a	0.0213535842705	0.0269937032673	0.0764341277127	0.325774227268	0.375155926209	0.165507654161	0.0087807964886
f	0.0122854027568	0.0211123798558	0.0419867199042	0.131098419089	0.47230005207	0.29968144472	0.0215355721629
à	0.0159271685856	0.0353357290519	0.0471125489681	0.0844149596963	0.459431034023	0.331232231573	0.0265463173876
o	0.0246577888619	0.0392711635506	0.0450841813227	0.0656342848988	0.302224288008	0.417011193858	0.106117119129
</S>	0.0260389044309	0.0217003045753	0.0257857181613	0.0438909999494	0.248332884004	0.446287611929	0.187963609565
